14/05/0865	al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	sulṭān	rallies relative(s)	Birdibak al-ʾAshrafī 901
17/09/0865	al-Ẓāhirīya 1629	mamālīk	rallies relative(s)	rafaqa al-Ẓāhirīya 2225
17/09/0865	al-Ẓāhirīya 1629	mamālīk	rallies relative(s)	ʾikhwān al-Ẓāhirīya 2224
01/01/0801	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	al-ʾAshraf Barsbāy 24
02/12/0853	Kurtbāy 2241	unknown	is related through marriage with	al-Ẓāhir Jaqmaq 2
02/12/0853	al-Ẓāhir Jaqmaq 2	sulṭān	marries	Bint Kurtbāy 2242
20/09/0831	Nawrūz al-Ḥāfiẓī 35	unknown	is ustādh	Qānṣūh al-Nawrūzī 344
31/12/0801	al-Nāṣir Faraj b. Barqūq 14	sulṭān	is ustādh	al-Ẓāhir Ṭaṭar 441
18/09/0865	Jānibak al-Ẓāhirī Nāʾib Jidda 869	unknown	is khushdāsh	kuttābīya (al-Ẓāhir Jaqmaq + al-Manṣūr ʿUthmān) 1098
06/07/0872	al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	unknown	is related through marriage with	Yashbak min Mahdī al-Ẓāhirī 2291
01/03/0867	Ibnat al-ʾAshraf ʾĪnāl 963	unknown	marries	Kasbāy al-Khushqadamī 2298
27/07/0785	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	ʾAytmish al-Bajāsī 1778
27/07/0785	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	ʾAytmish al-Bajāsī 1778
28/01/0854	al-Ẓāhir Jaqmaq 2	sulṭān	is related through marriage with	ʾUzbak min Ṭuṭukh al-Sāqī 876
28/01/0854	ʾUzbak min Ṭuṭukh al-Sāqī 876	unknown	marries	Khadīja bt al-Ẓāhir Jaqmaq 2320
01/01/0816	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861
09/01/0823	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861
01/01/0816	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861
01/01/0825	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	khāṣṣakīya (sulṭān)	is intimate with	al-Muẓaffar ʾAḥmad b. Shaykh 1364
