Yashbak al-ʾAtābakī al-Mushidd 28	ʾatābak ʿasākir (al-Qāhira/Cairo)
Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr 100 (al-Qāhira/Cairo)
Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr 040 (al-Qāhira/Cairo)
Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr 100 (al-Qāhira/Cairo)
Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr 040 (al-Qāhira/Cairo)
Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr 040 (al-Qāhira/Cairo)
Taghrī Birdī al-Muʾadhī 29	ʾamīr 100 (al-Qāhira/Cairo)
Taghrī Birdī al-Muʾadhī 29	ʾamīr 010 (al-Qāhira/Cairo)
Taghrī Birdī al-Muʾadhī 29	mamālīk sulṭānīya (sulṭān)
Taghrī Birdī al-Muʾadhī 29	ʾamīr 040 (al-Qāhira/Cairo)
ʾUrkmās al-Ẓāhirī al-Dawādār 30	baṭṭāl
ʾUrkmās al-Ẓāhirī al-Dawādār 30	ʾamīr 100 (al-Qāhira/Cairo)
ʾUrkmās al-Ẓāhirī al-Dawādār 30	ʾamīr 040 (al-Qāhira/Cairo)
Qarājā (Qarāqujā) al-Ḥasanī  31	ʾamīr 100 (al-Qāhira/Cairo)
Qarājā (Qarāqujā) al-Ḥasanī  31	muqaddam ʿaskar
Qarājā (Qarāqujā) al-Ḥasanī  31	ʾamīr 100 (al-Qāhira/Cairo)
Qarājā (Qarāqujā) al-Ḥasanī  31	ʾamīr 010 (al-Qāhira/Cairo)
Qarājā (Qarāqujā) al-Ḥasanī  31	ʾamīr 040 (al-Qāhira/Cairo)
Qarājā (Qarāqujā) al-Ḥasanī  31	jund
Tanbak al-Jaqmaqī 32	ʾamīr 010 (al-Qāhira/Cairo)
Tanbak al-Jaqmaqī 32	raʾs nawba (ʾamīr)
Jaqmaq al-ʾArghūn Shāwī 34	ʾamīr 100 (al-Qāhira/Cairo)
Jaqmaq al-ʾArghūn Shāwī 34	ʾamīr 040 (al-Qāhira/Cairo)
Jaqmaq al-ʾArghūn Shāwī 34	ʾamīr 010 (al-Qāhira/Cairo)
Nawrūz al-Ḥāfiẓī 35	ʾamīr 100 (al-Qāhira/Cairo)
Yalbughā al-Nāṣirī al-Ẓāhirī 39	ʾatābak ʿasākir (al-Qāhira/Cairo)
Yalbughā al-Nāṣirī al-Ẓāhirī 39	ʾamīr kabīr (al-Qāhira/Cairo)
Yalbughā al-Nāṣirī al-Ẓāhirī 39	ʾamīr 100 (al-Qāhira/Cairo)
Ṭūghān al-Ḥasanī 40	ʾamīr 100 (al-Qāhira/Cairo)
Shāhīn al-ʾAfram 41	ʾamīr 010 (al-Qāhira/Cairo)
Shāhīn al-ʾAfram 41	ʾamīr 100 (al-Qāhira/Cairo)
Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	ʾamīr kabīr (al-Qāhira/Cairo)
Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	ʾatābak ʿasākir (al-Qāhira/Cairo)
Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	ʾamīr 100 (al-Qāhira/Cairo)
Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	ʾamīr (general)
Sūdūn al-ʾAshqar 43	baṭṭāl
Sūdūn al-ʾAshqar 43	ʾamīr 100 (al-Qāhira/Cairo)
Sūdūn al-ʾAshqar 43	ʾamīr (Dimashq/Damascus)
Sūdūn al-ʾAshqar 43	ʾamīr 020 (al-Qāhira/Cairo)
Sūdūn al-ʾAshqar 43	ʾamīr 100 (Dimashq/Damascus)
Qānī Bāy al-Jārkasī 44	ʾamīr 040 (al-Qāhira/Cairo)
Qānī Bāy al-Jārkasī 44	ʾamīr 100 (al-Qāhira/Cairo)
Qānī Bāy al-Jārkasī 44	ʾamīr 010 (al-Qāhira/Cairo)
Qānī Bāy al-Jārkasī 44	baṭṭāl
Qānī Bāy al-Jārkasī 44	mamālīk sulṭānīya (sulṭān)
Qānī Bāy al-Jārkasī 44	khāṣṣakīya (sulṭān)
Qānibak al-ʾAshrafī 46	ʾamīr 010 (al-Qāhira/Cairo)
Jakam Khāl al-ʿAzīz 47	ʾamīr 010 (al-Qāhira/Cairo)
Jakam Khāl al-ʿAzīz 47	ʾamīr 010 (al-Qāhira/Cairo)
Muḥammad b. al-Tabbānī 50	qāḍī ʿaskar
Jarbāsh Qāshuq al-Karīmī 51	ʾamīr 100 (al-Qāhira/Cairo)
Jarbāsh Qāshuq al-Karīmī 51	ʾamīr 010 (al-Qāhira/Cairo)
Jarbāsh Qāshuq al-Karīmī 51	baṭṭāl
Jarbāsh Qāshuq al-Karīmī 51	baṭṭāl
Jarbāsh Qāshuq al-Karīmī 51	baṭṭāl
Jarbāsh Qāshuq al-Karīmī 51	ʾamīr 010 (al-Qāhira/Cairo)
Jarbāsh Qāshuq al-Karīmī 51	ʾamīr 040 (al-Qāhira/Cairo)
