Source	Label	Target
al-Muʾayyad Shaykh 12	makhdūm of	Sūdūn al-Muḥammadī 3164
al-Muʾayyad Shaykh 12	makhdūm of	Sūdūn al-Lakkāshī 1670
al-Muʾayyad Shaykh 12	makhdūm of	Sūdūn al-Ḥamawī 1642
al-Muʾayyad Shaykh 12	makhdūm of	Yūnus al-Mushidd 1489
al-Muʾayyad Shaykh 12	mamlūk (khidma) of	al-Ẓāhir Barqūq 4
al-Muʾayyad Shaykh 12	mamlūk (khidma) of	al-Mustaʿīn bi-llāh 15
al-Muʾayyad Shaykh 12	īnī of	ʾĀqsunqur al-ʾAshrafī 2648
al-Muʾayyad Shaykh 12	īnī of	Taghrī Birdī al-Bashbughāwī  1889
al-Muʾayyad Shaykh 12	zawj of	Khawand Khadīja 631
al-Muʾayyad Shaykh 12	zawj of	Khawand 1116
al-Muʾayyad Shaykh 12	zawj of	Quṭlubāy 1074
al-Muʾayyad Shaykh 12	zawj of	Saʿādāt 1365
al-Muʾayyad Shaykh 12	zawj of	Khawand Zaynab 3597
al-Muʾayyad Shaykh 12	zawj of	Manjak 4454
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Sūdūn al-Sayfī Bulāṭ al-ʾAʿrāj 306
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	khāṣṣakīya (Shaykh) 699
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	ʾĪnāl al-Jakamī 126
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Tanbak al-Muṣāriʿ 3041
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Jānibak al-Muʾayyadī al-Bajmaqdār 1525
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	ʿAlī Bāy al-Muʾayyadī 1023
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Dawlāt Bāy al-Muʾayyadī 273
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Tanam al-Muʾayyadī 227
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	ʾUzbak al-Sayfī Qānī Bāy Juḥā 3850
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Yalkhujā min Māmish 652
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Barsbāy al-ʾĪnālī al-Muʾayyadī 2725
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Tanbak al-Muṣāriʿ 3041
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Tanbak al-Ẓāhirī 592
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Taghrī Birdī al-Muʾayyadī 930
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Timrāz al-Muʾayyadī al-Khāzindār 3030
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Jānim al-Muʾayyadī 4112
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	ʿAlī Bāy al-Muʾayyadī al-Dawādār 1648
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Faraj b. Sakiz Bāy 2635
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Faraj b. Sakiz Bāy 2635
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Qashtam al-Muʾayyadī 512
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Māmish al-Muʾayyadī 1666
al-Muʾayyad Shaykh 12	master (khāṣṣakī) of	Muqbil al-Ḥusāmī al-Dawādār 946
al-Muʾayyad Shaykh 12	khāṣṣakī of	al-Ẓāhir Barqūq 4
al-Muʾayyad Shaykh 12	mamlūk (tājir) of	Maḥmūd Shāh al-Yazīdī 13
al-Muʾayyad Shaykh 12	ḥam of	Fakhr al-Dīn b. ʾAbi l-Faraj 214
al-Muʾayyad Shaykh 12	ḥam of	Ṭūghān al-Ḥasanī 40
al-Muʾayyad Shaykh 12	ḥam of	ʾAḥmad b. Tanam 435
al-Muʾayyad Shaykh 12	ḥam of	ʾAlṭunbughā al-Qurmushī 221
al-Muʾayyad Shaykh 12	owner of	jārīya sulṭān (Shaykh) 936
al-Muʾayyad Shaykh 12	nadīm of	Taqī al-Dīn b. Ḥijja 175
al-Muʾayyad Shaykh 12	nadīm of	ʿAbd al-ʿAzīz al-Baghdādī 666
al-Muʾayyad Shaykh 12	nadīm of	ʾIbrāhīm b. Bābāy al-ʿAwwād 2469
al-Muʾayyad Shaykh 12	nadīm of	Fāris al-Maḥmūdī 136
al-Muʾayyad Shaykh 12	nadīm of	ʾaʿyān nudabāʾ (Shaykh) 3226
al-Muʾayyad Shaykh 12	nadīm of	nadīm/nudamāʾ Shaykh 3270
al-Muʾayyad Shaykh 12	nadīm of	Tanbak al-Muʾayyadī 2374
al-Muʾayyad Shaykh 12	nadīm of	Nāṣir al-Dīn b. al-Bārizī 71
al-Muʾayyad Shaykh 12	nadīm of	Yaḥyā b. Lāqī 2009
al-Muʾayyad Shaykh 12	nadīm of	ʿĀshiq Maḥmūd al-ʿAjamī 3561
al-Muʾayyad Shaykh 12	nadīm of	Shihāb al-Dīn ʾAḥmad al-ʾAdhraʿī 3007
al-Muʾayyad Shaykh 12	nadīm of	ʾAḥmad b. al-ʿAjamī 61
al-Muʾayyad Shaykh 12	nadīm of	Tāj al-Dīn Tāj al-Shawīkī 116
al-Muʾayyad Shaykh 12	nadīm of	Timrāz al-ʾAʿwar 3740
al-Muʾayyad Shaykh 12	nadīm of	Timrāz al-ʾAʿwar 3740
al-Muʾayyad Shaykh 12	nadīm of	Ṭūghān al-ʾAmīr ʾĀkhūr 107
al-Muʾayyad Shaykh 12	nadīm of	Badr al-Dīn al-ʾAqṣarāʾī 3581
al-Muʾayyad Shaykh 12	nadīm of	Taqī al-Dīn Yaḥyā al-Kirmānī 4624
al-Muʾayyad Shaykh 12	khusdāsh of	ʾUzdamur al-Nāṣirī al-Ẓāhirī 1590
al-Muʾayyad Shaykh 12	khusdāsh of	ʾUzdamur al-Nāṣirī al-Ẓāhirī 1590
al-Muʾayyad Shaykh 12	patron of	nāʾib/nuwwāb Shaykh 797
al-Muʾayyad Shaykh 12	patron of	khāṣṣ / khawwāṣ (Shaykh) 808
al-Muʾayyad Shaykh 12	patron of	al-Ẓāhir Ṭaṭar 441
al-Muʾayyad Shaykh 12	patron of	Fakhr al-Dīn b. ʾAbi l-Faraj 214
al-Muʾayyad Shaykh 12	patron of	Tanam al-Ḥasanī 1117
al-Muʾayyad Shaykh 12	patron of	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179
al-Muʾayyad Shaykh 12	patron of	ʾAbū Bakr b. Qutlūbak 1234
al-Muʾayyad Shaykh 12	patron of	Badr al-Dīn b. Muzhir 1079
al-Muʾayyad Shaykh 12	patron of	Ḥasan b. Muḥibb al-Dīn 70
al-Muʾayyad Shaykh 12	patron of	al-ʾAshraf Barsbāy 24
al-Muʾayyad Shaykh 12	patron of	Qānṣūh al-Nawrūzī 344
al-Muʾayyad Shaykh 12	patron of	al-Ẓāhir Ṭaṭar 441
al-Muʾayyad Shaykh 12	patron of	Yaḥyā b. Lāqī 2009
al-Muʾayyad Shaykh 12	patron of	Masʿūd al-ʿAjamī 2497
al-Muʾayyad Shaykh 12	patron of	ʾAlṭunbughā al-Qurmushī 221
al-Muʾayyad Shaykh 12	patron of	ʾAlṭunbughā al-Ṣaghīr 1266
al-Muʾayyad Shaykh 12	patron of	Jaqmaq al-ʾArghūn Shāwī 34
al-Muʾayyad Shaykh 12	patron of	Ṭūghān al-ʾAmīr ʾĀkhūr 107
al-Muʾayyad Shaykh 12	patron of	Tanbak al-Muʾayyadī 2374
al-Muʾayyad Shaykh 12	patron of	ʾAḥmad al-Ṣafadī 488
al-Muʾayyad Shaykh 12	patron of	Shaʿbān b. al-Yaghmūrī 907
al-Muʾayyad Shaykh 12	patron of	Ṭughān 888
al-Muʾayyad Shaykh 12	patron of	ʿAbd al-Bāsiṭ al-Dimashqī 80
al-Muʾayyad Shaykh 12	patron of	al-ʾAshraf Barsbāy 24
al-Muʾayyad Shaykh 12	patron of	Muḥibb al-Dīn ʾAḥmad al-Baghdādī 553
al-Muʾayyad Shaykh 12	patron of	Yashbak al-Jakamī 3222
al-Muʾayyad Shaykh 12	patron of	Bayghūt  al-Muʾayyadī al-ʾAʿraj 665
al-Muʾayyad Shaykh 12	patron of	Quṭlūbughā al-Tanamī 442
al-Muʾayyad Shaykh 12	patron of	Khalīl b. al-Kuwayz 1534
al-Muʾayyad Shaykh 12	patron of	Khalīl b. al-Kuwayz 1534
al-Muʾayyad Shaykh 12	patron of	Fatḥ Allāh al-Tabrīzī 16
al-Muʾayyad Shaykh 12	patron of	Qānī Bāy al-Ḥamzāwī 176
al-Muʾayyad Shaykh 12	patron of	Qujqār al-Qurdumī 247
al-Muʾayyad Shaykh 12	patron of	Muḥammad al-Ḥamatī* 4476
al-Muʾayyad Shaykh 12	patron of	Zayn al-Dīn al-Khāzindār 242
al-Muʾayyad Shaykh 12	patron of	Muqbil al-Ḥusāmī al-Dawādār 946
al-Muʾayyad Shaykh 12	patron of	Taqī al-Dīn Yaḥyā al-Kirmānī 4624
al-Muʾayyad Shaykh 12	patron of	Taqī al-Dīn b. Ḥijja 175
al-Muʾayyad Shaykh 12	patronized by 	ʾUzdamur al-Nāṣirī al-Ẓāhirī 1590
al-Muʾayyad Shaykh 12	patron (mulāzama) of	ʾAlṭunbughā al-Qurmushī 221
al-Muʾayyad Shaykh 12	patron (mulāzama) of	Nāṣir al-Dīn b. al-Bārizī 71
al-Muʾayyad Shaykh 12	patron (mulāzama) of	Yaḥyā b. Lāqī 2009
al-Muʾayyad Shaykh 12	patron (ṣaḥāba) of	Muḥammad b. Manjak 161
al-Muʾayyad Shaykh 12	patron (ṣaḥāba) of	Yaḥyā b. Lāqī 2009
al-Muʾayyad Shaykh 12	ṣāḥib of (=)	Nāṣir al-Dīn b. al-Bārizī 71
al-Muʾayyad Shaykh 12	ṣāḥib of (=)	Sūdūn al-Muḥammadī Talī 69
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Muḥammad b. al-Tabbānī 50
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Muḥammad b. Manjak 161
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Faraj b. Sakiz Bāy 2635
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Jānibak al-Sāqī 3562
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Shihāb al-Dīn ʾAḥmad al-ʾAdhraʿī 3007
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Tīmūrlank 1249
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	ʾAsanbāy al-Zardkāsh al-Ẓāhirī 1233
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	ʾAqbāy al-Khāzindār al-Muʾayyadī 301
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	ʾAlṭunbughā al-Qurmushī 221
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	ʾAlṭunbughā al-Qurmushī 221
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	ʾĪnāl al-Jakamī 126
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Tāj al-Dīn Tāj al-Shawīkī 116
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Khalīl b. al-Kuwayz 1534
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Ṭūkh al-ʾAbū Bakrī al-Muʾayyadī 1413
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Ṭūghān al-ʾAmīr ʾĀkhūr 107
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	ʿAbd al-Bāsiṭ al-Dimashqī 80
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Ṣadr al-Dīn b. al-ʾĀdamī  114
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Faraj b. Sakiz Bāy 2635
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Fayrūz al-Jārkasī al-Sāqī 19
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Qurqmās Sayyidī al-Kabīr 53
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Nāṣir al-Dīn b. al-Bārizī 71
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Badr al-Dīn b. Muzhir 1079
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Mughulbāy al-Muʾayyadī 1650
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Taqī al-Dīn Yaḥyā al-Kirmānī 4624
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Niẓām al-Dīn Yaḥyā al-Sīrāmī 4304
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Yashbak al-Jakamī 3222
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Sharaf al-Dīn Yaʿqūb al-Tabbānī 63
al-Muʾayyad Shaykh 12	patron (khāṣṣ) of	Taqī al-Dīn b. Ḥijja 175
al-ʾAshraf Barsbāy 24	parent of	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
al-ʾAshraf Barsbāy 24	parent of	Muḥammad b. Barsbāy 1084
al-ʾAshraf Barsbāy 24	parent of	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
al-ʾAshraf Barsbāy 24	parent of	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
al-ʾAshraf Barsbāy 24	parent of	ʾawlād al-ʾAshraf Barsbāy 3309
al-ʾAshraf Barsbāy 24	parent of	al-Shihābī ʾAḥmad b. al-Malik al-ʾAshraf Barsbāy al-Duqmāqī al-Ẓāhirī 3728
al-ʾAshraf Barsbāy 24	parent of	Jānibak al-ʾAshrafī al-Dawādār al-Thānī 3865
al-ʾAshraf Barsbāy 24	parent of	Ibnat Jānibak al-ʾAshrafī al-Dawādār al-Thānī 4117
al-ʾAshraf Barsbāy 24	sibling of	Yashbak ʾAkhū al-ʾAshraf Barsbāy 1452
al-ʾAshraf Barsbāy 24	sibling of	al-Ẓāhir Ṭaṭar 441
al-ʾAshraf Barsbāy 24	sibling of	Jānim al-ʾAshrafī  26
al-ʾAshraf Barsbāy 24	sibling of	Yashbak ʾAkhū al-ʾAshraf Barsbāy 1452
al-ʾAshraf Barsbāy 24	ustādh of	al-ʾAshrafīya Barsbāy 82
al-ʾAshraf Barsbāy 24	ustādh of	Ṭūghān al-Zardkāsh  261
al-ʾAshraf Barsbāy 24	ustādh of	ʾUzdamur 262
al-ʾAshraf Barsbāy 24	ustādh of	Sayf al-Dīn Yakhshī Bāy 354
al-ʾAshraf Barsbāy 24	ustādh of	mamālīk sulṭānīya (Barsbāy) 1015
al-ʾAshraf Barsbāy 24	ustādh of	Jānibak al-Khāzindār al-Dawādār 1006
al-ʾAshraf Barsbāy 24	ustādh of	mamālīk julbān (al-ʾAshraf Barsbāy) 1582
al-ʾAshraf Barsbāy 24	ustādh of	Jānibak min Qujmās al-ʾAshrafī 891
al-ʾAshraf Barsbāy 24	ustādh of	Qurqmās al-ʾAshrafī al-Jalab 863
al-ʾAshraf Barsbāy 24	ustādh of	Jānibak al-ʾAshrafī al-Ẓarīf 900
al-ʾAshraf Barsbāy 24	ustādh of	Jānim al-ʾAshrafī  26
al-ʾAshraf Barsbāy 24	ustādh of	ʾaʿyān al-ʾAshrafīya Barsbāy 2238
al-ʾAshraf Barsbāy 24	ustādh of	Tanbak al-ʾAshrafī al-Muʿallim 2793
al-ʾAshraf Barsbāy 24	ustādh of	ʿAlī Bāy al-ʾAshrafī 820
al-ʾAshraf Barsbāy 24	ustādh of	Julbān al-Hindī 260
al-ʾAshraf Barsbāy 24	ustādh of	Jānibak al-Khāzindār al-Dawādār 1006
al-ʾAshraf Barsbāy 24	ustādh of	Jānibak al-ʾAshrafī al-Ẓarīf 900
al-ʾAshraf Barsbāy 24	ustādh of	Qānim Naʿja al-ʾAshrafī 1501
al-ʾAshraf Barsbāy 24	ustādh of	ʾIyās al-Ṭawīl 3901
al-ʾAshraf Barsbāy 24	ustādh of	Yashbak al-Ḥarūn 3900
al-ʾAshraf Barsbāy 24	ustādh of	ʾUzbak al-ʾAshrafī al-Bawwāb 3946
al-ʾAshraf Barsbāy 24	ustādh of	Jānim al-ʾAshrafī al-Bahlawān 1265
al-ʾAshraf Barsbāy 24	ustādh of	ʾĪnāl al-ʾAshrafī al-Faqīh 21
al-ʾAshraf Barsbāy 24	ustādh of	mamālīk sulṭānīya (Barsbāy) 1015
al-ʾAshraf Barsbāy 24	ustādh of	Timrāz al-Muʾayyadī al-Muṣāriʿ 737
al-ʾAshraf Barsbāy 24	ustādh of	Jānim al-ʾAshrafī 3851
al-ʾAshraf Barsbāy 24	ustādh of	Jānibak al-ʾAshrafī al-Dawādār al-Thānī 3865
al-ʾAshraf Barsbāy 24	ustādh of	Jānibak al-Mushidd 1164
al-ʾAshraf Barsbāy 24	ustādh of	Jarbāsh Mushidd Sayyidī 4200
al-ʾAshraf Barsbāy 24	ustādh of	Qarājā al-ʾAshrafī   263
al-ʾAshraf Barsbāy 24	ustādh of	Yashbak al-ʾAtābakī al-Mushidd 28
al-ʾAshraf Barsbāy 24	ustādh of	Sayf al-Dīn al-ʾAshrafī al-Sāqī 4671
al-ʾAshraf Barsbāy 24	ustādh of	ʾAydakī al-ʾAshrafī 1282
al-ʾAshraf Barsbāy 24	mamlūk (ustādh) of	Duqmāq al-Muḥammadī 2218
al-ʾAshraf Barsbāy 24	mamlūk (ustādh) of	al-Ẓāhir Barqūq 4
al-ʾAshraf Barsbāy 24	makhdūm of	ʾAmyān b. al-Ḥusaynī 1041
al-ʾAshraf Barsbāy 24	makhdūm of	Yashbak Janū ʾAydkī* 3297
al-ʾAshraf Barsbāy 24	makhdūm of	Timurbāy al-Sāqī 3298
al-ʾAshraf Barsbāy 24	makhdūm of	Nawrūz  3299
al-ʾAshraf Barsbāy 24	makhdūm of	Tanbak min ʾIlyās al-Sāqī 3300
al-ʾAshraf Barsbāy 24	makhdūm of	Yashbak al-ʾAshqar 3301
al-ʾAshraf Barsbāy 24	makhdūm of	ʾAsandamur al-Jaqmaqī 1177
al-ʾAshraf Barsbāy 24	makhdūm of	Barsbāy al-Bajāsī 894
al-ʾAshraf Barsbāy 24	makhdūm of	Tanbak al-Jaqmaqī 32
al-ʾAshraf Barsbāy 24	makhdūm of	Jānibak al-Yashbakī 844
al-ʾAshraf Barsbāy 24	makhdūm of	ʿAbd al-Karīm b. Kātib Jakam 1226
al-ʾAshraf Barsbāy 24	makhdūm of	Muḥammad b. Qāsim 132
al-ʾAshraf Barsbāy 24	īnī of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-ʾAshraf Barsbāy 24	īnī of	ʾAsandamur al-Nūrī al-Ẓāhirī 957
al-ʾAshraf Barsbāy 24	īnī of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-ʾAshraf Barsbāy 24	zawj of	Fāṭima bt. Qujqār 1238
al-ʾAshraf Barsbāy 24	zawj of	Julbān al-Hindī 260
al-ʾAshraf Barsbāy 24	zawj of	Fāṭima bt. al-Ẓāhir Ṭaṭar 3387
al-ʾAshraf Barsbāy 24	zawj of	Julbān al-Hindī 260
al-ʾAshraf Barsbāy 24	zawj of	Shāh Zādah bt. Ibn ʿUthmān 2983
al-ʾAshraf Barsbāy 24	zawj of	bint Yashbak al-ʾAʿraj 3784
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	khāṣṣakīya (al-ʾAshraf Barsbāy) 1611
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Khushkaldī 3506
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānibak al-Yashbakī 844
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Barsbāy al-ʾĪnālī al-Muʾayyadī 2725
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Timrāz al-Muʾayyadī al-Muṣāriʿ 737
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	ʿAlī Bāy al-ʾAshrafī 820
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānibak al-Khāzindār al-Dawādār 1006
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Mughulbāy al-Shihābī 1509
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Khayrbak al-Muʾayyadī 974
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānim al-ʾAshrafī al-Bahlawān 1265
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	al-Sayfī Qānī Bāy al-Yūsufī  1149
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	ʾĀqṭuwah al-ʾAshrafī 3957
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	ʾUrkmās 4044
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	ʾĪnāl al-Kamālī al-Nāṣirī 3695
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānim al-ʾAshrafī  26
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānim al-ʾAshrafī 3851
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānibak al-Mushidd 1164
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānibak al-Nāṣirī al-Murtadd 1088
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jānibak al-Nawrūzī 2916
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Khushkaldī al-Jaqmaqī 3323
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Jarbāsh Mushidd Sayyidī 4200
al-ʾAshraf Barsbāy 24	master (khāṣṣakī) of	Sayf al-Dīn Yakhshī Bāy 354
al-ʾAshraf Barsbāy 24	mamlūk (tājir) of	Ṣādiq 3860
al-ʾAshraf Barsbāy 24	relative of	Jānim al-ʾAshrafī  26
al-ʾAshraf Barsbāy 24	relative of	Jānim al-ʾAshrafī  26
al-ʾAshraf Barsbāy 24	relative of	Qurqmās al-ʾAshrafī al-Jalab 863
al-ʾAshraf Barsbāy 24	relative of	Qurqmās 853
al-ʾAshraf Barsbāy 24	relative of	Qurqmās al-ʾAshrafī al-Jalab 863
al-ʾAshraf Barsbāy 24	relative of	ʾĀqṭuwah al-ʾAshrafī 3957
al-ʾAshraf Barsbāy 24	relative of	Khadīja bint ʾĀqṭuwah  3959
al-ʾAshraf Barsbāy 24	owner of	jawārī (al-ʾAshraf Barsbāy) 517
al-ʾAshraf Barsbāy 24	owner of	Julbān al-Hindī 260
al-ʾAshraf Barsbāy 24	nadīm of	Tāj al-Dīn Tāj al-Shawīkī 116
al-ʾAshraf Barsbāy 24	nadīm of	Muḥammad b. Qāsim 132
al-ʾAshraf Barsbāy 24	nadīm of	Ṣalāḥ al-Dīn b. Naṣr Allāh 522
al-ʾAshraf Barsbāy 24	nadīm of	Badr al-Dīn al-ʿAynī 462
al-ʾAshraf Barsbāy 24	khusdāsh of	Sayf al-Dīn Yakhshī Bāy 354
al-ʾAshraf Barsbāy 24	khusdāsh of	al-Ẓāhirīya (Barqūq) 2964
al-ʾAshraf Barsbāy 24	khusdāsh of	ʾUzdamur 3807
al-ʾAshraf Barsbāy 24	khusdāsh of	Jarbāsh 3808
al-ʾAshraf Barsbāy 24	patron of	Mūsā b. Qarā 557
al-ʾAshraf Barsbāy 24	patron of	mamālīk (Barsbāy) 961
al-ʾAshraf Barsbāy 24	patron of	Muḥammad b. Qāsim 132
al-ʾAshraf Barsbāy 24	patron of	ʿAbd al-Wahhāb al-Khaṭīr 2774
al-ʾAshraf Barsbāy 24	patron of	Ṣalāḥ al-Dīn b. Naṣr Allāh 522
al-ʾAshraf Barsbāy 24	patron of	ʿawn al-ʾAshraf Barsbāy 3586
al-ʾAshraf Barsbāy 24	patron of	Jawhar al-Zimām al-Lālā 18
al-ʾAshraf Barsbāy 24	patron of	hawashī (al-ʾAshraf Barsbāy) 3792
al-ʾAshraf Barsbāy 24	patron of	ʾArghūn Shāh al-ʾAʿwar 390
al-ʾAshraf Barsbāy 24	patron of	ʿAbd al-Wahhāb al-Khaṭīr 2774
al-ʾAshraf Barsbāy 24	patron of	ʿAbd al-Karīm b. Kātib Jakam 1226
al-ʾAshraf Barsbāy 24	patron of	Salīm al-Jinānī al-Muʿtaqad 4278
al-ʾAshraf Barsbāy 24	patron of	Mughulbāy al-Jaqmaqī 3852
al-ʾAshraf Barsbāy 24	patron of	Zayn al-Dīn Khushqadam al-Ẓāhirī 3432
al-ʾAshraf Barsbāy 24	patronized by 	Sayf al-Dīn Yakhshī Bāy 354
al-ʾAshraf Barsbāy 24	patronized by 	Nawrūz al-Ḥāfiẓī 35
al-ʾAshraf Barsbāy 24	patronized by 	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-ʾAshraf Barsbāy 24	patronized by 	al-Muʾayyad Shaykh 12
al-ʾAshraf Barsbāy 24	patronized by 	al-Malik al-Ṣāliḥ Muḥammad 882
al-ʾAshraf Barsbāy 24	patronized by 	al-Ẓāhir Ṭaṭar 441
al-ʾAshraf Barsbāy 24	patronized by 	Taghrī Birmish al-Turkmānī 110
al-ʾAshraf Barsbāy 24	patron (mulāzama) of	ʾAḥmad b. Nawrūz al-Khuḍarī 1185
al-ʾAshraf Barsbāy 24	patron (ṣaḥāba) of	Muḥammad b. Qāsim 132
al-ʾAshraf Barsbāy 24	ṣāḥib of (=)	al-Ẓāhir Ṭaṭar 441
al-ʾAshraf Barsbāy 24	ṣāḥib of (=)	Tanbak al-Bajāsī  212
al-ʾAshraf Barsbāy 24	ṣāḥib of (=)	al-Malik al-Ṣāliḥ Muḥammad 882
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	khāṣṣakīya (al-ʾAshraf Barsbāy) 1611
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Jānibak al-Khāzindār al-Dawādār 1006
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	ʾAsandamur al-Jaqmaqī 1177
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Timrāz al-Qurmishī  27
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Jawhar al-Zimām al-Lālā 18
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Jawhar al-Zimām al-Lālā 18
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Sūdūn al-Sayfī Bulāṭ al-ʾAʿrāj 306
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	ʿAlī Bāy al-ʾAshrafī 820
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Fayrūz al-Jārkasī al-Sāqī 19
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Kizil al-Sūdūnī al-Muʿallim  1411
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Badr al-Dīn al-ʿAynī 462
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Mughulbāy al-Jaqmaqī 3852
al-ʾAshraf Barsbāy 24	patron (khāṣṣ) of	Sayf al-Dīn al-ʾAshrafī al-Sāqī 4671
al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	parent of	al-Muʾayyad ʾAḥmad b. ʾĪnāl 211
al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	parent of	Ibnat al-ʾAshraf ʾĪnāl 963
al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	parent of	ʾawlād al-ʾAshraf ʾĪnāl 1166
al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	parent of	al-Nāṣirī Muḥammad b. ʾĪnāl 1152
