source	target	weight	type
al-Ẓāhir Jaqmaq 2	Jārkas al-Qāsimī al-Muṣāriʿ 593	15	sibling of
al-Ẓāhir Jaqmaq 2	Jārkas al-Qāsimī al-Muṣāriʿ 593	15	sibling of
al-Ẓāhir Jaqmaq 2	Muḥammad b. al-Fakhrī ʿUthmān 3180	10	relative of
al-Ẓāhir Jaqmaq 2	Mamjiq al-Nawrūzī 598	10	relative of
ʾĪnāl al-Yūsufī al-ʾAtābak 3	ʿAlī b. ʾĪnāl al-Yūsufī 5	20	parent of
ʾĪnāl al-Yūsufī al-ʾAtābak 3	ʾUzdamur ʾAkhū ʾĪnāl al-Yūsufī 1856	15	sibling of
ʾĪnāl al-Yūsufī al-ʾAtābak 3	ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693	10	relative of
ʾĪnāl al-Yūsufī al-ʾAtābak 3	Muḥammad 2251	10	relative of
al-Ẓāhir Barqūq 4	al-Nāṣir Faraj b. Barqūq 14	20	parent of
al-Ẓāhir Barqūq 4	Khawand Zaynab 3597	20	parent of
al-Ẓāhir Barqūq 4	al-Malik al-Manṣūr ʿAbd al-ʿAzīz  2002	20	parent of
al-Ẓāhir Barqūq 4	Khawand Bayram 4049	20	parent of
al-Ẓāhir Barqūq 4	ʾawlād al-Ẓāhir Barqūq 4070	20	parent of
al-Ẓāhir Barqūq 4	ʾIbrāhīm bn. Barqūq 4071	20	parent of
al-Ẓāhir Barqūq 4	Sārā bint al-Ẓāhir Barqūq 2752	20	parent of
al-Ẓāhir Barqūq 4	Muḥammad b. Barqūq 1748	20	parent of
al-Ẓāhir Barqūq 4	ʿĀʾisha bt. ʾAnas 2903	15	sibling of
al-Ẓāhir Barqūq 4	ʿĀʾisha bt. ʾAnas 2903	15	sibling of
al-Ẓāhir Barqūq 4	ʾukht Barqūq al-kubrā 2904	15	sibling of
al-Ẓāhir Barqūq 4	jidda Sūdūn al-Ẓāhirī 4288	15	sibling of
al-Ẓāhir Barqūq 4	Faraj b. al-Nāṣir Faraj 670	10	relative of
al-Ẓāhir Barqūq 4	Qujmās al-Muḥammadī al-Jarkasī 1964	10	relative of
al-Ẓāhir Barqūq 4	Sūdūn al-Ẓāhirī 2743	10	relative of
al-Ẓāhir Barqūq 4	Khalīl b. al-Nāṣir Faraj 672	10	relative of
al-Ẓāhir Barqūq 4	Sūdūn al-Ẓāhirī 2743	10	relative of
al-Ẓāhir Barqūq 4	Sūdūn al-Ẓāhirī 1795	10	relative of
al-Ẓāhir Barqūq 4	Qānī Bāy b. ʿAbd Allāh 2197	10	relative of
ʿAlī b. ʾĪnāl al-Yūsufī 5	ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693	20	parent of
ʿAlī b. ʾĪnāl al-Yūsufī 5	Muḥammad 2251	20	parent of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	al-Shihābī ʾAḥmad b. al-Malik al-ʾAshraf Barsbāy al-Duqmāqī al-Ẓāhirī 3728	15	sibling of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	Julbān al-Hindī 260	15	sibling of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	ʾAbū Yazīd 3746	15	sibling of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	Jakam Khāl al-ʿAzīz 47	5	nephew of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	Baybars al-ʾAshrafī 324	5	nephew of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	Jakam Khāl al-ʿAzīz 47	5	nephew of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	Jakam Khāl al-ʿAzīz 47	5	nephew of
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	ʾAbū Yazīd 3746	5	nephew of
Qurqmās al-Shaʿbānī 11	Ibn Qurqmās al-Shaʿbānī 3826	20	parent of
al-Muʾayyad Shaykh 12	ʾIbrāhīm b. al-Muʾayyad Shaykh 217	20	parent of
al-Muʾayyad Shaykh 12	Mūsā b. Shaykh 1073	20	parent of
al-Muʾayyad Shaykh 12	Muḥammad b. Shaykh 1118	20	parent of
al-Muʾayyad Shaykh 12	al-Muẓaffar ʾAḥmad b. Shaykh 1364	20	parent of
al-Muʾayyad Shaykh 12	Satīta 1589	20	parent of
al-Muʾayyad Shaykh 12	ʿUmar b. Shaykh 2354	20	parent of
al-Muʾayyad Shaykh 12	Bint al-Muʾayyad 2930	20	parent of
al-Muʾayyad Shaykh 12	ʾIbrāhīm b. Shaykh 813	20	parent of
al-Muʾayyad Shaykh 12	Nafisāʾ bint al-Muʾayyad 3809	20	parent of
al-Muʾayyad Shaykh 12	Nafisāʾ bint al-Muʾayyad 3809	20	parent of
al-Muʾayyad Shaykh 12	Faraj b. Sakiz Bāy 2635	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Satīta bint al-Nāṣir Faraj 219	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Faraj b. al-Nāṣir Faraj 670	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Muḥammad b. al-Nāṣir Faraj 671	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Khalīl b. al-Nāṣir Faraj 672	20	parent of
al-Nāṣir Faraj b. Barqūq 14	ʿAbd al-ʿAzīz b. al-Nāṣir Faraj 712	20	parent of
al-Nāṣir Faraj b. Barqūq 14	ʾIbrāhīm b. al-Nāṣir Faraj 714	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Shaqrāʾ bt. al-Nāṣir Faraj 2487	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Bint al-Nāṣir Faraj 2375	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Shaqrāʾ bt. al-Nāṣir Faraj 2487	20	parent of
al-Nāṣir Faraj b. Barqūq 14	ʾĀsiya 3996	20	parent of
al-Nāṣir Faraj b. Barqūq 14	Bint al-Nāṣir Faraj 3884	20	parent of
al-Nāṣir Faraj b. Barqūq 14	al-Malik al-Manṣūr ʿAbd al-ʿAzīz  2002	15	sibling of
al-Nāṣir Faraj b. Barqūq 14	Khawand Bayram 4049	15	sibling of
al-Nāṣir Faraj b. Barqūq 14	Sārā bint al-Ẓāhir Barqūq 2752	15	sibling of
al-Nāṣir Faraj b. Barqūq 14	ʾUkht al-Nāṣir Faraj 4084	15	sibling of
al-Nāṣir Faraj b. Barqūq 14	ʿĀʾisha bt. ʾAnas 2903	5	nephew of
al-Mustaʿīn bi-llāh 15	Yaḥyā b. al-Mustaʿīn bi-llāh 4155	20	parent of
al-Mustaʿīn bi-llāh 15	al-Muʿtaḍid bi-llāh  258	15	sibling of
al-Mustaʿīn bi-llāh 15	Muḥammad b. al-Ṭāzī 2005	15	sibling of
Fatḥ Allāh al-Tabrīzī 16	Badīʿ b. Nafīs 4420	5	nephew of
Fatḥ Allāh al-Tabrīzī 16	Nafīs 4418	10	relative of
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	Tāj al-Dīn Muḥammad al-Bulqīnī 3163	20	parent of
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	Qāsim b. al-Bulqīnī 1038	20	parent of
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440	15	sibling of
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	Badr al-Dīn al-Bulqīnī 3689	15	sibling of
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	Taqī al-Dīn al-Bulqīnī 1394	1	uncle of
Jawhar al-Zimām al-Lālā 18	Jawhar al-Qunuqbāʾī al-Khāzindār 606	15	sibling of
Sūdūn al-Jakamī 20	ʾĪnāl al-Jakamī 126	15	sibling of
al-ʾAshraf Barsbāy 24	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	20	parent of
al-ʾAshraf Barsbāy 24	Muḥammad b. Barsbāy 1084	20	parent of
al-ʾAshraf Barsbāy 24	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	20	parent of
al-ʾAshraf Barsbāy 24	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	20	parent of
al-ʾAshraf Barsbāy 24	ʾawlād al-ʾAshraf Barsbāy 3309	20	parent of
al-ʾAshraf Barsbāy 24	al-Shihābī ʾAḥmad b. al-Malik al-ʾAshraf Barsbāy al-Duqmāqī al-Ẓāhirī 3728	20	parent of
al-ʾAshraf Barsbāy 24	Jānibak al-ʾAshrafī al-Dawādār al-Thānī 3865	20	parent of
al-ʾAshraf Barsbāy 24	Ibnat Jānibak al-ʾAshrafī al-Dawādār al-Thānī 4117	20	parent of
al-ʾAshraf Barsbāy 24	Yashbak ʾAkhū al-ʾAshraf Barsbāy 1452	15	sibling of
al-ʾAshraf Barsbāy 24	al-Ẓāhir Ṭaṭar 441	15	sibling of
al-ʾAshraf Barsbāy 24	Jānim al-ʾAshrafī  26	15	sibling of
al-ʾAshraf Barsbāy 24	Yashbak ʾAkhū al-ʾAshraf Barsbāy 1452	15	sibling of
al-ʾAshraf Barsbāy 24	Jānim al-ʾAshrafī  26	10	relative of
al-ʾAshraf Barsbāy 24	Jānim al-ʾAshrafī  26	10	relative of
al-ʾAshraf Barsbāy 24	Qurqmās al-ʾAshrafī al-Jalab 863	10	relative of
al-ʾAshraf Barsbāy 24	Qurqmās 853	10	relative of
al-ʾAshraf Barsbāy 24	Qurqmās al-ʾAshrafī al-Jalab 863	10	relative of
al-ʾAshraf Barsbāy 24	ʾĀqṭuwah al-ʾAshrafī 3957	10	relative of
al-ʾAshraf Barsbāy 24	Khadīja bint ʾĀqṭuwah  3959	10	relative of
ʾĀqbughā al-Timrāzī  25	Sāra bint ʾĀqbughā al-Timrāzī 1521	20	parent of
Jānim al-ʾAshrafī  26	al-Sharafī Yaḥyā 1542	20	parent of
Jānim al-ʾAshrafī  26	ʾawlād Jānim al-ʾAshrafī 2406	20	parent of
Jānim al-ʾAshrafī  26	al-Zaynī ʿAbd al-Qādir 2762	20	parent of
Jānim al-ʾAshrafī  26	al-ʾAshraf Barsbāy 24	15	sibling of
Jānim al-ʾAshrafī  26	ʾukht Jānim al-ʾAshrafī  3684	15	sibling of
Jānim al-ʾAshrafī  26	ʾĀqṭuwah al-ʾAshrafī 3957	15	sibling of
Jānim al-ʾAshrafī  26	al-ʾAshraf Barsbāy 24	10	relative of
Jānim al-ʾAshrafī  26	al-ʾAshraf Barsbāy 24	10	relative of
Jānim al-ʾAshrafī  26	Dawlāt Bāy al-Muʾayyadī 273	10	relative of
ʾUrkmās al-Ẓāhirī al-Dawādār 30	Muḥammad b. ʾUrkmās 3540	20	parent of
Qarājā (Qarāqujā) al-Ḥasanī  31	Ibn Qarājā al-Ḥasanī 1500	20	parent of
Nawrūz al-Ḥāfiẓī 35	ʾukht Nawrūz 3121	15	sibling of
Shāhīn al-ʾAfram 41	Taghrī Birdī al-Bashbughāwī  1889	15	sibling of
Jakam Khāl al-ʿAzīz 47	Baybars al-ʾAshrafī 324	15	sibling of
Jakam Khāl al-ʿAzīz 47	Julbān al-Hindī 260	15	sibling of
Jakam Khāl al-ʿAzīz 47	ʾAṣīl* 4129	15	sibling of
Jakam Khāl al-ʿAzīz 47	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	1	uncle of
Jakam Khāl al-ʿAzīz 47	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	1	uncle of
Jarbāsh Qāshiq al-Karīmī 51	Zaynab bt. Jarbāsh Qāshiq 555	20	parent of
Jarbāsh Qāshiq al-Karīmī 51	Zaynab bt. Jarbāsh Qāshiq 555	20	parent of
Jarbāsh Qāshiq al-Karīmī 51	qarīb Jarbāsh al-Karīmī 1463	10	relative of
Qurqmās Sayyidī al-Kabīr 53	Qujmās b. Qurqmās 4433	20	parent of
Qurqmās Sayyidī al-Kabīr 53	Taghrī Birdī Sayyidī al-Ṣaghīr 65	15	sibling of
Qurqmās Sayyidī al-Kabīr 53	Damurdāsh al-Muḥammadī 67	5	nephew of
Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55	ʾIbrāhīm b Muḥibb al-Dīn b. al-ʾAshqar  1465	20	parent of
Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55	ʾAḥmad b. Muḥibb al-Dīn al-ʾAshqar 2574	20	parent of
Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55	Sulaymān b. Rasūl 4271	10	relative of
ʾAḥmad b. al-ʿAjamī 61	ʾibnat Ibn al-ʿAjamī 1581	20	parent of
Taghrī Birdī Sayyidī al-Ṣaghīr 65	Qurqmās Sayyidī al-Kabīr 53	15	sibling of
Taghrī Birdī Sayyidī al-Ṣaghīr 65	Damurdāsh al-Muḥammadī 67	5	nephew of
ʿAlī b. Dulghādir 66	Ḥamza b. Dulghādir 765	20	parent of
ʿAlī b. Dulghādir 66	Muḥammad Bak b. Dulghādir 556	15	sibling of
Damurdāsh al-Muḥammadī 67	Bint al-ʾAmīr Damurdāsh 4154	20	parent of
Damurdāsh al-Muḥammadī 67	ʾAkhū Damurdāsh 4156	15	sibling of
Damurdāsh al-Muḥammadī 67	Taghrī Birdī Sayyidī al-Ṣaghīr 65	1	uncle of
Damurdāsh al-Muḥammadī 67	Qurqmās Sayyidī al-Kabīr 53	1	uncle of
Damurdāsh al-Muḥammadī 67	Taghrī Birdī al-Bashbughāwī  1889	10	relative of
Nāṣir al-Dīn b. al-Bārizī 71	Mughul bint al-Bārizī 319	20	parent of
Nāṣir al-Dīn b. al-Bārizī 71	ʾAḥmad b. al-Bārizī 2495	20	parent of
Nāṣir al-Dīn b. al-Bārizī 71	Kamāl al-Dīn b. al-Bārizī 99	20	parent of
Nāṣir al-Dīn b. al-Bārizī 71	ʾUkht Mughul  4292	20	parent of
Nāṣir al-Dīn b. al-Bārizī 71	ʾAkhwāl Nāṣir al-Dīn b. al-Bārizī 4546	5	nephew of
ʿUmar b. Ḥijjī 72	Muḥammad b. ʿUmar b. Ḥijjī 545	20	parent of
ʾAsanbughā al-Ṭayyārī 73	ʾawlād ʾAsanbughā al-Ṭayyārī 3675	20	parent of
Ṭawkh Baṭṭīkh 75	walad Ṭawkh 199	20	parent of
Shams al-Dīn al-Basāṭī  78	Zayn al-Dīn ʿAbd al-Ghanī 4479	20	parent of
ʿAbd al-Bāsiṭ al-Dimashqī 80	ʾAbū Bakr 377	20	parent of
ʿAbd al-Bāsiṭ al-Dimashqī 80	Ibn ʿAbd al-Bāsiṭ (2) 532	20	parent of
ʿAbd al-Bāsiṭ al-Dimashqī 80	Ibn ʿAbd al-Bāsiṭ (3) 534	20	parent of
ʿAbd al-Bāsiṭ al-Dimashqī 80	ʾawlād ʿAbd al-Bāsiṭ 784	20	parent of
ʿAbd al-Bāsiṭ al-Dimashqī 80	Muḥammad b. ʿAbd al-Bāsiṭ 1520	20	parent of
ʿAbd al-Bāsiṭ al-Dimashqī 80	Fāṭima bint Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085	20	parent of
ʿAbd al-Bāsiṭ al-Dimashqī 80	ʿayāl ʿAbd al-Bāsiṭ al-Dimashqī 4226	10	relative of
al-Nāṣirī Muḥammad 81	al-Manṣūr ʿUthmān b. Jaqmaq 819	15	sibling of
al-Nāṣirī Muḥammad 81	ʾArghūn Shāh al-Baydamurī 1779	10	relative of
Jānibak al-Ṣūfī 83	Bint Jānibak al-Ṣūfī 563	20	parent of
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	Ṣalāḥ al-Dīn b. Naṣr Allāh 522	20	parent of
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	ʿAbd al-Wahhāb al-Fawwī 2399	15	sibling of
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	Sharaf al-Dīn ʾAbu l-Ṭayyib 929	1	uncle of
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	Sharaf al-Dīn Muḥammad b. ʾAḥmad 4144	10	relative of
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	Ḥasan b. Muḥammad 4145	10	relative of
ʾAbū Bakr al-ʾAshqar 89	ʿAbd al-Laṭīf b. ʾAbī Bakr al-ʾAshqar 550	20	parent of
ʾAbū Bakr al-ʾAshqar 89	ʿAbd al-Laṭīf b. al-ʿAjamī 1114	20	parent of
Shihāb al- Dīn ʾAḥmad b. Ḥajar 93	Badr al-Dīn Muḥammad al-ʿAsqalānī al-Shāfiʿī 3768	20	parent of
Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	Burhān al-Dīn ʾIbrāhīm Ibn al-Dīrī 2907	15	sibling of
Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	ʿAbd al-Raḥmān al-Dīrī 776	15	sibling of
Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	ʾaqārib Saʿd al-Dīn al-Dīrī 4169	10	relative of
ʾIbrāhīm b. al-Bāʿūnī 98	Yūsuf b. ʾAḥmad al-Bāʿūnī 546	15	sibling of
Kamāl al-Dīn b. al-Bārizī 99	Fāṭima bt. al-Bārizī 3673	20	parent of
Kamāl al-Dīn b. al-Bārizī 99	Zaynab bt. al-Bārizī 4062	20	parent of
Kamāl al-Dīn b. al-Bārizī 99	Mughul bint al-Bārizī 319	15	sibling of
Kamāl al-Dīn b. al-Bārizī 99	ʾAḥmad b. al-Bārizī 2495	15	sibling of
Kamāl al-Dīn b. al-Bārizī 99	Khadīja bt al-Ẓāhir Jaqmaq 2320	10	relative of
Taghrī Birmish al-Turkmānī 110	Ḥasan Shāh 3249	15	sibling of
ʿAqīl b. Wabīr 113	Muqbil al-Ḥasanī 647	5	nephew of
ʿAqīl b. Wabīr 113	Ṣurdāḥ b. Muqbil 3876	10	relative of
Tāj al-Dīn Tāj al-Shawīkī 116	ʿUmar 122	15	sibling of
Tāj al-Dīn Tāj al-Shawīkī 116	ʿUmar 122	15	sibling of
Tāj al-Dīn Tāj al-Shawīkī 116	ḥafīd Tāj al-Shawīkī 4089	10	relative of
Zayn al-Dīn Yaḥyā 118	Muḥammad b. ʿAbd al-Razzāq 363	10	relative of
Zayn al-Dīn Yaḥyā 118	Fakhr al-Dīn b. ʾAbi l-Faraj 214	10	relative of
Zayn al-Dīn Yaḥyā 118	ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923	10	relative of
Muḥammad al-Ṣaghīr 120	ʿAbd al-ʿAzīz b. Muḥammad al-Ṣaghīr 1151	20	parent of
ʿUmar 122	Tāj al-Dīn Tāj al-Shawīkī 116	15	sibling of
ʿUmar 122	Tāj al-Dīn Tāj al-Shawīkī 116	15	sibling of
ʾĪnāl al-Jakamī 126	Sūdūn al-Jakamī 20	15	sibling of
Muḥammad b. Qāsim 132	ʾAkh Ibn Qāsim 3455	15	sibling of
Muḥammad b. Qāsim 132	qarīb Walī al-Dīn b. Qāsim 3143	10	relative of
Jahān Shāh b. Qarā Yūsuf 140	Pir Buḍagh b. Jahān Shāh 3239	20	parent of
Jahān Shāh b. Qarā Yūsuf 140	ʾIskandar b. Qarā Yūsuf 141	15	sibling of
Jahān Shāh b. Qarā Yūsuf 140	ʾIsbahān 3052	15	sibling of
Jahān Shāh b. Qarā Yūsuf 140	Shāh Muḥammad b. Qarā Yūsuf 341	15	sibling of
Jahān Shāh b. Qarā Yūsuf 140	Ibn ʾIṣbahān b. Qarā Yūsuf 3051	1	uncle of
ʾIskandar b. Qarā Yūsuf 141	Qūmāṭ b. ʾIskandar 3403	20	parent of
ʾIskandar b. Qarā Yūsuf 141	Ibnat ʾIskandar b. Qarā Yūsuf 3406	20	parent of
ʾIskandar b. Qarā Yūsuf 141	Jahān Shāh b. Qarā Yūsuf 140	15	sibling of
ʾIskandar b. Qarā Yūsuf 141	ʾIṣbahān b. Qarā Yūsuf 2684	15	sibling of
ʾIskandar b. Qarā Yūsuf 141	Shāh Muḥammad b. Qarā Yūsuf 341	15	sibling of
Shāh Rukh b. Tīmūrlank 143	ʾAḥmad Jūkī b. Shāh Rukh 142	20	parent of
Shāh Rukh b. Tīmūrlank 143	ʾawlād Shah Rukh 680	20	parent of
Shāh Rukh b. Tīmūrlank 143	ʾUlūgh Bak b. Shāh Rukh 694	20	parent of
Shāh Rukh b. Tīmūrlank 143	Bāy Sunqur b. Shāh Rukh 1261	20	parent of
Shāh Rukh b. Tīmūrlank 143	walad Shāh Rukh 3658	20	parent of
Shāh Rukh b. Tīmūrlank 143	ʾAmīrzāh ʾIbrahīm b. Shāh Rukh 3685	20	parent of
Shāh Rukh b. Tīmūrlank 143	ʾUlūgh Bak b. Shāh Rukh 694	20	parent of
Shāh Rukh b. Tīmūrlank 143	Khalīl b. Tīmūr  4305	10	relative of
Murād Bak b. ʿUthmān 144	Muḥammad Bak b. Murād Bak b. ʿUthmān 911	20	parent of
Murād Bak b. ʿUthmān 144	ʾArkhun Bak 3511	15	sibling of
Murād Bak b. ʿUthmān 144	ʾAḥmad 1381	10	relative of
Murād Bak b. ʿUthmān 144	ʾAḥmad 1381	10	relative of
Murād Bak b. ʿUthmān 144	Shāh Zādah bint Ibn ʿUthmān 2983	10	relative of
Murād Bak b. ʿUthmān 144	Sulaymān b. ʾArkhun Bak 3510	10	relative of
Qaṣrūh min Timrāz al-Ẓāhirī 145	Muḥammad b. Qaṣrūh 3421	20	parent of
Kurdī Bāk b. Kandar 152	ʿUmar 153	15	sibling of
ʿUmar 153	Kurdī Bāk b. Kandar 152	15	sibling of
al-ʿIjl Yūsuf b. Nuʿayr 160	Ḥusayn b. Nuʿayr 168	15	sibling of
Muḥammad b. Manjak 161	Manjak 4454	10	relative of
ʿAlī Bak b. Qarā Yuluk 163	Jahān Shāh 165	20	parent of
ʿAlī Bak b. Qarā Yuluk 163	Ḥasan Bak b. ʿAlī Bak b. Qarā Yuluk 1448	20	parent of
ʿAlī Bak b. Qarā Yuluk 163	Jahān Kīr 166	20	parent of
ʿAlī Bak b. Qarā Yuluk 163	Yaʿqūb b. Qarā Yuluk 164	15	sibling of
ʿAlī Bak b. Qarā Yuluk 163	Ḥamza b. Qarā Yuluk 3542	15	sibling of
Yaʿqūb b. Qarā Yuluk 164	Mirzā b. Yaʿqūb b. Qarā Yuluk 3665	20	parent of
Yaʿqūb b. Qarā Yuluk 164	Jaʿfar b. Yaʿqūb b. Qarā Yuluk 3723	20	parent of
Yaʿqūb b. Qarā Yuluk 164	ʿAlī Bak b. Qarā Yuluk 163	15	sibling of
Yaʿqūb b. Qarā Yuluk 164	Ḥamza b. Qarā Yuluk 3542	15	sibling of
Jahān Kīr 166	Walad Jahān Kīr 4136	20	parent of
Jahān Kīr 166	Ḥasan Bak b. ʿAlī Bak b. Qarā Yuluk 1448	15	sibling of
Jahān Kīr 166	Ḥasan b. Qarā Yuluk 3053	5	nephew of
Jahān Kīr 166	Ḥamza b. Qarā Yuluk 3542	5	nephew of
Jahān Kīr 166	Qāsim b. Qarā Yuluk 2715	10	relative of
Jahān Kīr 166	ʿUthmān Qarā Yuluk 397	10	relative of
ʾIsmāʿīl b. al-Ẓāhir ʿAbd Allāh 167	ʿAbd Allāh b. ʾAḥmad 1577	15	sibling of
Ḥusayn b. Nuʿayr 168	al-ʿIjl Yūsuf b. Nuʿayr 160	15	sibling of
Jānibak al-Maḥmūdī 181	Qānī Bak al-Maḥmūdī 978	15	sibling of
Saʿd al-Dīn al-Bashīrī 182	ʿAbd al-Karīm b. Kātib Jakam 1226	20	parent of
ʿAbd al-Razzāq b. al-Hayṣam 183	Bint ʿAbd al-Razzāq b. al-Hayṣam 3307	20	parent of
ʿAbd al-Razzāq b. al-Hayṣam 183	ʿAbd al-Ghanī b. al-Hayṣam  3874	15	sibling of
ʿAbd al-Razzāq b. al-Hayṣam 183	ʾIbrāhīm b. al-Hayṣam 321	1	uncle of
ʿAbd al-Razzāq b. al-Hayṣam 183	Jamāl al-Dīn b. Kātib Jakam 571	10	relative of
ʿAbd al-Razzāq b. al-Hayṣam 183	dhurrīyat al-Muqawqis 4219	10	relative of
Dāwud b. al-Kuwayz 203	ʿAbd al-Raḥmān b. al-Kuwayz 608	20	parent of
Dāwud b. al-Kuwayz 203	Sulaymān b. al-Kuwayz 660	20	parent of
Dāwud b. al-Kuwayz 203	Khalīl b. al-Kuwayz 1534	15	sibling of
Jamāl al-Dīn Yūsuf al-Karakī 204	Mūsā al-Karakī al-Shawbikī 3699	20	parent of
al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	Ibnat ʾAḥmad b. ʾĪnāl 2292	20	parent of
al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	al-Nāṣirī Muḥammad b. ʾĪnāl 1152	15	sibling of
al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	ʾukht ʾAḥmad b. ʾĪnāl 1241	15	sibling of
al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	ibnat al-ʾAshraf ʾĪnāl 963	15	sibling of
Fakhr al-Dīn b. ʾAbi l-Faraj 214	ʾAḥmad b. Fakhr al-Dīn 1607	20	parent of
Fakhr al-Dīn b. ʾAbi l-Faraj 214	ʿAbd al-Qādir b. ʾAbī al-Faraj 1102	20	parent of
Fakhr al-Dīn b. ʾAbi l-Faraj 214	Zayn al-Dīn Yaḥyā 118	10	relative of
ʾAlṭunbughā al-Qurmushī 221	Muḥammad b.ʾAlṭunbughā al-Qurmushī 399	20	parent of
Tanam al-Muʾayyadī 227	Ibn Tanam al-Muʾayyadī 3209	20	parent of
Jamāl al-Dīn Yūsuf al-ʾUstādār 239	ʾawlād Jamāl al-Dīn Yūsuf al-ʾUstādār 4652	20	parent of
Jamāl al-Dīn Yūsuf al-ʾUstādār 239	Shams al-Dīn al-Bīrī 1376	15	sibling of
Jamāl al-Dīn Yūsuf al-ʾUstādār 239	ʾahl Jamāl al-Dīn Yūsuf al-ʾUstādār 4649	10	relative of
Jamāl al-Dīn Yūsuf al-ʾUstādār 239	ʾaqārib Jamāl al-Dīn Yūsuf al-ʾUstādār 4650	10	relative of
Qujqār al-Qurdumī 247	Fāṭima bt. Qujqār 1238	20	parent of
Ṭur ʿAlī b. Saqal Sīz 254	Khalīl b. Ṭūr ʿAlī b. Saqal Sīz 347	20	parent of
Ṭur ʿAlī b. Saqal Sīz 254	Ṭughrīl b. Ṣaqal Sīz* 725	15	sibling of
Ṭur ʿAlī b. Saqal Sīz 254	Ṭughrīl b. Ṣaqal Sīz* 725	5	nephew of
al-Muʿtaḍid bi-llāh  258	al-Mustaʿīn bi-llāh 15	15	sibling of
al-Muʿtaḍid bi-llāh  258	al-Mustakfī bi-llāh 688	15	sibling of
al-Muʿtaḍid bi-llāh  258	Yaḥyā b. al-Mustaʿīn bi-llāh 4155	1	uncle of
al-Muʿtaḍid bi-llāh  258	Yaḥyā b. al-Mustaʿīn bi-llāh 4155	10	relative of
Sūdūn min ʿAbd al-Raḥmān 259	Bint Sūdūn min ʿAbd al-Raḥman 3928	20	parent of
Julbān al-Hindī 260	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	20	parent of
Julbān al-Hindī 260	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	20	parent of
Julbān al-Hindī 260	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	20	parent of
Julbān al-Hindī 260	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	15	sibling of
Julbān al-Hindī 260	Baybars al-ʾAshrafī 324	15	sibling of
Julbān al-Hindī 260	ʾUkht Baybars 4130	15	sibling of
Julbān al-Hindī 260	Jakam Khāl al-ʿAzīz 47	15	sibling of
Julbān al-Hindī 260	ʾAṣīl* 4129	15	sibling of
