source	target	weight
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sayf al-Dīn Jānibak b. ʿAbd Allāh al-Qawāmī al-Muʾayyadī 3708	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sayf al-Dīn Yakhshī Bāy 354	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Saʿādāt 1365	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sharaf al-Dīn Yaʿqūb al-Tabbānī 63	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Shaʿbān b. al-Yaghmūrī 907	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Shihāb al-Dīn ʾAḥmad al-ʾAdhraʿī 3007	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn Qarāqāsh al-ʾĪnālī 232	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Lakkāshī 1670	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muʾayyadī al-Faqīh al-ʾAshqar 3833	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muḥammadī 3164	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muḥammadī Talī 69	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muḥammadī ʾAtmakjī 129	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Sayfī Bulāṭ al-ʾAʿrāj 306	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-ʾAbūbakrī al-Muʾayyadī 2509	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Ḥamawī 1642	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taghrī Birdī al-Bashbughāwī  1889	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taghrī Birdī al-Muʾayyadī 930	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taghrī Birmish al-Jalālī 716	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-Muʾayyadī 227	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-Sāqī al-Muʾayyadī 4198	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-ʿAlāʾī 349	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-Ḥasanī 1117	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanbak al-Muʾayyadī 2374	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanbak al-Muṣāriʿ 3041	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanbak al-Ẓāhirī 592	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taqī al-Dīn Yaḥyā al-Kirmānī 4624	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taqī al-Dīn b. Ḥijja 175	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timrāz al-Muʾayyadī al-Khāzindār 3030	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timrāz al-Muʾayyadī al-Muṣāriʿ 737	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timrāz al-ʾAʿwar 3740	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timurbāy al-Yūsufī 2315	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tāj al-Dīn Tāj al-Shawīkī 116	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tīmūrlank 1249	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yalkhujā min Māmish 652	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yarshubāy al-ʾĪnālī  949	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yashbak al-Jakamī 3222	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yashbak al-Muʾayyadī al-Ṣūfī 919	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yashbak al-Yūsufī al-Muʾayyadī 249	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yashbak ʾĀnālī 942	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yaḥyā b. Lāqī 2009	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Yūnus al-Mushidd 1489	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Zayn al-Dīn Khushqadam al-Yashbakī 2601	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Zayn al-Dīn al-Khāzindār 242	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Mustaʿīn bi-llāh 15	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Muʾayyadīya 268	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Muẓaffar ʾAḥmad b. Shaykh 1364	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Nāṣirīya Faraj 2226	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-ʾAshraf Barsbāy 24	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Ẓāhir Barqūq 4	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Ẓāhir Yalbāy al-ʾĪnālī al-Muʾayyadī 1090	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	al-Ẓāhir Ṭaṭar 441	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	jārīya sulṭān (Shaykh) 936	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	khāṣṣ / khawwāṣ (Shaykh) 808	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	khāṣṣakīya (Shaykh) 699	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	mamālīk sulṭānīya (Shaykh) 282	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	nadīm/nudamāʾ Shaykh 3270	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	nāʾib/nuwwāb Shaykh 797	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAbū Bakr b. Qutlūbak 1234	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAlṭunbughā al-Marqabī  97	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAlṭunbughā al-Qurmushī 221	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAlṭunbughā al-Ṣaghīr 1266	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAqbāy al-Khāzindār al-Muʾayyadī 301	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAsanbāy al-Zardkāsh al-Ẓāhirī 1233	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAyitmish al-Muʾayyadī  815	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAyāz 2834	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAḥmad al-Ṣafadī 488	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAḥmad b. Tanam 435	1
