al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	nephew of	ʾAbū Yazīd 3746
Qurqmās al-Shaʿbānī 11	parent of	Ibn Qurqmās al-Shaʿbānī 3826
al-Muʾayyad Shaykh 12	parent of	ʾIbrāhīm b. al-Muʾayyad Shaykh 217
al-Muʾayyad Shaykh 12	parent of	Mūsā b. Shaykh 1073
al-Muʾayyad Shaykh 12	parent of	Muḥammad b. Shaykh 1118
al-Muʾayyad Shaykh 12	parent of	al-Muẓaffar ʾAḥmad b. Shaykh 1364
al-Muʾayyad Shaykh 12	parent of	Satīta 1589
al-Muʾayyad Shaykh 12	parent of	ʿUmar b. Shaykh 2354
al-Muʾayyad Shaykh 12	parent of	Bint al-Muʾayyad 2930
al-Muʾayyad Shaykh 12	parent of	ʾIbrāhīm b. Shaykh 813
al-Muʾayyad Shaykh 12	parent of	Nafisāʾ bint al-Muʾayyad 3809
al-Muʾayyad Shaykh 12	parent of	Nafisāʾ bint al-Muʾayyad 3809
al-Muʾayyad Shaykh 12	parent of	Faraj b. Sakiz Bāy 2635
al-Nāṣir Faraj b. Barqūq 14	parent of	Satīta bint al-Nāṣir Faraj 219
al-Nāṣir Faraj b. Barqūq 14	parent of	Faraj b. al-Nāṣir Faraj 670
al-Nāṣir Faraj b. Barqūq 14	parent of	Muḥammad b. al-Nāṣir Faraj 671
al-Nāṣir Faraj b. Barqūq 14	parent of	Khalīl b. al-Nāṣir Faraj 672
al-Nāṣir Faraj b. Barqūq 14	parent of	ʿAbd al-ʿAzīz b. al-Nāṣir Faraj 712
al-Nāṣir Faraj b. Barqūq 14	parent of	ʾIbrāhīm b. al-Nāṣir Faraj 714
al-Nāṣir Faraj b. Barqūq 14	parent of	Shaqrāʾ bt. al-Nāṣir Faraj 2487
al-Nāṣir Faraj b. Barqūq 14	parent of	Bint al-Nāṣir Faraj 2375
al-Nāṣir Faraj b. Barqūq 14	parent of	Shaqrāʾ bt. al-Nāṣir Faraj 2487
al-Nāṣir Faraj b. Barqūq 14	parent of	ʾĀsiya 3996
al-Nāṣir Faraj b. Barqūq 14	parent of	Bint al-Nāṣir Faraj 3884
al-Nāṣir Faraj b. Barqūq 14	sibling of	al-Malik al-Manṣūr ʿAbd al-ʿAzīz  2002
al-Nāṣir Faraj b. Barqūq 14	sibling of	Khawand Bayram 4049
al-Nāṣir Faraj b. Barqūq 14	sibling of	Sārā bint al-Ẓāhir Barqūq 2752
al-Nāṣir Faraj b. Barqūq 14	sibling of	ʾUkht al-Nāṣir Faraj 4084
al-Nāṣir Faraj b. Barqūq 14	nephew of	ʿĀʾisha bt. ʾAnas 2903
al-Mustaʿīn bi-llāh 15	parent of	Yaḥyā b. al-Mustaʿīn bi-llāh 4155
al-Mustaʿīn bi-llāh 15	sibling of	al-Muʿtaḍid bi-llāh  258
al-Mustaʿīn bi-llāh 15	sibling of	Muḥammad b. al-Ṭāzī 2005
Fatḥ Allāh al-Tabrīzī 16	nephew of	Badīʿ b. Nafīs 4420
Fatḥ Allāh al-Tabrīzī 16	relative of	Nafīs 4418
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	parent of	Tāj al-Dīn Muḥammad al-Bulqīnī 3163
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	parent of	Qāsim b. al-Bulqīnī 1038
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	sibling of	ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	sibling of	Badr al-Dīn al-Bulqīnī 3689
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	uncle of	Taqī al-Dīn al-Bulqīnī 1394
Jawhar al-Zimām al-Lālā 18	sibling of	Jawhar al-Qunuqbāʾī al-Khāzindār 606
Sūdūn al-Jakamī 20	sibling of	ʾĪnāl al-Jakamī 126
al-ʾAshraf Barsbāy 24	parent of	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
al-ʾAshraf Barsbāy 24	parent of	Muḥammad b. Barsbāy 1084
al-ʾAshraf Barsbāy 24	parent of	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
al-ʾAshraf Barsbāy 24	parent of	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
al-ʾAshraf Barsbāy 24	parent of	ʾawlād al-ʾAshraf Barsbāy 3309
al-ʾAshraf Barsbāy 24	parent of	al-Shihābī ʾAḥmad b. al-Malik al-ʾAshraf Barsbāy al-Duqmāqī al-Ẓāhirī 3728
al-ʾAshraf Barsbāy 24	parent of	Jānibak al-ʾAshrafī al-Dawādār al-Thānī 3865
al-ʾAshraf Barsbāy 24	parent of	Ibnat Jānibak al-ʾAshrafī al-Dawādār al-Thānī 4117
al-ʾAshraf Barsbāy 24	sibling of	Yashbak ʾAkhū al-ʾAshraf Barsbāy 1452
al-ʾAshraf Barsbāy 24	sibling of	al-Ẓāhir Ṭaṭar 441
al-ʾAshraf Barsbāy 24	sibling of	Jānim al-ʾAshrafī  26
