al-Muʾayyad Shaykh 12	appoints	ʿAbd al-Razzāq b. al-Hayṣam 183
unknown 0	appoints	ʿAbd al-Wahhāb b. ʾAbī Shākir 104
unknown 0	appoints	ʿAbd al-Wahhāb b. ʾAbī Shākir 104
unknown 0	appoints	Mūsā b. Muḥammad 237
unknown 0	appoints	Manklī Bughā al-ʿAjamī 240
unknown 0	appoints	Manklī Bughā al-ʿAjamī 240
al-Ẓāhir Barqūq 4	appoints	Manklī Bughā al-ʿAjamī 240
unknown 0	appoints	Zayn al-Dīn al-Khāzindār 242
unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61
unknown 0	appoints	Ṣarghitmish 250
unknown 0	appoints	Nāṣir al-Dīn b. al-ʿAdīm 101
unknown 0	appoints	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42
unknown 0	appoints	ʾĪnāl al-Ṣaṣlānī 115
unknown 0	appoints	Sūdūn Qarāṣaqal 257
unknown 0	appoints	ʾAlṭunbughā al-Qurmushī 221
unknown 0	appoints	Ḥasan b. Muḥibb al-Dīn 70
unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61
al-Muʾayyad Shaykh 12	appoints	al-Muʿtaḍid bi-llāh  258
unknown 0	appoints	Muḥammad b. al-Tabbānī 50
unknown 0	appoints	Tanbak al-Ẓāhirī 592
unknown 0	appoints	Qarājā al-Kabkabī 269
unknown 0	appoints	Mamjiq al-Nawrūzī 598
unknown 0	appoints	Timrāz al-Qurmishī  27
unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28
unknown 0	appoints	Qarājā (Qarāqujā) al-Ḥasanī  31
unknown 0	appoints	Timurbāy al-Timurbughāwī 147
unknown 0	appoints	Taghrī Birdī al-Muʾadhī 29
unknown 0	appoints	Dawlāt Bāy al-Muʾayyadī 273
unknown 0	appoints	Jarbāsh Kurd al-Muḥammadī 272
unknown 0	appoints	ʾAlṭunbughā al-ʿUthmānī 117
unknown 0	appoints	ʾAlṭunbughā al-ʿUthmānī 117
unknown 0	appoints	Ṣumāy al-Ḥasanī 281
unknown 0	appoints	Ḥājjī al-Rūmī 245
unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61
unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61
al-Muʾayyad Shaykh 12	appoints	Kizil Nāʾib Bahasnā 289
al-Muʾayyad Shaykh 12	appoints	ʾĪnāl al-Ṣaṣlānī 115
al-Muʾayyad Shaykh 12	appoints	Tanbak al-Bajāsī  212
al-Muʾayyad Shaykh 12	appoints	Sūdūn min ʿAbd al-Raḥmān 259
al-Muʾayyad Shaykh 12	appoints	Jānibāk al-Ḥamzāwī 291
al-Muʾayyad Shaykh 12	appoints	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42
al-Muʾayyad Shaykh 12	appoints	Ṭarabāy al-Ẓāhirī 294
unknown 0	appoints	ʾAmīn al-Dīn al-Nuwayrī 127
