Source	Target	Weight
البصري	الكاتب	2
التنيسي	الفقيه	2
المقريء	حران	12
البوشنجي	بوشنج	4
مصر	هراة	9
الازدي	المصري	5
البلنسي	المولي	3
الانصاري	البصرة	3
الاندلسي	الروم	2
الشافعي	بلخ	2
اغمات	الجزيرة	2
التركي	قيسارية	2
حران	مكة	7
القاضي	القاهرة	3
الحنفي	المولي	3
القنطري	المقريء	3
اشبيلية	الاشبيلي	20
التميمي	الشام	3
الاشبيلي	البارع	2
الجبال	مصر	5
النحوي	الواسطي	3
الاسكندرية	مصر	7
الجزيرة	الشام	6
القيسي	دمشق	2
القدس	المالكي	2
الدهان	بغداد	2
المقريء	النجاد	2
العراق	مكة	11
الخطيب	قزوين	2
العبيدي	المولي	5
العطار	النيسابوري	2
الخطيب	الكوفة	2
مصر	واسط	6
جرجان	هراة	11
المحدث	مصر	11
الحميري	الصنهاجي	2
البجلي	دمشق	2
افريقية	المغرب	2
المءذن	دمشق	2
مكة	واسط	5
الحاصر	القاضي	2
البغدادي	المقريء	65
الشام	شنترين	2
طرابلس	مصر	22
السجزي	مصر	3
العراق	القطان	2
الزهراء	قرطبة	4
الجرجاني	امل	2
الخطيب	القطان	2
الحنفي	النحوي	2
التميمي	مصر	6
الضبي	هراة	4
الاندلس	الشام	11
الاندلسي	المولي	8
الري	كرمان	2
طوس	مكة	6
فارس	نيسابور	12
جرجان	قزوين	2
الحضرمي	مصر	3
الري	جرجان	6
مكة	ميافارقين	2
الشاعر	مرسية	3
الحراني	حران	2
الحجاز	بغداد	21
آمد	المقريء	3
الشاعر	الطليطلي	2
القرطبي	لورقة	2
بغداد	هراة	22
الحجاز	مرو	9
الحنفي	الهروي	6
الباجي	قرطبة	2
الخطيب	الفقيه	12
الشافعي	خراسان	15
الحنفي	الخوارزمي	2
الاصبهاني	الزعفراني	2
الجرجاني	جرجان	14
الفقيه	نيسابور	42
القرشي	الهروي	8
الرحال	مصر	3
الازدي	البزاز	2
الشافعي	ميافارقين	2
الاندلس	النحوي	6
خراسان	نهاوند	2
افريقية	الشام	2
الاصبهاني	الاهوازي	2
بغداد	جور	2
الطبيب	النيسابوري	4
القطان	مكة	2
المقريء	اليمن	3
غزنة	ما وراء النهر	3
الحجاز	قرطبة	2
الدقاق	القشيري	2
السمعاني	العطار	2
التغلبي	المولي	5
السمعاني	المقريء	4
الاشبيلي	الاموي	5
الاصبهاني	الصواف	2
القاضي	ما وراء النهر	9
الاندلسي	الانصاري	8
التركي	بغداد	5
حران	حلب	6
الاصبهاني	الطبيب	2
البصرة	واسط	8
الميورقي	النحوي	2
الحاكم	القرشي	2
السنجي	الفقيه	2
بغداد	خراسان	36
العجلي	القاضي	2
المقريء	بغداد	63
الاندلس	المدينة	2
الباقلاني	البغدادي	4
اليمن	بغداد	12
الدهان	نيسابور	2
الصدوق	جرجان	2
المقريء	سمرقند	5
سرخس	نيسابور	3
البزاز	التميمي	2
الادبي	الاديب	3
عسقلان	همذان	2
الجرجاني	نيسابور	6
سمرقند	مصر	3
الحنفي	بغداد	17
الشيعي	حلب	4
النحوي	مصر	8
الامير	الرملة	2
اسفرايين	مصر	2
الاموي	الطليطلي	5
الصوفي	مصر	12
الفقيه	حلب	2
المحدث	النيسابوري	13
الحكي	المقريء	4
القيروان	المقريء	6
اشبيلية	المغرب	3
البغدادي	الطبري	3
هراة	همذان	2
اوانا	بغداد	2
الامير	المقريء	4
الاندلس	الصدفي	2
الكوفة	سامراء	2
الجذامي	طليطلة	2
الاندلسي	مكة	7
الامير	مكة	3
حلوان	دمشق	2
البسطامي	الشافعي	3
اشبيلية	القرطبي	16
البزاز	المحدث	3
بغداد	بلخ	15
اصبهان	الحنفي	2
الخوارزمي	الفقيه	2
الاصبهاني	الحداد	2
النحوي	بغداد	15
الاندلس	الخطيب	2
اليزدي	نيسابور	3
البخاري	الخطيب	2
البلخي	فارس	2
الفقيه	جرجان	9
الاندلس	الاندلسي	13
اصبهان	طراز	2
الشروطي	النيسابوري	2
الحجاز	فارس	6
الروم	بخارى	2
الاديب	الفقيه	7
الشافعي	العراقي	3
الاصبهاني	الاهواز	2
المتكلم	النيسابوري	2
المقدسي	المقريء	3
الهند	جرجان	3
طليطلة	مكة	3
المصري	اليمن	2
الحيرة	بغداد	3
بسطام	نيسابور	2
النسفي	نسف	5
الغساني	دمشق	3
البخاري	غزنة	2
غزنة	مصر	3
الفارسي	بغداد	12
الانصاري	القرطبي	11
البغدادي	طرابلس	4
جرجان	ما وراء النهر	6
العراق	دارا	2
آمد	همذان	2
العراق	خوارزم	2
التيمي	النيسابوري	2
البصرة	ميافارقين	2
المخزومي	بغداد	2
الانبار	الحجاز	2
القرطبي	المالكي	12
بخارى	مرو	10
الفقيه	المتكلم	7
السمعاني	مصر	2
العبادي	نيسابور	2
الاندلس	المولي	13
الشاعر	القيروان	3
الصدفي	المالكي	3
الانباري	بغداد	2
الواعظ	بغداد	16
الحاكم	مكة	3
القاهرة	مصر	6
الدمشقي	الصوفي	7
الشافعي	الكعبي	2
البغدادي	الشام	6
الجزيرة	غرناطة	2
النحوي	واسط	2
العراق	الهروي	3
الاديب	التاجر	3
الحبال	مصر	3
اللغوي	طرابلس	4
القاضي	سجستان	2
ابهر	بغداد	2
الشيرازي	الفارسي	3
المرية	بطليوس	2
الرملة	المحدث	2
التجيبي	الطليطلي	4
العباسي	المكي	2
بعلبك	قزوين	2
المقريء	جيان	3
دمشق	قيسارية	6
فارس	مكة	4
استوا	النيسابوري	3
العلوي	هراة	2
خراسان	نيسابور	27
الحاكم	الحميري	2
اصبهان	القاضي	12
المقريء	منبج	2
القرطبي	المءدب	3
البغدادي	الجوهري	2
البصرة	حلب	4
التاجر	الجوهري	2
البغدادي	النصري	5
اشبيلية	بلنسية	2
طرابلس	واسط	2
الدمشقي	الكتاني	5
الاستراباذي	الحاكم	2
البزاز	مصر	4
السرخسي	مرو	2
السلمي	النيسابوري	8
الفرضي	المقريء	3
اشبيلية	الشام	3
الاندلسي	اللغوي	3
بغداد	خوارزم	5
المرية	المولي	3
الحنفي	الخطيب	2
الغلام	المقريء	2
المقريء	غزة	3
البزاز	نيسابور	2
الري	خراسان	6
الحيرة	طرابلس	2
الموصلي	مصر	2
المالكي	المفتي	4
الانصاري	طليطلة	3
الفقيه	المروروذي	5
الصقلي	صقلية	2
ديار بكر	فارس	2
الانصاري	الداني	2
الاديب	المصري	2
القراب	الهروي	4
المالكي	دمشق	5
القيروان	النحوي	2
الحازم	طرابلس	2
مصر	مكة	55
الاصبهاني	الشرابي	3
الاندلسي	القاضي	6
الامير	بعلبك	2
القيرواني	بغداد	2
الاشبيلي	القيسي	3
البغدادي	الحنبلي	17
الاصبهاني	السمسار	5
اصبهان	المحدث	9
البغدادي	المفتي	3
البصرة	سمرقند	2
الاصبهاني	الضرير	2
العراق	غزنة	2
الخطيب	بخارى	2
تكريت	طرابلس	2
الابهري	همذان	2
الاصبهاني	الواعظ	11
مرو	نيسابور	20
اصبهان	الحجاز	9
الحاكم	طرابلس	2
الحيرة	الفقيه	3
الكوفة	دمشق	8
الري	حران	2
الشام	القسطنطينية	2
الشام	فارس	6
البغدادي	العراق	11
الامير	جرجان	2
الجزيرة	اللخمي	2
البصرة	الجرجاني	2
البغدادي	الطحان	3
الاندلسي	المرسي	2
السجزي	نيسابور	2
البصرة	الهمداني	2
الاشبيلي	الجزيرة	2
الامير	الهاشمي	3
الاموي	بغداد	3
اسفرايين	مرو	2
السيبي	القصري	2
المغرب	تلمسان	2
خراسان	ميافارقين	2
اصبهان	الجوال	2
الاشبيلي	القاضي	5
بخارى	همذان	3
الجزيرة	المءيد	2
الاموي	سرقسطة	2
الفقيه	الموصلي	3
اغمات	طليطلة	2
القوي	خراسان	3
الاهواز	قيسارية	2
الري	المحدث	3
الفقيه	الهروي	14
اليمن	مصر	9
دانية	مصر	3
الاندلسي	القرطبي	8
المستملي	بغداد	2
المءدب	المءذن	2
الكتاني	المقريء	6
خراسان	واسط	2
الانصاري	الطليطلي	7
الكناني	دمشق	2
الفقيه	بغداد	83
الشافعي	بخارى	10
ديار بكر	نيسابور	2
اصبهان	المفيد	3
الزينبي	المولي	3
الحصار	دمشق	2
البصرة	نيسابور	19
الاديب	الطبيب	2
الحضرمي	المقريء	6
الشام	اللاذقية	2
المولي	مصر	20
الاسكندرية	الامير	4
البصرة	عسقلان	2
المقدسي	بغداد	7
اصبهان	امل	2
البخاري	مصر	3
فارس	فلسطين	2
الكوفة	المحدث	3
الصيرفي	مصر	2
الشافعي	المحاملي	2
استوا	نيسابور	4
ابهر	طرابلس	2
الاندلسي	الكاتب	2
الاصبهاني	نيسابور	15
طرابلس	قرطبة	2
حلب	دمشق	21
غرناطة	قرطبة	4
المالكي	الهمداني	2
الغزال	المقريء	3
السبتي	المالكي	4
البصري	العراق	4
المحدث	المقريء	7
النيسابوري	بغداد	44
الجرجراءي	المصري	2
اصبهان	فارس	8
القدس	خراسان	3
الدمشقي	النحوي	5
الاندلسي	الميورقي	2
الاندلس	القرطبي	30
البغدادي	الفقيه	27
السراج	النيسابوري	4
العباسي	القاضي	3
الحنفي	المروزي	2
الشام	جرجان	4
الاصبهاني	السلفي	2
القشيري	النيسابوري	6
الاسكافي	المتكلم	2
الابار	القرطبي	3
الضرير	النحوي	3
طوس	نهاوند	2
الجصاص	مرو	2
البجلي	المقريء	2
الدمشقي	النصيبي	2
الاصبهاني	الري	5
القرطبي	ميورقة	3
المرية	مراكش	2
الازدي	دمشق	4
ما وراء النهر	نيسابور	8
الاموي	مالقة	2
الاسفراءيني	خراسان	3
الطوسي	المشهد	6
خراسان	ما وراء النهر	9
الاندلس	بغداد	13
الفقيه	المدينة	4
المرسي	المرية	2
اصبهان	البصري	4
الاندلسي	مصر	11
التميمي	القرطبي	8
الصوفي	القدس	5
اذربيجان	بغداد	3
الاشعري	الشافعي	2
القيروان	المغرب	9
النسوي	دمشق	3
الرحال	خراسان	2
الرافضي	الرملة	2
البغدادي	الهاشمي	19
تلمسان	غرناطة	2
الدمشقي	الشافعي	3
الحجاز	اليمن	4
الشافعي	المفتي	4
الشاعر	نيسابور	3
الشيرازي	بغداد	15
الحجاز	ما وراء النهر	3
التميمي	العراق	2
الاشبيلي	المرية	2
البغدادي	الصيدلاني	2
طراز	نيسابور	3
المحدث	بخارى	3
الحنفي	مصر	2
المتولي	النظامي	2
البصرة	الهروي	2
الروم	غزنة	4
الروم	هراة	2
الحربي	المءدب	2
سلماس	هراة	2
المفتي	الهروي	2
الازدي	طرابلس	2
الرملة	العراق	2
الشيعي	دمشق	3
الفقيه	المزكي	3
الاصبهاني	النحوي	3
الجوال	الرحال	3
الطوسي	المقريء	2
النصيبي	بغداد	2
القاضي	الموصل	4
الصيرفي	النيسابوري	2
الدمشقي	الصفار	3
التاجر	المصري	3
الاشبيلي	باجة	2
الجصاص	سمرقند	2
البلنسي	القاضي	3
المري	المريي	3
الاديب	المالكي	2
المقريء	واسط	6
الانماطي	البغدادي	6
الهذلي	بغداد	2
امل	مكة	4
الازدي	المقريء	7
الفقيه	مكة	20
الفقيه	الفهري	2
الاموي	المرية	2
الميهني	الواعظ	2
الصواف	المصري	5
الشافعي	مكة	9
الفقيه	اليمن	2
اغمات	المغرب	2
الفارسي	النظامي	2
بعلبك	دمشق	5
الاندلس	بطليوس	4
الاديب	الحصري	2
المالكي	غرناطة	2
المغرب	دانية	2
الشاعر	طرابلس	2
العكبري	القاضي	3
الامير	الجزيرة	4
قيسارية	قيسارية	3
الشرقي	بغداد	2
الاديب	الاندلسي	5
الحيرة	اللخمي	2
الجرجاني	المفتي	3
الحضرمي	المالكي	2
الازدي	الهروي	7
بغداد	حلب	14
العلوي	المصري	3
صيداء	قيسارية	2
الشام	عسقلان	3
حلب	هراة	4
المحدث	صور	3
خراسان	فارس	11
الصوفي	شيراز	3
البغدادي	الشاعر	17
القسطنطينية	منازكرد	2
الاموي	القرطبي	20
باجة	قرطبة	2
الشيرازي	فارس	6
بغداد	تفليس	2
الكوفة	الواسطي	2
الحجاز	امل	2
المدينة	المقريء	2
البغدادي	المولي	10
الاديب	القيروان	2
الداني	الطليطلي	2
التاجر	هراة	2
بغداد	طرابلس	10
البصرة	كرمان	2
الحاكم	مصر	7
المفتي	هراة	3
الشام	المصري	4
القرطبي	المحدث	6
المغرب	الواعظ	2
اصبهان	الاملي	2
الحجاز	همذان	3
الشجاعي	بلخ	2
البغدادي	الكتبي	2
الروم	دمشق	3
اصبهان	دمشق	15
الفقيه	المفتي	17
الشيرازي	الواعظ	4
المتولي	المولي	3
الصدوق	النصري	3
البغدادي	الشبلي	2
المحدث	قرطبة	5
حمص	مكة	2
الكوفة	الكوفي	7
الازدي	الشام	2
البلنسي	المعافري	3
الصفار	المروزي	2
الواعظ	دمشق	7
الرازي	الشام	4
الصوفي	جرجان	6
الجزيرة	مصر	8
المتولي	دمشق	2
المولي	طوس	3
الفارسي	النحوي	6
افريقية	الامير	2
الدمشقي	الشاعر	4
الحنفي	الصوفي	3
الهند	غزنة	5
البغدادي	الدباس	3
البغدادي	الحصري	2
الدني	الكاتب	2
الاديب	الشام	3
البصرة	الجبال	2
الازدي	المغرب	3
الاهواز	الشام	4
المفتي	دمشق	2
الاهواز	الشافعي	2
بست	مصر	3
العقيلي	دمشق	2
البحيري	المزكي	3
باجة	شنترين	2
خراسان	شيراز	5
آمد	البصرة	2
السمعاني	جرجان	2
الطوسي	النوقاني	3
خراسان	مصر	15
الفقيه	النوقاني	2
الازدي	صقلية	2
المفيد	النيسابوري	2
الجرجاني	المقريء	2
الاديب	اللغوي	2
اليمن	نيسابور	2
الزهري	بغداد	2
الامير	مالقة	2
القزويني	دمشق	3
القرطبي	مكة	9
البغدادي	العباسي	6
القدس	صور	5
المتكلم	الواعظ	2
افريقية	الحاكم	2
الفيلسوف	مصر	2
القراب	هراة	2
الفقيه	بسطام	2
الدمشقي	بيروت	2
العراقي	بغداد	2
سمرقند	مرو	6
بغداد	طوس	8
شنترين	مكة	2
اشبيلية	الفقيه	3
الرحال	بلخ	3
الاعرج	النيسابوري	3
الخطيب	القرطبي	2
القيروان	المهدوي	2
الصنهاجي	طرابلس	2
الاندلس	الشاعر	11
مرو	همذان	4
البخاري	مرو	4
اشبيلية	مراكش	2
المقريء	بلخ	6
القدس	الكوفة	2
الحجاز	السمعاني	3
العراق	حلب	4
البغدادي	الصوفي	6
الجزيرة	مكة	4
البصرة	النهاوندي	2
الشام	القرطبي	3
المروزي	بخارى	2
اغمات	الفقيه	2
المحدث	خراسان	5
المروزي	ريدة	2
آمد	حران	2
بغداد	سامراء	2
اصبهان	هراة	10
القاضي	القرطبي	7
اصبهان	زنجان	3
الانبار	الري	2
الرحال	بخارى	4
المعرة	مصر	3
البغدادي	التميمي	10
الكرخي	المعتزلي	2
التركي	دمشق	3
العراق	الهاشمي	4
الفقيه	المحاملي	2
القاضي	صيداء	2
الاديب	الخطيب	2
المقريء	المولي	7
القيسي	المرية	2
الخطيب	حلب	2
المالكي	النحوي	3
بغداد	دمشق	67
الامير	صور	2
الفسوي	طرابلس	2
القرشي	النحوي	2
الاصبهاني	الشافعي	6
المولي	طليطلة	3
اصبهان	الزينبي	2
سبتة	قرطبة	7
اصبهان	الاديب	3
القسطنطينية	كرمان	2
التاجر	الشام	2
المءذن	النيسابوري	6
الحنفي	سمرقند	3
صيداء	مصر	3
المغرب	صقلية	2
العراق	المروزي	2
اليمن	فارس	3
الاسفراءيني	الشاعر	2
اصبهان	القزويني	2
الفقيه	النظامي	4
الروم	العقيلي	2
المولي	مرو	2
طرابلس	نيسابور	6
اللخمي	المرية	3
الاصبهاني	مكة	9
السجستاني	بغداد	2
الاندلس	الجبال	2
الازدي	القيروان	2
الجزيرة	المولي	3
البزار	البغدادي	4
الصفار	النيسابوري	6
الهند	مصر	3
الخزان	الشيعي	2
طوس	هراة	2
الازدي	الحجاز	3
النوقاني	نيسابور	2
الهروي	جرجان	2
الانصاري	قرطبة	9
الفقيه	النيسابوري	28
الموصل	باجة	2
التاجر	الري	2
الانصاري	مكة	7
الغافقي	قرطبة	2
الموصل	نصيبين	2
الرازي	مكة	5
الاشعري	الاصبهاني	2
البصرة	صور	3
الرافضي	بغداد	3
الحصري	الشاعر	3
نيسابور	همذان	11
البصرة	البغدادي	10
البسطامي	بسطام	2
اصبهان	السلجوقي	2
المالكي	طرابلس	2
خوارزم	نيسابور	4
الصوفي	الطابران	2
افريقية	الصنهاجي	2
الشيعي	المنجم	2
الجوال	بغداد	3
البصرة	بخارى	4
نسف	نيسابور	2
الاشبيلي	الشام	4
التميمي	المحدث	4
البصرة	دمشق	16
الصوفي	المقريء	10
البلخي	بغداد	2
الجبال	طرابلس	2
الاموي	البصرة	2
المولي	جرجان	3
الكرج	دمشق	2
الموصل	حلب	4
دمشق	غزنة	2
اشبيلية	العراق	4
البلخي	العلوي	2
النظامي	النيسابوري	2
السلمي	مكة	2
البصرة	الري	6
القاضي	المروزي	5
الانبار	مكة	2
الاصبهاني	الغلام	2
القيسي	المري	2
التميمي	الشافعي	4
الاندلس	مصر	31
البصري	بغداد	9
المخزومي	قرطبة	2
دمشق	هراة	10
الحاسب	الحساب	2
البغدادي	النحوي	5
الحنفي	الكوفة	2
مرو	مصر	8
البزاز	الهروي	3
الشاعر	القلبي	3
الطبري	نيسابور	2
خراسان	سمرقند	3
الهروي	الواسطي	2
الحجاز	العراق	11
البغدادي	الشيرازي	3
البغدادي	الغزال	6
القزويني	قزوين	3
سبتة	مراكش	2
السبتي	سبتة	2
القدس	المقريء	8
اغمات	الاشبيلي	2
