Source	Target	Weight
اصبهان	الحنفي	4
الاندلس	الفيلسوف	2
البصرة	سلماس	2
القرشي	قرطبة	2
الاسكندراني	الشاعر	2
الاسكندرية	مصر	32
بعلبك	عسقلان	2
المقدسي	حران	4
الاصبهاني	الحداد	8
المالقي	النحوي	2
الرقة	حران	3
حران	ديار بكر	2
المغرب	المغربي	4
النحوي	بغداد	11
البخاري	الحنفي	9
المدينة	طبرستان	2
الحريص	امل	2
الاعمش	الهمذاني	2
الشروطي	النيسابوري	4
التغلبي	الموصل	2
الحجاز	فارس	2
الاسكندرية	الاشبيلي	2
الاديب	الفقيه	8
الشافعي	العراقي	2
الشام	المروزي	3
المقدسي	المقريء	8
الصدوق	الهروي	2
المصري	المقدسي	3
الخباز	الرحبي	2
البخاري	سجستان	2
المعرة	المغرب	2
الاندلسي	شاطبة	7
البارع	الشام	2
البوسنجي	هراة	2
الداني	اليحصبي	2
قيسارية	نصيبين	2
الامير	الكردي	6
بسطام	نيسابور	4
اذربيجان	اران	5
الري	خوارزم	2
الاسكندرية	طرابلس	4
القيسي	شلب	2
خوارزم	ما وراء النهر	2
السجستاني	الصوفي	3
المروزي	مكة	2
صهيون	قيسارية	2
الغافقي	المري	4
الاسكندرية	فارس	4
الفارسي	بغداد	4
الصدفي	مرسية	2
الانصاري	القرطبي	14
الري	قزوين	2
طرابلس	قيسارية	4
الفقيه	قونية	2
الكردي	دوين	3
اصبهان	دمياط	2
الاصبهاني	الحمامي	3
الاديب	مرو	5
الشيزري	شيزر	4
آمد	همذان	2
البوازيج	الكردي	2
الانبار	الكوفة	2
المخزومي	بغداد	2
الري	واسط	2
انطاكية	حران	2
القرطبي	المالكي	3
الفقيه	المتكلم	3
الامير	الصعيد	3
عسقلان	مكة	2
الانصاري	المكي	2
القلانسي	بغداد	5
الاندلس	تونس	3
بلنسية	وهران	3
الغربي	المولي	2
اليمن	واسط	2
المشهد	حران	2
الطلحي	بغداد	2
الانباري	بغداد	4
المصيصي	دمشق	3
الواعظ	بغداد	47
الاسكندرية	منبج	2
الغافقي	شقورة	2
المرسي	المقريء	2
اصبهان	بروجرد	2
الغازي	حلب	2
الاسكندرية	الصوفي	2
الزهري	المالكي	3
البغدادي	الشام	18
الهلالي	غرناطة	2
