Source	Target	Weight
الاحمسي	الكوفي	2
البصري	الكاتب	2
الامير	الحجاج	2
الاسدي	العراق	4
الانصاري	المازني	4
المدينة	النجاري	4
الحجاز	المولي	3
ريدة	مرو	2
البصرة	الشاعر	2
التميمي	العنبري	3
الانصاري	البصرة	6
الاموي	المدينة	15
الغافقي	المصري	2
الشاعر	القرشي	3
العدوي	القرشي	9
خراسان	دمشق	6
الهند	دمشق	2
الجهني	دمشق	2
الانصاري	المدينة	20
العدوي	دارا	2
التميمي	الشام	2
فلسطين	مكة	2
اليمن	خراسان	2
الامير	دمشق	13
الاسكندرية	مصر	8
الجزيرة	الشام	2
الاشهلي	الانصاري	5
الانصاري	السلمي	4
المدينة	داريا	2
الاموي	المغرب	2
بلخ	خراسان	2
الحاجب	مكة	2
الفقيه	المخزومي	3
البصرة	الشام	12
الشاعر	المدني	2
البصرة	الجواد	3
البصرة	الطائف	8
خراسان	خوارزم	2
الديلم	القرشي	2
المدني	مكة	4
افريقية	المغرب	7
الحجاز	المغرب	2
مكة	واسط	2
الشام	القسطنطينية	3
الاودي	الشام	2
خراسان	سمرقند	3
الثقفي	الطاءفي	5
الروم	مصر	4
الاموي	اليمن	2
طرابلس	مصر	2
البصري	المزني	4
العراق	القسطنطينية	4
الشام	المذحجي	2
الداري	الشام	2
الكوفة	حمص	4
الروم	حمص	3
الحضرمي	المصري	2
افريقية	المولي	2
افريقية	مصر	10
الزهري	المولي	2
الحضرمي	مصر	2
البصرة	العبدي	2
الطائف	اليمن	3
حمص	قنسرين	2
الجاهلي	الهمداني	3
المدينة	دارا	4
المولي	حمص	3
اصطخر	العبدي	2
اصبهان	البصرة	2
الكوفي	اليمن	3
اصبهان	الكوفة	2
السوس	دمشق	2
الحجاز	دمشق	6
الكوفة	اليمن	6
الثقفي	فارس	2
الانصاري	الخزرجي	21
الاموي	العراق	3
الاودي	الكوفي	3
المغرب	اليمن	3
الامير	البيع	2
الشاعر	الشام	2
الاسدي	المدينة	6
المقريء	مصر	2
التميمي	اليمن	2
العبدري	مكة	3
قيسارية	مصر	2
الكلبي	المزة	2
الانصاري	النجاري	15
الامير	فارس	2
الحجاز	الكعبي	2
الازدي	الكوفي	4
الكوفي	المحاربي	2
الزهري	دمشق	2
السبي	المولي	3
البصرة	الثقفي	7
الخزرجي	الشاعر	2
المدني	الهذلي	4
الشام	بست	2
الحجاب	المولي	2
الطائف	مكة	9
الامير	القرشي	5
الاسكندرية	قيسارية	2
المكي	المولي	4
الانصاري	الحارثي	2
الازدي	العراق	4
المدينة	فارس	8
الامير	النوبة	2
الكوفة	الموصل	3
السكوني	حمص	3
القادسية	الكوفي	2
البصرة	مكة	10
الحجبي	مكة	3
الفارس	فارس	3
طرابلس	فاس	2
العراق	المدينة	15
المكي	مكة	5
المخزومي	المدني	5
الحبشة	الهاشمي	2
الهمداني	الوادعي	2
الصنعاني	صنعاء	3
البصرة	سجستان	3
الحضرمي	الحمصي	2
افريقية	البصرة	2
الزهري	المدني	7
الروم	القدس	2
الامير	قيسارية	2
البجلي	الكوفة	2
الاموي	الطائف	3
الخزرجي	مصر	2
الروم	المدينة	7
البصري	القاضي	3
الاموي	القدس	2
الازدي	الامير	2
البلقاء	دمشق	2
الساعدي	مصر	2
الغساني	دمشق	2
الامير	طرابلس	2
الانصاري	الساعدي	5
الحمصي	السكوني	2
الامير	الحجاز	4
القرشي	النوفلي	3
الابيض	الاموي	2
العنسي	المدينة	2
افريقية	الانصاري	2
خراسان	مكة	8
الاموي	حمص	2
الاسكندرية	المصري	3
الشام	قم	2
افريقية	الكوفة	3
الانصاري	الروم	2
الاسدي	الكوفي	14
الاموي	الكوفة	3
الاردن	المدينة	3
البصرة	القسطنطينية	2
المولي	مكة	6
البصري	السدوسي	5
الاندلس	المولي	2
الاردن	مكة	2
الروم	القسطنطينية	2
القرشي	القسطنطينية	2
الشام	القرشي	11
النجاري	دمشق	2
