Source	Target	Weight
الحبال	الصوفي	2
الاندلس	المالكي	10
الالبيري	الاندلسي	7
الحبال	فارس	2
البغدادي	الرازي	2
الازدي	فارس	2
مصر	واسط	12
الدوري	المطوعي	2
مصر	هراة	3
الاهواز	الكوفة	4
الصعيد	القاضي	3
المءذن	المصري	3
الحنفي	الدامغاني	2
العراق	خوزستان	2
الدمشقي	العنسي	2
الحنفي	السمرقندي	3
العبيدي	القاهرة	2
افريقية	سلمية	2
الازدي	المصري	4
الانصاري	البصرة	2
التنوخي	بغداد	5
البغدادي	الشافعي	10
الفقيه	القيرواني	2
الغافقي	المصري	3
جرجان	مصر	6
الاسدي	العراق	2
الحنفي	المولي	8
النحوي	قرطبة	2
الحضرمي	قرطبة	2
الطبيب	بغداد	4
اشبيلية	الاشبيلي	8
الازدي	الشاعر	4
التميمي	الشام	4
الاخباري	الشاعر	4
الكلابي	طرابلس	2
الافريقي	طرابلس	2
الجبال	مصر	4
النحوي	الواسطي	3
الاسكندرية	مصر	9
الجزيرة	الشام	13
البخاري	ما وراء النهر	5
الفريابي	مصر	2
الشاعر	امل	2
اصبهان	الموصل	5
الفقيه	الواعظ	4
الصوفي	الهمذاني	2
العراق	مكة	10
مرو	مصر	6
الاندلس	فارس	2
المتنبي	بغداد	2
الاديب	الهمداني	2
العبيدي	المولي	7
الرملة	المصري	3
الباهلي	بغداد	2
الالبيري	الفقيه	2
الرومي	المتنبي	2
المتنبي	مصر	2
سمرقند	فرغانة	4
الرملة	دمشق	22
الضرير	المصري	4
الدمشقي	المءذن	2
الشافعي	القصار	2
جرجان	هراة	3
الدني	المالكي	2
القاضي	المحاملي	3
القاهرة	سلمية	2
المحدث	مصر	14
الموصلي	مصر	4
اليمن	قيسارية	2
الحضرمي	المقريء	2
المولي	سجلماسة	2
البلخي	الحنفي	2
افريقية	المغرب	3
الفقيه	المازني	2
الحنفي	القمي	2
اصبهان	حلب	2
مكة	واسط	5
الانباري	البغدادي	3
الجرجاني	العراق	3
التميمي	الصعيد	2
البصرة	الحاكم	3
البغدادي	المقريء	90
الاندلس	الهند	2
الحاكم	حمص	2
الاسفراءيني	بغداد	3
البغدادي	النحاس	2
الشام	واسط	10
الانباري	الكاتب	2
المصيصة	المصيصي	2
بلخ	خراسان	2
القدس	المولي	2
الاندلس	الطبيب	2
الاهواز	العراق	3
الاندلس	حمص	4
الزهراء	قرطبة	6
بلخ	نيسابور	5
البصرة	القيروان	3
الجرجاني	امل	2
الحنبلي	العراق	2
التميمي	مصر	7
النيسابوري	خراسان	15
الروم	حمص	3
الاخشيدي	الامير	4
الطبري	العراق	2
الاندلسي	المولي	14
طوس	مكة	2
المحدث	جرجان	2
العراق	الفسوي	2
فارس	نيسابور	10
جرجان	قزوين	2
الحضرمي	مصر	3
السبتي	سبتة	2
القاضي	حمص	4
عسقلان	مصر	4
الشام	الكاتب	4
بلخ	مرو	3
الفقيه	فارس	7
بغداد	طرسوس	4
الطبري	الموصل	2
الاصبهاني	المذكر	2
الحجاز	بغداد	12
الفقيه	النجاد	3
افريقية	المهدية	3
البغدادي	المالكي	6
الكتاني	المصري	3
بغداد	هراة	13
الحجاز	مرو	3
الاديب	خراسان	3
الدامغاني	بغداد	2
البيهقي	نيسابور	2
الضبي	بغداد	5
الغلام	طرابلس	2
القطان	المقريء	3
القاضي	المعتزلي	2
الشاعر	النديم	2
الاديب	طرسوس	3
الصفار	دمشق	2
الكوفة	خوزستان	2
الاموي	الطليطلي	3
الباهلي	البصري	2
الشام	دمشق	31
الكاتب	مصر	8
بغداد	سمرقند	7
الحنفي	هراة	3
الموصل	النيسابوري	4
الفارس	شيراز	3
الاصبهاني	الزعفراني	3
الجرجاني	جرجان	15
الحصار	المولي	2
الفقيه	نيسابور	29
القرشي	الهروي	2
الرحال	مصر	5
الاعور	مصر	3
الاندلس	النحوي	3
الشاعر	جرجان	2
افريقية	الشام	2
بغداد	جور	2
الاسدي	الشافعي	3
الاخباري	الاندلس	2
الطابران	الطوسي	2
العباسي	مكة	2
الاندلسي	الغافقي	5
اصبهان	اصطخر	2
الكلابي	الكوفة	2
الحنفي	المقريء	2
المروزي	مرو	12
الشافعي	النيسابوري	18
البصرة	الكاتب	3
دارا	مصر	3
الانطاكي	الفقيه	2
الرملة	حمص	5
التغلبي	المولي	2
العراق	القاضي	14
السجستاني	بغداد	2
التركي	بغداد	3
الفقيه	نسا	4
حران	حلب	5
الشاعر	الشام	11
البلخي	بغداد	8
الطرسوسي	بغداد	2
الموصل	حلب	4
البصرة	واسط	11
المحدث	دمشق	7
الصوفي	القرطبي	2
البارع	مصر	4
القاضي	رامهرمز	2
الفارس	بغداد	5
بغداد	خراسان	21
الزعفراني	الهمداني	2
المقريء	بغداد	44
المولي	النحوي	2
اليمن	بغداد	8
القاضي	النسفي	2
السمرقندي	العراق	3
الاصبهاني	الوراق	4
الخولاني	المقريء	3
الشاعر	المصيصي	2
القنطري	المقريء	2
الغوطة	مصر	2
المءرخ	مصر	2
الماسرجسي	نيسابور	2
المفسر	بغداد	2
الحجاز	بست	2
سرخس	نيسابور	2
الحاكم	الواعظ	3
الرقة	فارس	2
البزاز	التميمي	4
البصرة	المروروذي	2
الجزيرة	الرحال	2
البغدادي	البندار	3
الحجاز	طرابلس	2
الحاكم	ما وراء النهر	2
افريقية	نيسابور	2
السهمي	القرشي	3
الاندلسي	طرابلس	6
الجرجاني	نيسابور	8
البغدادي	تنيس	5
الحنفي	بغداد	15
البغدادي	الدلال	2
القاضي	الكوفي	4
التنوخي	المقريء	2
الكوفي	مصر	5
الصوفي	مكة	15
النحوي	مصر	15
الامير	الرملة	6
الدمشقي	الكندي	3
السامري	العراق	2
نسا	هراة	2
الصوفي	مصر	10
المحدث	النيسابوري	15
القيروان	المقريء	5
الكوفة	الموصل	6
مكة	همذان	7
الحداد	المقريء	6
الرازي	الضرير	3
القيرواني	المقريء	2
حلب	عكا	2
البغدادي	النيسابوري	2
الحاكم	العراق	5
الاندلس	حلب	3
الامير	المقريء	2
الحراني	العراق	2
الابهري	المالكي	6
طرسوس	مكة	2
الروم	الشاعر	6
الاندلسي	مكة	10
البغدادي	الوزان	2
الجرجاني	فارس	2
النخاس	بغداد	2
الكندي	دمشق	2
اشبيلية	القرطبي	2
الحجاز	دارا	2
المري	بجانة	2
الحنبلي	الخلال	3
الشام	حمص	8
النهرواني	بغداد	2
الاهواز	فارس	4
الجري	بغداد	3
الرافضي	الموصل	2
الطراءفي	العنزي	2
البخاري	النسفي	4
الحجاز	المغرب	3
الحذاء	المقريء	3
السرخسي	الفقيه	3
الكاتب	الكوفي	2
المري	المقريء	2
السرخسي	بغداد	2
الدينوري	الوراق	2
الدمشقي	الرازي	2
الامير	الكتامي	2
الاشناني	بغداد	2
النحوي	بغداد	15
الاديب	الازدي	3
سامراء	مصر	3
الري	مكة	14
الفقيه	جرجان	8
الاندلس	الاندلسي	31
بغداد	حمص	9
سمرقند	مصر	3
الحجاز	فارس	3
الفقيه	المسعودي	2
الحنبلي	الفقيه	12
الاديب	الفقيه	12
الازدي	المحدث	2
التميمي	الهمذاني	3
الشاعر	بغداد	7
الدهقان	المقريء	2
البصرة	القرطبي	6
المحدث	همذان	2
الرملة	الفقيه	3
الدهقان	بغداد	2
القيروان	قرطبة	4
البارع	الشام	2
المالكي	همذان	2
الحاكم	نيسابور	18
القاضي	المغربي	2
دمشق	دمياط	2
الرقة	القدس	2
المقريء	النقاش	6
الاخشيدي	بغداد	2
اصبهان	عكا	2
النسفي	نسف	6
الفقيه	المزني	2
البخاري	الدهقان	3
الاصبهاني	نيسابور	8
البغدادي	الدهقان	2
الحراني	مصر	2
البصري	المالكي	2
الاسكندرية	فارس	2
الفارسي	بغداد	7
اصبهان	العسكري	2
الانصاري	القرطبي	3
البغدادي	طرابلس	4
القرشي	المصري	5
الحجاز	المكي	2
الشيباني	الهمذاني	2
البلدي	الشيباني	2
الحنفي	الكرخي	2
الرازي	همذان	4
الشام	تستر	2
امل	امل	5
اللخمي	قرطبة	3
الدينوري	قرطبة	2
النيسابوري	طرسوس	4
البيرة	المالكي	2
اصبهان	الرقة	3
الاملي	الشاعر	2
اذربيجان	القاضي	2
المتكلم	نيسابور	3
المولي	كرمان	2
السلمي	المحدث	2
الدمشقي	تبوك	4
الغساني	المصري	2
الفقيه	المتكلم	2
السرخسي	القراب	2
اللخمي	المولي	3
الواسطي	واسط	6
عسقلان	مكة	2
الاسكندرية	الشام	2
الري	بغداد	28
التغلبي	حمص	2
الانباري	بغداد	7
الواعظ	بغداد	10
الشام	القرشي	2
الحذاء	المولي	2
الحاكم	مكة	7
طوس	نيسابور	4
انطاكية	حلب	2
جرجان	نيسابور	14
الجرجاني	الشافعي	10
الفارسي	بخارى	5
المتنبي	حلب	3
القاهرة	مصر	7
الجمحي	الدمشقي	2
البغدادي	الحريري	2
البلخي	الفقيه	2
الشافعي	الهروي	4
المالكي	المصري	13
الحجاز	مكة	7
بلخ	سمرقند	2
الشافعي	المقدسي	2
الحاكم	امل	4
الهمداني	اليمن	2
الخراز	بغداد	2
بيروت	عسقلان	2
الحمامي	المولي	2
الشام	طرابلس	12
المءذن	النيسابوري	6
الاديب	المقريء	2
الحنفي	المعتزلي	4
البصرة	العراق	7
الفسوي	شيراز	2
اصبهان	الجزيرة	2
البصري	مكة	3
التجيبي	الطليطلي	2
الاديب	العراق	2
العراق	طرابلس	2
الرحال	الفقيه	3
فارس	مكة	8
الرحال	حلب	2
البغدادي	الزيات	4
المقريء	الواعظ	3
خراسان	نيسابور	23
المغربي	مصر	6
اصبهان	القاضي	5
العراق	المولي	17
الفقيه	مصر	38
المفسر	النحوي	2
الخراج	الكاتب	2
السامري	بغداد	2
الزهراء	القرطبي	2
الرملة	المقريء	3
الاستراباذي	المقريء	2
الشيعي	القبلي	2
البغدادي	الجوهري	8
العسكري	الفقيه	3
الفهري	المولي	3
الحمار	المولي	2
الرقة	حمص	3
المولي	المولي	9
الازدي	المءدب	2
الجوهري	النيسابوري	2
الاندلس	البيرة	4
طرابلس	واسط	2
الرملة	المولي	17
اليهودي	حمص	2
البزاز	مصر	5
الخراساني	المقريء	3
الدمشقي	الكلابي	8
الدينوري	الصوفي	2
السلمي	النيسابوري	4
الفرضي	المقريء	4
الزيدي	بغداد	3
الشيباني	القاضي	2
الفقيه	النسفي	3
اصبهان	القرشي	2
المحدث	بلخ	2
الحمال	مصر	2
الصيرفي	المروزي	2
الحاكم	بغداد	15
التميمي	الجزيرة	3
المقريء	بخارى	9
الماليني	الهروي	3
البصرة	المتكلم	4
الجزيرة	الكوفة	2
الاديب	الجرجاني	2
الاديب	الحاكم	6
الجوهري	المحدث	2
الشام	الكتامي	2
المولي	طبرية	2
الري	خراسان	9
الكعبي	المعتزلي	4
بخارى	طرابلس	2
الصوفي	نيسابور	18
الرازي	النيسابوري	3
التركي	المولي	6
الشافعي	نسا	3
التميمي	القاضي	6
الاخباري	المعتزلي	2
العالي	المغرب	2
القيروان	القيسي	2
المالكي	المفتي	3
طبرية	نيسابور	2
الانماطي	بغداد	2
الحنفي	المصري	4
حلب	منبج	2
التميمي	المالكي	4
الانماطي	البغدادي	3
القدس	بغداد	7
الرومي	الكاتب	2
امل	هراة	2
الشيعي	الغلام	2
الدمشقي	انطاكية	2
حلب	عسقلان	2
القراب	الهروي	6
المءيد	طرابلس	2
مصر	مكة	37
الخادم	الروم	2
البصرة	الذهلي	2
الجوهري	الرحال	2
المرادي	مصر	2
المولي	فارس	9
الاستراباذي	الرحال	2
الانصاري	نيسابور	2
البياني	بغداد	2
البغدادي	الحنبلي	7
الطالقان	جرجان	2
الطبري	حلب	2
الاصبهاني	السمسار	2
