Source	Target	Weight
قم	قيسارية	2
الذارع	بغداد	2
الجعفي	امل	2
الصنعاني	المولي	3
الجعفي	بغداد	3
الاهواز	الصفار	2
التميمي	القيرواني	2
السلمي	المروزي	6
الخراز	مصر	2
الرازي	فارس	4
البغدادي	الرازي	3
مصر	واسط	5
الامير	قرطبة	2
المقريء	حران	3
البغدادي	اللغوي	2
الكوفة	حلوان	2
مصر	هراة	3
الاندلس	المالكي	4
المءذن	المصري	5
الطاءي	الموصل	2
الدمشقي	العنسي	2
امل	تستر	2
التغلبي	امل	2
الازدي	المصري	4
الطرابلسي	طرابلس	2
الشافعي	الشافعي	2
التميمي	العنبري	2
البصرة	التميمي	3
الانصاري	البصرة	3
الحضرمي	الواسطي	2
الحراني	سامراء	2
الغافقي	المصري	3
اصبهان	واسط	2
الاديب	القاضي	3
الشافعي	القاضي	2
التمار	الرقي	2
التنوخي	المالكي	2
دمشق	قم	6
الاغلبي	المولي	2
الكندي	الكوفة	2
الحنفي	المولي	5
المخزومي	المصري	5
الهمداني	مصر	3
اشبيلية	الاشبيلي	2
التميمي	الشام	3
الاخباري	الشاعر	7
البصري	الشامي	3
الجبال	مصر	2
الاسكندرية	مصر	6
الجزيرة	الشام	18
البخاري	ما وراء النهر	6
الاخباري	الكندي	2
العراق	خوارزم	2
العراق	مكة	14
مرو	مصر	6
البخاري	السعدي	3
اللءلءي	المقريء	8
الازدي	الجهضمي	2
القاضي	مروالروذ	2
السامي	الشاعر	2
الفقيه	المخزومي	4
الامير	الطاهري	2
المغربي	طرابلس	2
الفراء	المقريء	2
الخزاعي	الفقيه	3
السامي	الناجي	2
العراق	العطار	2
الحازم	بغداد	2
البصرة	الخراساني	2
المحدث	قزوين	2
الطحاوي	المصري	2
المحدث	مصر	5
القاضي	الكندي	2
اليمن	قيسارية	2
امل	هراة	2
الحنفي	نيسابور	4
اذنة	امل	2
خراسان	خوارزم	2
العبدي	العراق	3
حمص	قم	2
افريقية	المغرب	7
السمرقندي	بغداد	6
سجستان	طبرستان	2
الحجاز	المغرب	4
مكة	واسط	6
الفقيه	اليمن	4
العباسي	قم	2
الكوفي	المولي	34
البصري	سامراء	4
البغدادي	المقريء	37
الشاعر	العراق	6
الانبار	دمشق	3
سامراء	فارس	3
الايادي	بغداد	2
الرقي	حلب	2
الدني	الصوفي	2
الاموي	القرطبي	2
المولي	حران	5
الاندلسي	القيروان	4
الجوهري	الكوفة	2
الرقة	الروم	2
امل	عبادان	2
البصرة	عسقلان	3
بلخ	طبرستان	2
العوفي	امل	2
القشيري	مصر	2
القدس	المولي	2
الحاكم	الفقيه	2
سرخس	مرو	2
بلخ	نيسابور	6
المدينة	انطاكية	2
اليمن	عبادان	2
الجعفي	واسط	2
الطبري	جرجان	2
النيسابوري	خراسان	17
البغدادي	الغزال	2
الغوطة	دمشق	3
الشيعي	العسكري	2
الهاشمي	طوس	2
الشام	القزويني	2
الاندلسي	المولي	9
الصفار	سجستان	2
الجمحي	المفتي	2
فارس	نيسابور	9
العدوي	مرو	2
افريقية	مصر	8
الزهري	المولي	2
الحضرمي	مصر	2
القاضي	المقريء	2
القاضي	حمص	7
الذهلي	مصر	3
الشام	الكاتب	2
البصرة	العبدي	5
بلخ	مرو	3
الامير	الصفار	3
بغداد	طرسوس	10
الحربي	الفقيه	2
الحجاز	بغداد	21
المعتزلي	المنجم	2
الموصلي	المولي	4
السوس	امل	2
الاسكندري	الفقيه	2
البخاري	الشيباني	4
الحجاز	مرو	4
الحنفي	الهروي	3
الدينوري	الصوفي	2
الرافضي	سامراء	2
الضبي	بغداد	6
العامري	مصر	2
المخزومي	مكة	2
الرملي	بغداد	2
الاسدي	الحزامي	2
الخزاعي	الطاهري	2
الذهلي	خراسان	2
الشام	سامراء	3
الباهلي	البصري	32
الشام	دمشق	25
الكاتب	مصر	10
المصري	طرابلس	2
الاخفش	بغداد	2
الاسدي	الاصم	2
الجرجاني	جرجان	5
الفقيه	نيسابور	14
القرشي	الهروي	2
البخاري	مصر	2
الصدوق	المحدث	3
الدمشقي	العامري	2
الاهواز	المقريء	4
البصرة	الكاتب	2
البصري	عبادان	2
الجرمي	بغداد	2
بخارى	مرو	5
التغلبي	المولي	2
العراق	القاضي	8
السجستاني	سجستان	4
السجستاني	بغداد	3
التمار	المقريء	3
بغداد	قم	6
التيمي	مصر	3
