Source	Target	Weight
الاندلسي	الشريشي	4
الحنفي	بغداد	35
الرومي	المصري	2
الخطيب	المولي	4
الاربلي	مكة	3
الشام	تفليس	2
النحوي	مصر	26
البغدادي	الدارقزي	4
الصوفي	مصر	40
الانصاري	الحارثي	2
الفقيه	حلب	34
الاسكندراني	مكة	12
المدينة	دمياط	2
الهند	دمشق	9
الخياط	اليمن	2
الضرير	القرطبي	4
اشبيلية	المغرب	9
الاسكندرية	القدس	9
المغرب	امل	2
العطار	دمشق	7
البغدادي	الطبري	5
هراة	همذان	3
حلب	عكا	3
البغدادي	النيسابوري	5
الحنبلي	الصحراوي	4
الاندلس	حلب	2
سجستان	مرو	2
الجماعيلي	الشام	2
الحراني	العراق	3
الرافضي	المتكلم	2
المولي	تونس	2
الكوفة	سامراء	2
الفقيه	المعري	6
اصبهان	البصرة	2
الاندلسي	مكة	15
الامير	مكة	3
حلوان	دمشق	4
الفقيه	قاسيون	12
اشبيلية	القرطبي	8
الاندلسي	تونس	6
اللغوي	حلب	4
الشام	حمص	23
الاندلس	مالقة	9
الجمال	دمشق	9
الدمشقي	الشاغوري	3
الحنبلي	الكردي	2
الاندلسي	الخزرجي	3
الحنبلي	الموصل	15
تكريت	دمشق	2
الاسكندراني	الشاعر	2
القاهرة	خوارزم	2
الخياط	حلب	2
المحدث	جوبر	2
المقدسي	حران	10
الخزرجي	الدمشقي	4
الدمياطي	المقدسي	2
الرقة	حران	2
الشيباني	المقدسي	2
اذربيجان	البغدادي	2
المفيد	الموصل	3
النحوي	بغداد	19
الاديب	النبوي	3
القيسي	حوران	2
الحبشي	العراق	2
الاندلس	الخطيب	4
الزرزاري	القاضي	10
الشبلية	قاسيون	2
المغرب	كفربطنا	2
الاندلس	الاندلسي	22
السمسار	المصري	4
الحنبلي	القدس	9
الشام	المقدسي	8
الحساب	دمشق	4
الامير	الانصاري	4
الاديب	الفقيه	19
الشافعي	العراقي	2
الاسدي	الشيعي	2
الازدي	المحدث	2
السخاوي	مصر	3
التاجر	الجزيرة	3
الحلبي	القرشي	3
الانصاري	الصفار	2
المقدسي	المقريء	18
الحاسب	الفرضي	2
الخزرجي	مصر	9
الاندلسي	شاطبة	4
البارع	الشام	6
الحنفي	قاسيون	8
الحيرة	بغداد	2
القاهرة	المفيد	4
الامير	الشجاعي	2
الامير	الكردي	15
الصوام	المقريء	2
المالقي	مكة	2
اذربيجان	اران	3
الري	خوارزم	4
الضرير	الواسطي	5
خوارزم	ما وراء النهر	5
اصبهان	القزاز	2
الاسكندرية	العوفي	2
المراغي	مصر	3
الاندلس	الطويل	2
بغداد	دنيسر	3
الاسكندرية	فارس	12
الفارسي	بغداد	2
الانصاري	القرطبي	18
القرشي	المصري	42
الخطيب	حران	3
بجاية	دمشق	7
كرمان	ما وراء النهر	2
حضرموت	مصر	2
الداري	المقريء	2
اليمني	مصر	3
الاربلي	الشاعر	5
الازدي	سبتة	2
الحضرمي	الخطيب	2
غزة	فارس	3
اشبيلية	تونس	6
العراق	دارا	3
الثعلبي	المصري	2
المصري	همذان	2
العراق	خوارزم	5
الابهري	الاسدي	2
اذربيجان	كنجة	2
المخزومي	بغداد	3
الاديب	الضرير	3
الحلاوي	الدمشقي	2
اذربيجان	القاضي	3
الحنبلي	واسط	9
الفقيه	المتكلم	6
الامير	الصعيد	3
الاندلس	المولي	2
العراق	المفتي	2
الاندلس	تونس	9
الري	بغداد	11
الحنفي	النظامي	2
المصري	المقدسي	13
الانباري	بغداد	3
الحربي	الحمامي	3
الواعظ	بغداد	22
الشام	مرسية	2
المفيد	فارس	2
اربل	البصرة	2
اصبهان	بروجرد	2
القاهرة	مصر	131
الغازي	حلب	2
الاسكندرية	الصوفي	10
الجزيرة	دارا	2
الانصاري	المءدب	8
الخياط	الواسطي	2
الزهري	المالكي	5
البغدادي	الشام	11
السبتي	اللخمي	2
الجزاءر	بجاية	3
العباسي	دمشق	6
الانصاري	العالي	3
اربل	المقدسي	2
الاسود	النظامي	2
الجماعيلي	مردا	3
الاسكندراني	الهمذاني	2
النحوي	واسط	2
السعدي	القاضي	13
الاندلسي	البلنسي	10
البارع	الحنبلي	5
الابار	القضاعي	2
اذربيجان	نيسابور	3
الاديب	التاجر	4
البخاري	المقدسي	3
الفقيه	المخزومي	3
المدينة	نابلس	2
الاديب	اللخمي	4
الخطيب	الدينوري	2
الشيرازي	الفارسي	2
الطويل	الكاتب	2
الخلاطي	رباط	2
بعلبك	همذان	2
الاسعردي	الكاتب	2
القاهرة	ميافارقين	5
العطار	الواسطي	2
المقريء	جيان	2
الثعلبي	بغداد	2
القاهرة	تنيس	2
فارس	مكة	6
القاهرة	المزة	2
غرناطة	فارس	2
اللخمي	مرسية	2
المولي	قاسيون	10
الانصاري	الشارعي	3
الشافعي	همذان	5
الانصاري	النحاس	2
المقريء	الواعظ	4
خراسان	نيسابور	13
