ID	Label	latitude	longitude
حرستا	حرستا	33.55869	36.36515
حضرموت	حضرموت	16.391824	49.350586
حلب	حلب	36.20124	37.16117
حلوان	حلوان	34.31518	45.41917
حماة	حماة	35.13179	36.75783
حمص	حمص	34.72682	36.72339
حوران	حوران	32.75	36.49972
خراسان	خراسان	36.564365	58.831787
خسروجرد	خسروجرد	36.21961	57.59088
خلاط	خلاط	38.75178	42.48135
خوارزم	خوارزم	42.911379	59.875488
خوزستان	خوزستان	31.16769	48.944092
خوي	خوي	38.5503	44.9521
دارا	دارا	37.177702	40.952826
داريا	داريا	33.461571	36.241951
دامغان	دامغان	36.1683	54.348
دانية	دانية	38.84041	0.108668
دربند	دربند	42.0678	48.28987
دلاص	دلاص	28.526049	30.740261
دمشق	دمشق	33.511603	36.306633
دمياط	دمياط	31.417539	31.814443
دنيسر	دنيسر	37.203042	40.589333
دهستان	دهستان	37.68469	54.541626
دومة	دومة	33.57175	36.4027
دوين	دوين	41.394943	45.131836
ديار بكر	ديار بكر	37.91441	40.230629
دير الجماجم	دير الجماجم	31.995382	44.13002
رامهرمز	رامهرمز	31.27997	49.60351
رباط	رباط	34.015049	-6.83272
رندة	رندة	36.74231	-5.16709
رية	رية	37.09654	-4.38869
ريدة	ريدة	15.81421	44.04085
زملكا	زملكا	33.5261	36.35385
زنجان	زنجان	36.6736	48.4787
زويلة	زويلة	26.16667	15.11667
سارية	سارية	36.56332	53.06009
سامراء	سامراء	34.19663	43.8739
سبتة	سبتة	35.89028	-5.3075
سجستان	سجستان	31.244743	63.303223
سجلماسة	سجلماسة	31.25933	-4.10986
سخا	سخا	31.09338	30.94636
سرخس	سرخس	36.545	61.157778
سرقسطة	سرقسطة	41.656831	-0.87991
سرمين	سرمين	35.90403	36.72501
سروج	سروج	35.320833	37.201944
سفاقس	سفاقس	34.74056	10.76028
سلماس	سلماس	38.1973	44.7653
سلمية	سلمية	35.01127	37.05324
سمرقند	سمرقند	39.65417	66.95972
سميساط	سميساط	37.578655	38.48105
سنجار	سنجار	36.3209	41.87656
سهرورد	سهرورد	36.0721	48.4401
سوسة	سوسة	35.82539	10.63699
سيواس	سيواس	39.74833	37.01611
شاطبة	شاطبة	38.988257	-0.519859
شريش	شريش	36.68645	-6.13606
شقورة	شقورة	38.225667	-2.749329
شلب	شلب	37.18921	-8.43822
شنترين	شنترين	39.23333	-8.68333
شهرزور	شهرزور	35.516132	45.999756
شيراز	شيراز	29.61031	52.53114
شيزر	شيزر	35.26301	36.562
صرخد	صرخد	32.491667	36.711111
صرصر	صرصر	33.235873	44.4524
صعدة	صعدة	16.91733	43.76
صفد	صفد	32.972106	35.5194
صقلية	صقلية	37.75	14.25
صنعاء	صنعاء	15.35472	44.20667
صهيون	صهيون	35.596614	36.027002
صور	صور	33.27333	35.19389
صيداء	صيداء	33.56306	35.36889
طبرستان	طبرستان	36.318666	52.844238
طبرية	طبرية	32.795859	35.530973
طبس	طبس	33.593516	56.925316
طرابلس	طرابلس	32.87519	13.18746
طرابلس	طرابلس	34.436476	35.833969
طراز	طراز	42.9	71.36667
طرسوس	طرسوس	36.916667	34.9
طرطوشة	طرطوشة	40.81249	0.5216
طلبيرة	طلبيرة	39.96348	-4.83076
طليطلة	طليطلة	39.8581	-4.02263
طوس	طوس	36.4849	59.4979
عبادان	عبادان	30.3392	48.3043
عسقلان	عسقلان	31.66926	34.57149
عكا	عكا	32.92814	35.07647
عكبرا	عكبرا	33.745011	44.374466
عمان	عمان	22.195544	57.524414
عيذاب	عيذاب	22.333333	36.492222
غرناطة	غرناطة	37.18817	-3.60667
غزة	غزة	31.5	34.46667
غزنة	غزنة	33.55356	68.42689
فارس	فارس	29.079216	52.756348
فاس	فاس	34.033333	-5
فربر	فربر	39.166856	63.616676
فرغانة	فرغانة	40.38641	71.786377
فسا	فسا	28.9383	53.6482
فلسطين	فلسطين	31.756663	35.191956
فيد	فيد	27.11423	42.51818
قابس	قابس	33.88146	10.0982
قاسيون	قاسيون	33.54038	36.28335
قاشان	قاشان	35.87618	45.41832
قبرس	قبرس	35.021899	33.359985
قرطبة	قرطبة	37.88333	-4.76667
قرقيسياء	قرقيسياء	35.15579	40.42555
قرمونة	قرمونة	37.47125	-5.64608
قرميسين	قرميسين	34.31417	47.065
قزوين	قزوين	36.2797	50.0049
قطربل	قطربل	33.368255	44.304771
قفصة	قفصة	34.425	8.78417
قم	قم	34.6401	50.8764
قنسرين	قنسرين	36.477796	37.095539
قوص	قوص	25.911938	32.763261
قومس	قومس	36.228323	54.393311
قونية	قونية	37.866667	32.483333
قيسارية	قيسارية	32.519016	34.904544
قيسارية	قيسارية	38.73222	35.48528
كاشغر	كاشغر	39.45472	75.97972
كربلاء	كربلاء	32.61603	44.02488
كرمان	كرمان	30.28027	57.06702
كفربطنا	كفربطنا	33.488755	36.396503
كفرطاب	كفرطاب	35.659639	36.727982
كنجة	كنجة	40.682778	46.360556
لبلة	لبلة	37.36213	-6.67894
لورقة	لورقة	37.67119	-1.7017
ما وراء النهر	ما وراء النهر	39.573516	65.665283
ماردين	ماردين	37.31309	40.74357
مالقة	مالقة	36.719648	-4.420016
مدينة سالم	مدينة سالم	41.17224	-2.43476
مراغة	مراغة	37.389167	46.2375
مراكش	مراكش	31.63416	-7.99994
مردا	مردا	32.11381	35.19536
مرسية	مرسية	37.98704	-1.13004
مرو	مرو	37.662631	62.191501
مروالروذ	مروالروذ	35.58408	63.32886
مصر	مصر	30.08383	31.231384
مكة	مكة	21.416667	39.816667
ملطية	ملطية	38.35519	38.30946
منازكرد	منازكرد	39.14265	42.54008
منبج	منبج	36.533333	37.95
ميافارقين	ميافارقين	38.151594	41.204739
ميهنة	ميهنة	36.87543	60.40614
ميورقة	ميورقة	39.539634	2.999268
نابلس	نابلس	32.22504	35.260971
نسا	نسا	37.719459	58.21106
نسف	نسف	38.858459	65.791771
نصيبين	نصيبين	37.0778	41.2178
نهاوند	نهاوند	34.188611	48.376944
نيسابور	نيسابور	36.21329	58.79576
هراة	هراة	34.34817	62.19967
همذان	همذان	34.79922	48.51456
هيت	هيت	33.6371	42.837002
واسط	واسط	32.5128	45.81817
وشقة	وشقة	42.13615	-0.4087
وهران	وهران	35.69111	-0.64167
يافا	يافا	32.05043	34.75224
يزد	يزد	31.89661	54.36068
ينبع	ينبع	24.08912	38.06374
