Source	Target	Weight
الامير	السفاح	5
الحجاز	المدينة	8
الامير	الحجاج	4
الانصاري	المازني	5
الكوفة	دارا	3
المدينة	النجاري	3
مصر	واسط	4
البصري	العنزي	4
الشام	الشيعي	3
المءذن	المصري	2
الدمشقي	العنسي	6
السبي	المدينة	2
الازدي	المصري	2
التميمي	العنبري	4
الانصاري	البصرة	3
الغافقي	المصري	3
العدوي	القرشي	2
البزاز	اليشكري	2
دمشق	قم	2
الحمصي	الكاتب	2
الحنفي	المولي	3
الروم	اليمن	2
الازدي	الشاعر	2
التميمي	الشام	5
البصري	العقيلي	8
الحجاب	المولي	2
البلوي	المدني	2
الازرق	سرخس	2
الاسكندرية	مصر	5
الجزيرة	الشام	5
القصاب	المولي	2
الانصاري	السلمي	6
الاشعري	الكوفي	4
البصري	المءذن	3
الهاشمي	امل	2
الخراساني	الفقيه	2
البصري	قم	2
العراق	مكة	22
بلخ	دمشق	2
الاموي	المغرب	2
مرو	مصر	2
الازدي	فارس	2
الفقيه	المخزومي	3
الكوفي	مكة	14
الخزاعي	الفقيه	2
الجاهلي	الشاعر	2
البصرة	الخراساني	4
الكاتب	الكوفي	2
الشاعر	المدني	5
المحدث	مصر	3
الحضرمي	المقريء	8
افريقية	المغرب	9
الجزيرة	الروم	3
الحجاز	المغرب	2
مكة	واسط	2
الكوفي	النخاس	2
الثقفي	الطاءفي	4
الامير	التجيبي	2
اذربيجان	الاموي	2
الحضرمي	الشامي	3
اصبهان	التيمي	2
الرقة	الروم	2
الاموي	المزة	2
بلخ	نيسابور	2
الروم	حمص	3
التركي	امل	2
افريقية	مصر	8
الزهري	المولي	2
الحضرمي	مصر	9
السدوسي	الكوفي	3
الاطرابلسي	طرابلس	2
القاضي	حمص	5
الشام	الكاتب	2
بلخ	مرو	3
المكي	النوفلي	2
الحجاز	بغداد	8
التجيبي	طرابلس	2
الحجاز	مرو	2
القيسي	المولي	2
البصري	الناجي	8
المروزي	امل	4
العنزي	المولي	2
المخزومي	مكة	7
الاسلمي	البصري	2
الاسدي	الحزامي	3
الحمار	مصر	3
الصيرفي	المرادي	2
الشامي	واسط	3
الباهلي	البصري	24
الشام	دمشق	30
السند	المغرب	3
الانصاري	الخزرجي	3
المصري	طرابلس	4
الجرجاني	جرجان	3
الحضر	المدينة	2
المولي	سارية	2
افريقية	الشام	2
المقريء	اليمن	4
الحنفي	المقريء	4
السبيعي	الكوفي	6
الحمصي	الخولاني	2
الكندي	المدينة	3
الاعمش	الكوفي	3
الشيعي	العلوي	2
البلقاء	المولي	2
الانصاري	السعدي	2
الشاعر	الشام	4
البلخي	بغداد	5
الجزري	بغداد	3
البصرة	واسط	4
المقريء	مصر	3
الكوفة	اليمامة	3
الضرير	القرشي	2
الانبار	خراسان	2
المقريء	بغداد	6
الهاشمي	خراسان	2
الحميمة	الهاشمي	4
الانصاري	النجاري	4
المولي	النحوي	4
المولي	تستر	2
اليمن	بغداد	6
المدني	المزني	4
المولي	الهذلي	2
المدينة	الهذلي	2
الامير	السند	6
الاموي	الروم	5
الازدي	الكوفة	4
العنسي	حمص	2
الزهري	دمشق	2
السبي	المولي	7
البصرة	الثقفي	5
الدمشقي	الكلبي	4
