URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
MARAGHA_462E373N_S	Rihab_RE	Marāġaŧ	Maragha	NA	towns	46.24758	37.34276	مراغة	مراغة	مراغة
MARRAKISH_079W316N_S	Maghrib_RE	Marrākish	Marrakish	NA	towns	-7.99994	31.63416	مراكش	مراكش	مراكش
MARJJUHAYNA_432E361N_S	Aqur_RE	Marǧ=Ǧuhaynaŧ	Marj=Juhayna|Mar=Juhayna	NA	towns	43.26652	36.14235	مرج=جهينة	مرج=جهينة|مر=جهينة	مرج=جهينة
MARSAKHARAZ_084E368N_S	Maghrib_RE	Marsá=al-Ḫaraz	Marsa=al-Kharaz	NA	towns	8.42231	36.8546	مرسى=الخرز	مرسى=الخرز	مرسى=الخرز
MARSADAJJAJ_035E367N_S	Maghrib_RE	Marsá=al-Daǧǧāǧ	Marsa=al-Dajjaj	NA	towns	3.58797	36.73169	مرسى=الدجاج	مرسى=الدجاج	مرسى=الدجاج
MURSIYA_011W379N_S	Andalus_RE	Mursiyaŧ	Mursiya	NA	towns	-1.11443	37.99945	مرسية	مرسية	مرسية
MARGHINAN_717E405N_S	Mawarannahr_RE	Marġīnan	Marghinan	NA	towns	71.76105	40.50359	مرغينن	مرغينن	مرغينن
MARAND_458E384N_S	Rihab_RE	Marand	Marand	NA	towns	45.80321	38.46017	مرند	مرند	مرند
MARWA_385E257N_S	JaziratArab_RE	al-Marwaŧ	al-Marwa|Dhu=al-Marwa	NA	towns	38.58647	25.71785	المروة	المروة|ذو=المروة	مروة
MARIYYA_025W368N_S	Andalus_RE	al-Mariyyaŧ	al-Mariyya	NA	towns	-2.50099	36.86202	المرية	المرية	مرية
MAZDAKHKAN_595E423N_S	Mawarannahr_RE	Mazdāḫkān	Mazdakhkan|Mazdakhqan	NA	towns	59.5047	42.39769	مزداخكان	مزداخكان|مزداخقان	مزداخكان
MASTANJ_668E297N_S	Sijistan_RE	Mastanǧ	Mastanj|Mastank	NA	towns	66.84894	29.79695	مستنج	مستنج|مستنك	مستنج
MASQAT_586E235N_S	JaziratArab_RE	Masqaṭ	Masqat	NA	towns	58.63618	23.5437	مسقط	مسقط	مسقط
MISKYANA_077E356N_S	Maghrib_RE	al-Miskyānaŧ	al-Miskyana	NA	towns	7.73214	35.6162	المسكيانة	المسكيانة	مسكيانة
MASILA_045E356N_S	Maghrib_RE	al-Masīlaŧ	al-Masila	NA	towns	4.53218	35.66309	المسيلة	المسيلة	مسيلة
MASSINA_155E381N_S	Siqiliyya_RE	Massīnaŧ	Massina	NA	towns	15.52846	38.17331	مسينة	مسينة	مسينة
MASHTUL_313E303N_S	Misr_RE	Maštūl	Mashtul	NA	towns	31.37174	30.36522	مشتول	مشتول	مشتول
