URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
ABARKATH_673E397N_S	Mawarannahr_RE	Abārkaṯ	Abarkath|Barkath	NA	capitals	67.38308	39.79611	أباركث	أباركث|بركاث	اباركث
ABYAYN_449E131N_S	Yaman_RE	Abyāyn	Abyayn	NA	capitals	44.96348	13.14229	أبياين	أبياين	ابياين
ITIL_480E462N_S	Khazar_RE	Itil	Itil|Atil	NA	capitals	48.0869	46.2788	إتل	إتل|أتل	اتل
AHSA_495E253N_S	JaziratArab_RE	al-Aḥsāʾ	al-Ahsa	NA	capitals	49.54137	25.34929	الأحساء	الأحساء	احساء
AKHUR_557E391N_S	Daylam_RE	Āḫur	Akhur	NA	capitals	55.71277	39.19825	آخر	آخر	اخر
AKHSISAK_652E378N_S	Mawarannahr_RE	Aḫsīsak	Akhsisak	NA	capitals	65.26937	37.888	أخسيسك	أخسيسك	اخسيسك
AKHSHIKATH_713E409N_S	Mawarannahr_RE	Aḫšīkaṯ	Akhshikath	NA	capitals	71.36392	40.91733	أخشيكث	أخشيكث	اخشيكث
ADHRIAT_360E326N_S	Sham_RE	Aḏriʿāt	Adhriat	NA	capitals	36.09087	32.61046	أذرعات	أذرعات	اذرعات
ADHRUH_357E303N_S	Sham_RE	Aḏrūḥ	Adhruh	NA	capitals	35.75502	30.33962	أذروح	أذروح	اذروح
ARRAJAN_502E306N_S	Fars_RE	Arrāǧān	Arrajan	NA	capitals	50.29766	30.6103	أراجان	أراجان|ارجان	اراجان
AZADHWAR_565E366N_S	Khurasan_RE	Azāḏwār	Azadhwar	NA	capitals	56.59926	36.68546	أزاذوار	أزاذوار	ازاذوار
ISBIJAB_697E422N_S	Mawarannahr_RE	Isbīǧāb	Isbijab	NA	capitals	69.75409	42.23062	إسبيجاب	إسبيجاب	اسبيجاب
ASFUZAR_621E332N_S	Khurasan_RE	al-Asfuzār	al-Asfuzar	NA	capitals	62.12974	33.24402	الأسفزار	الأسفزار	اسفزار
ISKANDARIYYA_299E311N_S	Misr_RE	al-Iskandariyyaŧ	al-Iskandariyya	NA	capitals	29.90981	31.1949	الإسكندرية	الإسكندرية	اسكندرية
USWAN_329E241N_S	Misr_RE	Uswān	Uswan	NA	capitals	32.98286	24.10701	أسوان	أسوان	اسوان
ISBAHAN_516E326N_S	Jibal_RE	Iṣbahān	Isbahan|Isfahan|al-Yahudiyya	NA	capitals	51.65	32.66855	إصبهان	إصبهان|إصفهان|اليهودية	اصبهان
ISTAKHR_529E299N_S	Fars_RE	Iṣṭaḫr	Istakhr	NA	capitals	52.92548	29.97008	إصطخر	إصطخر	اصطخر
AMID_402E379N_S	Aqur_RE	Āmid	Amid	NA	capitals	40.21323	37.9151	آمد	آمد	امد
AMUL_524E364N_S	Daylam_RE	Āmul	Amul	NA	capitals	52.40859	36.42256	آمل	آمل	امل
BAMIYAN_678E348N_S	Khurasan_RE	al-Bāmiyān	al-Bamiyan	NA	capitals	67.80206	34.84737	الباميان	الباميان	باميان
BUKHARA_644E398N_S	Mawarannahr_RE	Buḫāraŧ	Bukhara	NA	capitals	64.46489	39.85224	بخارى	بخارة|بخارى	بخارى
BARDHAA_472E404N_S	Rihab_RE	Barḏaʿaŧ	Bardhaa	NA	capitals	47.23624	40.45334	برذعة	برذعة	برذعة
BARQA_208E323N_S	Barqa_RE	Barqaŧ	Barqa	NA	capitals	20.84475	32.37576	برقة	برقة	برقة
BURUJIRD_488E339N_S	Jibal_RE	Burūǧird	Burujird	NA	capitals	48.8094	33.90164	بروجرد	بروجرد	بروجرد
BUST_643E313N_S	Sijistan_RE	Bust	Bust	NA	capitals	64.39078	31.39108	بست	بست	بست
BASRA_477E304N_S	Iraq_RE	al-Baṣraŧ	al-Basra	NA	capitals	47.71735	30.40147	البصرة	البصرة	بصرة
BILBAYS_315E304N_S	Misr_RE	Bilbays	Bilbays	NA	capitals	31.57097	30.41776	بلبيس	بلبيس	بلبيس
BALKH_668E367N_S	Khurasan_RE	Balḫ	Balkh	NA	capitals	66.88305	36.78497	بلخ	بلخ	بلخ
BALARM_133E381N_S	Siqiliyya_RE	Balarm	Balarm	NA	capitals	13.34479	38.10757	بلرم	بلرم	بلرم
BAMM_583E291N_S	Kirman_RE	Bamm	Bamm	NA	capitals	58.34327	29.10304	بم	بم	بم
BANNAJBUR_641E269N_S	Sind_RE	Bannaǧbūr	Bannajbur|Fannajbur|Bannazbur|Qannazbur	NA	capitals	64.11916	26.92662	بنجبور	بنجبور|فنجبور|بنزبور|قنزبور	بنجبور
BINKATH_694E412N_S	Mawarannahr_RE	Binkaṯ	Binkath	NA	capitals	69.41991	41.22621	بنكث	بنكث	بنكث
BUSANJ_614E343N_S	Khurasan_RE	Būsanǧ	Busanj|Fushanj|Bushank	NA	capitals	61.47787	34.35023	بوسنج	بوسنج|فشنج|بوشنك|بوشنج	بوسنج
BUMJIKATH_688E397N_S	Mawarannahr_RE	Būmǧikaṯ	Bumjikath|Bunjikath|Bamjikath	NA	capitals	68.83442	39.74616	بومجكث	بومجكث|بنجكث|بمجكث	بومجكث
TAHIRT_013E353N_S	Maghrib_RE	Tāhirt	Tahirt	NA	capitals	1.36504	35.36971	تاهرت	تاهرت	تاهرت
TARQALA_088W305N_S	Maghrib_RE	Tarqālaŧ	Tarqala	NA	capitals	-8.8413	30.50052	ترقالة	ترقالة	ترقالة
TUSTAR_488E320N_S	Khuzistan_RE	Tustar	Tustar|Shushtar	NA	capitals	48.85461	32.0511	تستر	تستر|ششتر	تستر
TUNKATH_702E410N_S	Mawarannahr_RE	Tūnkaṯ	Tunkath	NA	capitals	70.22483	41.01789	تونكث	تونكث	تونكث
THUJJA_441E139N_S	Yaman_RE	al-Ṯuǧǧaŧ	al-Thujja	NA	capitals	44.17683	13.97911	الثجة	الثجة	ثجة
JURJANIYYA_592E424N_S	Mawarannahr_RE	al-Ǧurǧāniyyaŧ	al-Jurjaniyya	NA	capitals	59.21993	42.45632	الجرجانية	الجرجانية	جرجانية
JUNDAYSABUR_485E322N_S	Khuzistan_RE	Ǧundaysābūr	Jundaysabur	NA	capitals	48.53919	32.29866	جنديسابور	جنديسابور	جنديسابور
JIRUFT_578E286N_S	Kirman_RE	Ǧīruft	Jiruft	NA	capitals	57.80498	28.69436	جيرفت	جيرفت	جيرفت
HAJR_467E246N_S	JaziratArab_RE	al-Ḥaǧr	al-Hajr	NA	capitals	46.73212	24.64352	الحجر	الحجر	حجر
HALAB_371E361N_S	Sham_RE	Ḥalab	Halab	NA	capitals	37.17518	36.19828	حلب	حلب	حلب
HULWAN_459E344N_S	Iraq_RE	Ḥulwān	Hulwan	NA	capitals	45.93468	34.47862	حلوان	حلوان	حلوان
HIMS_367E347N_S	Sham_RE	Ḥimṣ	Hims	NA	capitals	36.72425	34.73793	حمص	حمص	حمص
HAWMAZUTT_497E310N_S	Khuzistan_RE	Ḥawmaŧ=al-Zuṭṭ	Hawma=al-Zutt|al-Zutt	NA	capitals	49.71372	31.05807	حومة=الزط	حومة=الزط|الزط	حومة=الزط
KHASU_544E285N_S	Fars_RE	Ḫasū	Khasu	NA	capitals	54.40794	28.5161	خسو	خسو	خسو
KHUJAN_584E369N_S	Khurasan_RE	Ḫūǧān	Khujan|Khushan|Khabushan	NA	capitals	58.45439	36.91219	خوجان	خوجان|خوشان|خبوشان	خوجان
KHAYLAM_709E411N_S	Mawarannahr_RE	Ḫaylām	Khaylam|Khayralam	NA	capitals	70.99972	41.13472	خيلام	خيلام|خيرلم	خيلام
DABIL_446E401N_S	Rihab_RE	Dabīl	Dabil	NA	capitals	44.68562	40.16468	دبيل	دبيل	دبيل
DARABAJIRD_545E287N_S	Fars_RE	Darābaǧird	Darabajird	NA	capitals	54.54591	28.75143	درابجرد	درابجرد	درابجرد
DARTAL_650E321N_S	Sijistan_RE	Dartal	Dartal	NA	capitals	65.03496	32.1828	درتل	درتل	درتل
DAMGHAN_543E361N_S	Daylam_RE	al-Damġān	al-Damghan	NA	capitals	54.37503	36.13093	الدمغان	الدمغان|دامغان	دمغان
DIHISTAN_629E346N_S	Khurasan_RE	Dihistān	Dihistan	NA	capitals	62.95057	34.6968	دهستان	دهستان	دهستان
DAWRAQ_489E308N_S	Khuzistan_RE	al-Dawraq	al-Dawraq|al-Surraq	NA	capitals	48.92625	30.81069	الدورق	الدورق|السراق	دورق
DINAWAR_474E346N_S	Jibal_RE	Dīnawar	Dinawar|Mah=al-Kufa	NA	capitals	47.49055	34.60195	دينور	دينور|ماه=الكوفة	دينور
RAMHURMUZ_496E312N_S	Khuzistan_RE	Rām=Hurmuz	Ram=Hurmuz|Ramahurmuz	NA	capitals	49.60131	31.28576	رام=هرمز	رام=هرمز|رامهرمز	رام=هرمز
RAQQA_390E359N_S	Aqur_RE	al-Raqqaŧ	al-Raqqa	NA	capitals	39.05128	35.9493	الرقة	الرقة|هرقلة	رقة
RAMLA_348E319N_S	Sham_RE	al-Ramlaŧ	al-Ramla	NA	capitals	34.86436	31.92484	الرملة	الرملة	رملة
RAYY_515E356N_S	Jibal_RE	al-Rayy	al-Rayy	NA	capitals	51.50831	35.62754	الري	الري	ري
ZABID_433E142N_S	Yaman_RE	Zabīd	Zabid	NA	capitals	43.32654	14.20796	زبيد	زبيد	زبيد
ZARANJ_616E307N_S	Sijistan_RE	Zaranǧ	Zaranj	NA	capitals	61.61613	30.7594	زرنج	زرنج	زرنج
SARUQ_495E343N_S	Jibal_RE	Sārūq	Saruq	NA	capitals	49.55519	34.36011	ساروق	ساروق	ساروق
SAMARRA_438E342N_S	Iraq_RE	Sāmarrāʾ	Samarra	NA	capitals	43.88134	34.20964	سامراء	سامراء	سامراء
SUBAYTILA_092E352N_S	Maghrib_RE	Subayṭilaŧ	Subaytila	NA	capitals	9.22256	35.23365	سبيطلة	سبيطلة	سبيطلة
SIJILMASA_042W312N_S	Maghrib_RE	Siǧilmāsaŧ	Sijilmasa	NA	capitals	-4.23723	31.27819	سجلماسة	سجلماسة	سجلماسة
SUS_482E322N_S	Khuzistan_RE	Sūs	Sus	NA	capitals	48.26047	32.20166	سوس	سوس|السوس	سوس
SIRAF_523E276N_S	Fars_RE	Sīrāf	Siraf	NA	capitals	52.34306	27.69666	سيراف	سيراف	سيراف
SIWI_678E295N_S	Sijistan_RE	Sīwī	Siwi|Siwa	NA	capitals	67.85288	29.53796	سيوي	سيوي|سيوة	سيوي
SHAHRASTAN_515E298N_S	Fars_RE	Šahrastān	Shahrastan|Sabur	NA	capitals	51.51624	29.83157	شهرستان	شهرستان|سابور	شهرستان
SUHAR_566E243N_S	JaziratArab_RE	Ṣuḥār	Suhar	NA	capitals	56.69086	24.35205	صحار	صحار	صحار
SAGHANIYAN_678E382N_S	Mawarannahr_RE	al-Ṣaġāniyān	al-Saghaniyan	NA	capitals	67.89454	38.26337	الصغانيان	الصغانيان	صغانيان
SANA_442E153N_S	Yaman_RE	Ṣanʿāʾ	Sana	NA	capitals	44.20186	15.37373	صنعاء	صنعاء	صنعاء
SAYMARA_474E331N_S	Jibal_RE	al-Ṣaymaraŧ	al-Saymara	NA	capitals	47.40829	33.14964	الصيمرة	الصيمرة	صيمرة
TABARIYYA_355E327N_S	Sham_RE	Ṭabariyyaŧ	Tabariyya	NA	capitals	35.51241	32.77755	طبرية	طبرية	طبرية
TURTHITH_584E351N_S	Khurasan_RE	Ṭurṯīṯ	Turthith|Turshiz|Turaythith	NA	capitals	58.4113	35.13557	طرثيث	طرثيث|ترشيز|طريثيث	طرثيث
TUS_594E364N_S	Khurasan_RE	Ṭūs	Tus|Tabaran	NA	capitals	59.49915	36.42208	طوس	طوس|طابران	طوس
ARABAN_406E360N_S	Aqur_RE	ʿArabān	Araban	NA	capitals	40.69403	36.05814	عربان	عربان	عربان
ASKARMUKRAM_488E316N_S	Khuzistan_RE	ʿAskar=Mukram	Askar=Mukram	NA	capitals	48.8982	31.66531	عسكر=مكرم	عسكر=مكرم	عسكر=مكرم
ATTAR_423E171N_S	Yaman_RE	ʿAṭṭār	Attar	NA	capitals	42.39306	17.18513	عطار	عطار	عطار
GHAZNA_684E335N_S	Khurasan_RE	Ġaznaŧ	Ghazna|Ghaznin	NA	capitals	68.40733	33.56409	غزنة	غزنة|غزنين	غزنة
FAS_050W340N_S	Maghrib_RE	Fās	Fas	NA	capitals	-5.02852	34.06727	فاس	فاس	فاس
FARAMA_325E310N_S	Misr_RE	al-Faramā	al-Farama	NA	capitals	32.59811	31.02282	الفرما	الفرما	فرما
FAYYUM_306E294N_S	Misr_RE	al-Fayyūm	al-Fayyum	NA	capitals	30.69978	29.43447	الفيوم	الفيوم	فيوم
QASHAN_515E339N_S	Jibal_RE	Qāšān	Qashan	NA	capitals	51.50468	33.96762	قاشان	قاشان	قاشان
QAYIN_590E336N_S	Khurasan_RE	Qāyīn	Qayin	NA	capitals	59.09428	33.64706	قايين	قايين	قايين
QUBADHIYAN_681E372N_S	Mawarannahr_RE	Qubāḏiyān	Qubadhiyan|Quwadhiyan	NA	capitals	68.12506	37.2898	قباذيان	قباذيان|قواذيان	قباذيان
QURH_379E265N_S	JaziratArab_RE	Qurḥ	Qurh	NA	capitals	37.99288	26.55412	قرح	قرح	قرح
QUMM_509E346N_S	Jibal_RE	Qumm	Qumm	NA	capitals	50.90695	34.63354	قم	قم	قم
QINNASRIN_370E359N_S	Sham_RE	Qinnasrīn	Qinnasrin	NA	capitals	37.02701	35.99617	قنسرين	قنسرين	قنسرين
QANNAWJ_800E271N_S	Sind_RE	Qannawǧ	Qannawj	NA	capitals	80.03921	27.11654	قنوج	قنوج	قنوج
QAYRAWAN_101E357N_S	Maghrib_RE	al-Qayrawān	al-Qayrawan	NA	capitals	10.14137	35.70049	القيروان	القيروان	قيروان
KATH_607E417N_S	Mawarannahr_RE	Kaṯ	Kath	NA	capitals	60.70385	41.72062	كث	كث	كث
KARAJ_495E338N_S	Jibal_RE	al-Karaǧ	al-Karaj|Karaj=Abu=Dulaf	NA	capitals	49.54697	33.88116	الكرج	الكرج|كرج=أبو=دلف	كرج
KARWAN_718E414N_S	Mawarannahr_RE	Karwān	Karwan	NA	capitals	71.83079	41.48396	كروان	كروان	كروان
KISHSH_668E390N_S	Mawarannahr_RE	Kišš	Kishsh|Kashsh	NA	capitals	66.84071	39.03102	كش	كش|كش	كش
KUFA_443E320N_S	Iraq_RE	al-Kūfaŧ	al-Kufa	NA	capitals	44.39355	32.03808	الكوفة	الكوفة	كوفة
MARIB_454E155N_S	Yaman_RE	Maʾrib	Marib	NA	capitals	45.439	15.55742	مأرب	مأرب	مارب
MARW_621E376N_S	Khurasan_RE	Marw	Marw|Marw=al-Shahijan	NA	capitals	62.10386	37.67193	مرو	مرو|مرو=الشاهجان	مرو
MARWRUDH_633E355N_S	Khurasan_RE	Marw=al-Rūḏ	Marw=al-Rudh	NA	capitals	63.3667	35.5925	مرو=الروذ	مرو=الروذ	مرو=الروذ
MANSURA_688E258N_S	Sind_RE	al-Manṣūraŧ	al-Mansura	NA	capitals	68.87697	25.8651	المنصورة	المنصورة	منصورة
MAWSIL_431E363N_S	Aqur_RE	al-Mawṣil	al-Mawsil	NA	capitals	43.127	36.32809	الموصل	الموصل	موصل
MUGHAN_485E393N_S	Rihab_RE	Mūġān	Mughan|Mughkan|Muqan	NA	capitals	48.50179	39.33548	موغان	موغان|موغكان|موقان	موغان
NARMASIR_586E289N_S	Kirman_RE	Narmāsīr	Narmasir	NA	capitals	58.64795	28.98436	نرماسير	نرماسير	نرماسير
NASAF_658E388N_S	Mawarannahr_RE	Nasaf	Nasaf	NA	capitals	65.8104	38.86245	نسف	نسف	نسف
NIHAWAND_483E342N_S	Jibal_RE	Nihāwand	Nihawand|Mah=al-Basra	NA	capitals	48.39263	34.21512	نهاوند	نهاوند|ماه=البصرة	نهاوند
NAYRIZ_542E292N_S	Fars_RE	Nayrīz	Nayriz	NA	capitals	54.27518	29.21368	نيريز	نيريز	نيريز
HARA_621E343N_S	Khurasan_RE	Harāŧ	Hara	NA	capitals	62.15235	34.33419	هراة	هراة	هراة
HULBUK_698E378N_S	Mawarannahr_RE	Hulbuk	Hulbuk	NA	capitals	69.85097	37.87023	هلبك	هلبك	هلبك
WASIT_463E321N_S	Iraq_RE	Wāsiṭ	Wasit	NA	capitals	46.32308	32.19497	واسط	واسط	واسط
WASHJIRD_692E384N_S	Mawarannahr_RE	Wašǧird	Washjird|Dastjird|Dastkird	NA	capitals	69.21115	38.46704	وشجرد	وشجرد|دستجرد|دستكرد	وشجرد
WAYHIND_722E339N_S	Sind_RE	Wayhind	Wayhind	NA	capitals	72.24681	33.90757	ويهند	ويهند	ويهند
AWANA_439E340N_S	Iraq_RE	NA	NA	NA	loc	43.921967	34.093838	أوانا	اوانا	اوانا
NA	Sham_RE	LOW	NA	NA	loc	36.41064	34.94535	بارين	بارين	بارين
NA	Sham_RE	NA	NA	NA	loc	37.51788	36.36994	بزاعة	بزاعة	بزاعة
NA	Andalus_RE	LOW	NA	NA	loc	-2.77259	37.49073	بسطة	بسطة	بسطة
BAHANSA_306E285N_S	Misr_RE	al-Bahansā	al-Bahansa	NA	loc	30.65955	28.53564	البهنسا	البهنسا	بهنسا
NA	Iraq_RE	LOW	NA	NA	loc	43.507233	35.270402	البوازيج	البوازيج	بوازيج
NA	al-Maghrib	NA	NA	NA	loc	3.04197	36.7525	الجزائر	الجزائر	جزائر
NA	Aqur_RE	NA	NA	NA	loc	38.481191	35.897064	جعبر	جعبر	جعبر
NA	al-Sham	LOW	NA	NA	loc	36.36515	33.55869	حرستا	حرستا	حرستا
NA	al-Urdunn=&=Filastin	LOW	NA	NA	loc	35.333	30	الحميمة	الحميمة	حميمة
NA	Iraq	LOW	NA	NA	loc	44.13002	31.995382	دير=الجماجم	دير=الجماجم	دير=الجماجم
NA	al-Sham	NA	NA	NA	loc	36.1005	33.72488	الزبداني	الزبداني	زبداني
NA	al-Sham	NA	NA	NA	loc	36.35385	33.5261	زملكا	زملكا	زملكا
NA	Misr	LOW	NA	NA	loc	30.94636	31.09338	سخا	سخا	سخا
NA	al-Rum	LOW	NA	NA	loc	37.01611	39.74833	سيواس	سيواس	سيواس
NA	Farghana	LOW	NA	NA	loc	72.222748	40.442976	الشبلية	الشبلية	شبلية
NA	al-Andalus	LOW	Shaqura	NA	loc	-2.749329	38.225667	شقورة	شقورة	شقورة
NA	al-Andalus	LOW	NA	NA	loc	-8.43822	37.18921	شلب	شلب	شلب
SARKHAD_367E324N_S	Sham_RE	Ṣarḫad	Sarkhad|Salkhad	NA	loc	36.711111	32.491667	صرخد	صرخد|صلخد	صرخد
NA	Khurasan	NA	NA	NA	loc	59.638939	36.41747	الطابران	الطابران	طابران
QUNIYA_324E378N_S	Rum_RE	Qūniyaŧ	Quniya	NA	loc	32.483333	37.866667	قونية	قونية	قونية
KAFARBATNA_369E334N_S	Sham_RE	Kafarbaṭnā	Kafarbatna	NA	loc	36.396503	33.488755	كفربطنا	كفربطنا	كفربطنا
KANJA_463E406N_S	Rihab_RE	Kanjaŧ	Kanja	NA	loc	46.360556	40.682778	كنجة	كنجة	كنجة
NA	Sham_RE	Mardā	Marda	NA	loc	35.19536	32.11381	مردا	مردا	مردا
NA	al-Andalus	LOW	Mankab	NA	loc	-3.69072	36.73393	المنكب	المنكب	منكب
NA	al-Jazira	LOW	NA	NA	loc	43.643188	37.60357	الهكارية	الهكارية	هكارية
NA	al-Sham	LOW	NA	NA	locMan	36.4027	33.57175	دومة	دومة	دومة
NA	al-Qabq	LOW	NA	NA	locMan	45.131836	41.394943	دوين	دوين	دوين
NA	Jilan=&=al-Daylam	?	NA	NA	locMan	50.38823	36.39373	الطالقان	الطالقان	طالقان
NA	Khurasan	?	NA	NA	locMan	64.879761	36.351412	الطالقان	الطالقان	طالقان
NA	Iraq	ADD	NA	NA	locMan	44.65709	32.37447	الهاشمية	الهاشمية	هاشمية
Andalus_RE	Andalus_RE	al-Andalus	al-Andalus|Andalusia	NA	MESO	-3.735352	39.578597	الأندلس	الاندلس	اندلس
Jibal_RE	Jibal_RE	al-Ǧibāl	al-Jibal	NA	MESO	48.449707	35.607292	الجبال	الجبال	جبال
Aqur_RE	Aqur_RE	al-Jazīraŧ	al-Jazira	NA	MESO	42.484131	36.582011	الجزيرة	الجزيرة|أقور	جزيرة
Khurasan_RE	Khurasan_RE	Ḫurāsān	Khurasan	NA	MESO	58.831787	36.564365	خراسان	خراسان	خراسان
Khuzistan_RE	Khuzistan_RE	Ḫūzistān	Khuzistan	NA	MESO	48.944092	31.16769	خوزستان	خوزستان	خوزستان
Daylam_RE	Daylam_RE	al-Daylam	al-Daylam	NA	MESO	48.974304	36.853692	الديلم	الديلم	ديلم
Rum_RE	Rum_RE	al-Rūm	al-Rum	NA	MESO	33.991699	39.201611	الروم	الروم	روم
Sijistan_RE	Sijistan_RE	Siǧistān	Sijistan	NA	MESO	63.303223	31.244743	سجستان	سجستان	سجستان
Sind_RE	Sind_RE	al-Sind	al-Sind	NA	MESO	68.444824	27.023899	السند	السند	سند
Sham_RE	Sham_RE	al-Šām	al-Sham	NA	MESO	37.155762	34.672973	الشام	الشام	شام
Iraq_RE	Iraq_RE	al-ʿIrāq	al-Iraq	NA	MESO	45.032959	32.270413	العراق	العراق	عراق
Fars_RE	Fars_RE	Fārs	Fars	NA	MESO	52.756348	29.079216	فارس	فارس	فارس
Kirman_RE	Kirman_RE	Kirmān	Kirman	NA	MESO	57.06702	30.28027	كرمان	كرمان	كرمان
Mawarannahr_RE	Mawarannahr_RE	Mā=warāʾ-l-nahr	Ma=wara=al-nahr|Mawarannahr	NA	MESO	65.665283	39.573516	ما=وراء=النهر	ما=وراء=النهر	ما=وراء=النهر
Misr_RE	Misr_RE	Miṣr	Misr	NA	MESO	31.24964	30.04325	مصر	مصر	مصر
Maghrib_RE	Maghrib_RE	al-Maġrib	al-Maghrib	NA	MESO	-4.790039	33.291967	المغرب	المغرب	مغرب
Yaman_RE	Yaman_RE	al-Yaman	al-Yaman	NA	MESO	44.868164	14.953277	اليمن	اليمن	يمن
JaziratArab_RE	JaziratArab_RE	Jazīraŧ=al-ʿArab	Jazirat al-Arab	NA	MESO	39.83612	21.39132	NA	NA	NA
Rihab_RE	Rihab_RE	Riḥāb	Rihab	NA	MESO	48.30651	38.2360	NA	NA	NA
BadiyatArab_RE	BadiyatArab_RE	Badiyaŧ=al-ʿArab	Badiyat al-Arab	NA	MESO	39.87767	29.75959	NA	NA	NA
Mafaza_RE	Mafaza_RE	Mafāzaŧ	Mafaza	NA	MESO	56.94144	33.58656	NA	NA	NA
Barqa_RE	Barqa_RE	Barqaŧ	Barqa	NA	MESO	20.84475	32.37576	NA	NA	NA
Siqiliyya_RE	Siqiliyya_RE	Siqiliyyāŧ	Siqiliyya	NA	MESO	13.34479	38.10757	NA	NA	NA
Khazar_RE	Khazar_RE	al-Ḫazar	Khazar	NA	MESO	47.51198	42.90467	NA	NA	NA
NO_RE	NO_RE	NO_RE	NO_RE	NA	MESO	0	0	NA	NA	NA
ARDABIL_483E382N_S	Rihab_RE	Ardabīl	Ardabil	NA	metropoles	48.30651	38.23604	أردبيل	أردبيل	اردبيل
AHWAZ_486E313N_S	Khuzistan_RE	al-Ahwāz	al-Ahwaz|Suq=al-Ahwaz	NA	metropoles	48.69059	31.32986	الأهواز	الأهواز|سوق=الأهواز	اهواز
BAGHDAD_443E333N_S	Iraq_RE	Baġdād	Baghdad	NA	metropoles	44.35693	33.35932	بغداد	بغداد|بغذاد|مدينة=السلام	بغداد
DIMASHQ_363E335N_S	Sham_RE	Dimašq	Dimashq	NA	metropoles	36.30199	33.51843	دمشق	دمشق	دمشق
SAMARQAND_670E396N_S	Mawarannahr_RE	Samarqand	Samarqand	NA	metropoles	67.03225	39.67905	سمرقند	سمرقند	سمرقند
SIRJAN_557E294N_S	Kirman_RE	al-Sīrǧān	al-Sirjan	NA	metropoles	55.74854	29.46102	السيرجان	السيرجان	سيرجان
SHAHRASTAN_552E371N_S	Daylam_RE	Šahrastān	Shahrastan|Jurjan	NA	metropoles	55.206	37.19091	شهرستان	شهرستان|جرجان	شهرستان
SHIRAZ_525E296N_S	Fars_RE	Šīrāz	Shiraz	NA	metropoles	52.52867	29.61884	شيراز	شيراز	شيراز
FUSTAT_312E300N_S	Misr_RE	Fusṭāṭ	Fustat	NA	metropoles	31.24964	30.04325	فسطاط	فسطاط|الفسطاط	فسطاط
QAHIRA_312E300N_S	Misr_RE	al-Qāhiraŧ	Qahira|Cairo	Cairo	metropoles	31.2357	30.0444	القاهرة	القاهرة	قاهرة
QURTUBA_047W379N_S	Andalus_RE	Qurṭubaŧ	Qurtuba	NA	metropoles	-4.78135	37.91898	قرطبة	قرطبة	قرطبة
QUSTANTINIYYA_290E411N_S	Rum_RE	al-Qusṭanṭīniyyaŧ	al-Qustantiniyya|Qustantiniyya	NA	metropoles	29.029312	41.014206	القسطنطينية	القسطنطينية|القسطنطنية|قسطنطنية	قسطنطينية
MAKKA_398E213N_S	JaziratArab_RE	Makkaŧ	Makka	NA	metropoles	39.83612	21.39132	مكة	مكة	مكة
NAYSABUR_587E361N_S	Khurasan_RE	Naysābūr	Naysabur	NA	metropoles	58.79841	36.12138	نيسابور	نيسابور	نيسابور
HAMADHAN_485E347N_S	Jibal_RE	Hamaḏān	Hamadhan	NA	metropoles	48.57908	34.77554	همذان	همذان	همذان
BAHRAYN_495E261N_R	JaziratArab_RE	al-Baḥrayn	al-Bahrayn	NA	province	49.592285	26.159383	البحرين	البحرين	بحرين
JAZIRA_312E300N_S	Misr_RE	al-Ǧazīraŧ	al-Jazira	NA	quarters	31.21122	30.04436	الجزيرة	الجزيرة	جزيرة
RAFIQA_390E359N_S	Aqur_RE	al-Rāfiqaŧ	al-Rafiqa	NA	quarters	39.07703	35.94235	الرافقة	الرافقة	رافقة
QAHIRA_312E300N_S	Misr_RE	al-Qāhiraŧ	al-Qahira	NA	quarters	31.24168	30.05778	القاهرة	القاهرة	قاهرة
KARKH_443E333N_S	Iraq_RE	al-Karḫ	al-Karkh	NA	quarters	44.35293	33.31703	الكرخ	الكرخ	كرخ
ABKHAN_483E408N_R	Rihab_RE	al-Abḫān	al-Abkhan|Layijan|Layzan|Lizan|Liran	NA	regions	48.38086	40.88004	الأبخان	الأبخان|لايجان|ليزان|ليزان|ليران	ابخان
IBLIL_318E310N_R	Misr_RE	Iblīl	Iblil	NA	regions	31.8311	31.0155	إبليل	إبليل	ابليل
ABYAYN_449E131N_R	Yaman_RE	Abyāyn	Abyayn	NA	regions	44.96348	13.14229	أبياين	أبياين	ابياين
ATRIB_311E304N_R	Misr_RE	Atrīb	Atrib	NA	regions	31.17223	30.45947	أتريب	أتريب	اتريب
AHQAF_508E193N_R	JaziratArab_RE	al-Aḥqāf	al-Ahqaf	NA	regions	50.8587	19.38865	الأحقاف	الأحقاف	احقاف
AHWAR_465E136N_R	JaziratArab_RE	Aḥwar	Ahwar	NA	regions	46.54442	13.67538	أحور	أحور	احور
UKHRUJ_437E153N_R	Yaman_RE	al-Uḫrūǧ	al-Ukhruj	NA	regions	43.73654	15.34103	الأخروج	الأخروج	اخروج
AKHILLA_451E132N_R	Yaman_RE	Aḫillaŧ	Akhilla	NA	regions	45.17945	13.2032	أخلة	أخلة	اخلة
IKHNA_306E314N_R	Misr_RE	Iḫnā	Ikhna	NA	regions	30.65681	31.46786	إخنا	إخنا	اخنا
ADHARBAYJAN_479E382N_R	Rihab_RE	Aḏarbayǧān	Adharbayjan	NA	regions	47.95801	38.24076	أذربيجان	أذربيجان	اذربيجان
ARRAN_471E406N_R	Rihab_RE	Arrān	Arran	NA	regions	47.14761	40.60291	أران	أران	اران
