MATCH	URIS	TOPONYMS
بقرطبة	QURTUBA_047W379N_S	قرطبة
وثمانين	THAMANIN_426E373N_S	ثمانين
هزاراسب	HAZARASB_610E412N_S	هزاراسب
ببوشنج	BUSANJ_614E343N_S	بوسنج
لبنجخاش	BANKHASH_700E409N_S	بنخاش
لمرسيالدجاج	MARSADAJJAJ_035E367N_S	مرسى الدجاج
بحاوس	KHAWAS_688E402N_S	خاوص
وصقلية	Siqiliyya_RE	صقلية
لالقادسية	QADISIYYA_439E340N_S,QADISIYYA_441E316N_S	القادسية : القادسية
لبون	BAWN_439E157N_R	بون
كاشغر	KASHGHAR_759E394N_S	كاشغر
بالسيلحين	SAYLAHIN_440E334N_S	السيلحين
لاشرشال	ASHRASHAL_022E365N_S	أشرشال
بقفط	QIFT_328E259N_S	قفط
وبوينكرد	WINKARD_684E405N_S	وينكرد
وبكفرطاب	KAFARTAB_366E355N_S	كفرطاب
ورباططغان	RIBATTUGHAN_628E401N_S	رباط طغان
وبالزط	HAWMAZUTT_497E310N_S	حومة الزط
بدرنوي	DARNAWA_487E348N_S	درنوى
بمالن	MALIN_602E349N_S,MALIN_621E341N_S,MALIN_650E368N_S	مالن : مالن : مالن
نهرالكر	NAHRKURR_459E412N_W,NAHRKURR_481E401N_W	نهر الكر : نهر الكر
وصلخد	SARKHAD_367E324N_S	صرخد
لالبجاناك	BAJANAK_408E486N_R,BAJANAK_499E492N_R	البجاناك : البجاناك
بالجايزن	JAYZAN_498E308N_S	الجايزن
للرقة	LURQA_017W376N_S	لرقة
لالنيل	NIL_448E325N_S	النيل
الاسراب	ASRAB_637E358N_S	الأسراب
بجرباذقان	JARBADHAQAN_502E333N_S	جرباذقان
اليهودية	ISBAHAN_516E326N_S,YAHUDIYYA_648E359N_S	إصبهان : اليهودية
بشاتبة	SHATIBA_005W389N_S	شاطبة
بدندرة	DANDARA_326E261N_S	دندرة
مزارعي	MAZARII_430E366N_S	مزارعي
بخوراباذان	KHAWADHAN_515E302N_S	خواذان
والسنطة	SANTA_334E194N_S	السنطة
الحدوثة	HADUTHA_483E285N_S	الحدوثة
وبوشنك	BUSANJ_614E343N_S	بوسنج
لاجنا	IKHNA_307E315N_S	إخنا
بقريةبيذ	QARYABIDH_531E306N_S	قرية بيذ
وبقنوج	QANNAWJ_800E271N_S	قنوج
وببءرحميد	BIRHUMAYD_681E403N_S	بئر حميد
لحضور	HADUR_437E155N_R	حضور
لمءاب	MAAB_357E312N_S	مآب
بذوالحليفة	DHUHULAYFA_395E244N_S	ذو الحليفة
وببسكرة	BISKARA_057E348N_S	بسكرة
ورمين	DIZA_516E353N_O	دزا
وقادس	QADIS_061W365N_S	قادس
وقنطرةاندامش	DIZ_484E329N_S	الدز
بالمزة	MIZZA_362E335N_S	المزة
لالجش	JASHSH_354E330N_S	الجش
بنابلس	NABULUS_352E322N_S	نابلس
وبجماعيل	JAMAIL_352E321N_S	جماعيل
وبسياهكوه	SIYAHKUH_522E345N_O	سياه كوه
معين	MAIN_526E301N_S	مئين
وبخنان	KHUNAN_455E413N_S	خنان
لسيوي	SIWI_678E295N_S	سيوي
لكوين	JUWAYN_616E317N_S	جوين
وكهمند	KAHAMANDA_531E302N_S	كهمندة
بتينات	TINAT_361E368N_S	تينات
بقرسيس	FIRRISH_055W379N_R	فريش
العوسجة	AWSAJA_440E259N_S	العوسجة
وبتيرمردان	TIRMARDAN_519E298N_R	تير مردان
السرو	SARW_455E139N_R	السرو
وبالدورق	DAWRAQ_489E308N_S	الدورق
بالجنفس	KHANFAS_407E314N_S	الخنفس
بزرمان	ZARMAN_666E397N_S	زرمان
وبفارغر	FARGHAR_694E374N_S	فارغر
رباط	RIBAT_068W339N_S	رباط
بفربر	FIRABR_636E391N_S	فربر
وبدركوجوي	DARKUJUWI_577E307N_S	دركوجوي
بمور	MAWR_428E157N_S	مور
جرجرايا	JARJARAYA_453E327N_S	جرجرايا
بجويمابواحمد	JUWAYMABUAHMAD_539E281N_S	جويم أبو أحمد
وبالاردن	URDUNN_355E321N_W	الأردن
وجسركوثي	JISRKUTHA_443E328N_S	جسر كوثى
السرات	SARAT_475E379N_S	السرات
واسوان	USWAN_329E241N_S	أسوان
الطزر	TAZAR_464E341N_S	الطزر
وزرمان	ZARMAN_666E397N_S	زرمان
وبالجدد	JUDAD_410E217N_S	الجدد
وابوالخصيب	ABUKHASIB_479E304N_S	أبو الخصيب
وببلاسابور	BALASABUR_511E303N_R	بلا سابور
وبماهالكوفة	DINAWAR_474E346N_S	دينور
بكهك	KUHAK_653E314N_S	كهك
وبجارباية	JARBAYA_696E353N_S	جارباية
وعسكرمكرم	ASKARMUKRAM_488E316N_S	عسكر مكرم
وسورو	SURU_562E271N_S	سورو
الاخدمية	AKHDAMIYYA_422E322N_S	الأخدمية
وبمهروبان	MAHRUBAN_502E300N_S	مهروبان
بسعيداباذ	SAIDABADH_513E363N_S	سعيداباذ
وزابالصغير	ZABSAGHIR_441E356N_W	زاب الصغير
جرجستان	GHARJSHAR_644E348N_R	غرج الشار
لبءرزيتونة	ZAYTUNA_101E343N_S	الزيتونة
برباطالاستانة	RIBATASTANA_647E392N_S,RIBATASTANA_649E366N_S	رباط الآستانة : رباط الآستانة
لذوخشب	DHUKHUSHUB_392E247N_S	ذو خشب
اورذانة	WARDHANA_643E401N_S	ورذانة
لتارم	TARIM_558E281N_S	تارم
لفغكث	FAGHKATH_690E398N_S	فغكث
قلعةرباح	QALARABAH_037W388N_S	قلعة رباح
بكرديز	KARDIZ_691E336N_S	كرديز
ومغكان	MAGHKAN_641E398N_S	مغكان
ببردان	BARADAN_443E335N_S	بردان
لبهنسي	BAHNASA_306E286N_R	بهنسى
بشاهي	SHAHI_443E322N_S	شاهي
وجم	JAMM_523E278N_S	جم
وغلافقة	GHALAFIQA_430E144N_S	غلافقة
بكروخ	KARUKH_625E344N_S	كروخ
وبجلاب	JULLAB_389E374N_S	جلاب
لسطيف	SATIF_054E361N_S	سطيف
لمه	MAH_522E280N_S	مه
وبطنت	TANTITA_311E302N_S	تنتيتا
باسفبجاي	ASFABJAY_670E305N_S	أسفبجاي
خونج	KHUNAJ_472E373N_S	خونج
لالاوسية	AWSIYA_312E311N_R	الأوسية
المجالي	MAJAK_673E298N_S	المجاك
الحجر	HAJR_467E246N_S,HIJRSALIH_379E268N_S	الحجر : حجر صالح
الوجرة	WAJRA_409E220N_S	الوجرة
وبالثجة	THUJJA_431E181N_S,THUJJA_441E139N_S	الثجة : الثجة
ومنزلابنبندقة	BUNDUQA_319E300N_S	بندقة
بخوراواذان	KHAWADHAN_515E302N_S	خواذان
وبحمص	HIMS_367E347N_S	حمص
والمشهد	MASHHAD_595E361N_S,NUQAN_595E362N_S	المشهد : النوقان
لكهك	KUHAK_653E314N_S	كهك
لواديورغة	WADIWARGHA_053W344N_W	وادي ورغة
لنامهند	NAMAHAND_519E357N_S	نامهند
كمهنك	KAHAMANDA_531E302N_S	كهمندة
قهقاوة	QAW_314E269N_S	قو
بسوقاسد	SUQASAD_442E324N_S	سوق أسد
وبخوراباذان	KHAWADHAN_515E302N_S	خواذان
الغزة	GHUZZA_010E361N_S	الغزة
لبلبيس	BILBAYS_315E304N_S	بلبيس
بدمشق	DIMASHQ_363E335N_S	دمشق
الرخوذ	RUKHKHAJ_655E314N_R	الرخاج
وبكولان	KULAN_729E428N_S	كولان
وبكزناية	KAZANNAYA_039W346N_S	كزناية
لبيشة	BISHA_426E199N_S,BISHA_426E200N_R	بيشة : بيشة
والمهجم	MAHJAM_430E152N_S	المهجم
لنهرانديجاراغ	NAHRANDIJARAGH_690E375N_W	نهر أنديجاراغ
وبويب	BUWAYB_315E301N_S	بويب
قبرس	QUBRUS_333E350N_R	قبرس
لكرمان	Kirman_RE	كرمان
الزرم	NAHRRAZB_419E378N_W	نهر الرزب
بهار	BAHAR_563E298N_S	بهار
لببنة	BABNA_624E349N_S	ببنة
وبجبول	JABBUL_457E325N_S	جبول
لخاوص	KHAWAS_688E402N_S	خاوص
بلور	BALUR_520E358N_S	بلور
القدس	BAYTMAQDIS_352E317N_S	بيت المقدس
بصهيه	SAHIH_543E297N_S	صهيه
وهرقلة	RAQQA_390E359N_S,HIRAQLA_340E375N_S	الرقة : هرقلة
بخابشان	KHAYSAR_673E324N_S	خايسار
بلخاب	BALKHAB_478E393N_S	بلخاب
بثيرة	BUTHIRA_142E371N_S	بثيرة
بكفر	KAFRAH_524E295N_S	كفره
الخورنق	KHAWARNAQ_443E319N_S	الخورنق
بدربند	BABABWAB_483E420N_S	باب الأبواب
وتطيلة	TUTILA_016W420N_S	تطيلة
لالكنيسة	KANISA_349E327N_S	الكنيسة
لالمنصف	MANSAF_320E301N_S	المنصف
السويدية	SUWAYDA_390E250N_S,SUWAYDIYYA_359E360N_S	السويداء : السويدية
لجوفهمدان	JAWFHAMDAN_448E155N_R	جوف همدان
عبرتا	ABARTA_449E332N_S	عبرتا
وبجرمجوي	JARMJUWI_540E359N_S	جرمجوي
سعيداباذ	SAIDABADH_513E363N_S	سعيداباذ
لسنجرفغن	SANJARFAGHAN_660E395N_R	سنجرفغن
زبيد	ZABID_433E142N_S	زبيد
الدثينة	DATHINA_419E232N_S	الدثينة
بماهالبصرة	NIHAWAND_483E342N_S	نهاوند
ووزارمند	WAZARMAND_597E418N_S	وزارمند
الصيمرة	SAYMARA_474E331N_S	الصيمرة
والشماخية	SHAMAKHIYYA_486E406N_S	الشماخية
قلعةالصراط	QALASIRAT_139E379N_S	قلعة الصراط
وبخويت	KHUWI_449E385N_S	خوي
ونابادغين	NABADGHIN_620E407N_S	نابادغين
سرخس	SARAKHS_611E365N_S	سرخس
لدرواذ	DARWADH_501E350N_S	درواذ
لالصغد	SUGHD_659E394N_R	الصغد
للربس	LURBUS_088E361N_S	لربس
وزانبوك	ZANBUQ_619E309N_S	زانبوق
بالمصانع	MASANI_439E155N_R	المصانع
وبشمكور	SHAMKUR_460E409N_S	شمكور
افريقيا	Maghrib_RE	إفريقية
لرباطميانه	RIBATMAYANAH_627E345N_S	رباط ميانه
برطاس	BURTAS_466E526N_R	برطاس
شوذر	SHAWDHAR_033W378N_S	شوذر
بيتجبريل	BAYTJIBRIL_348E316N_S	بيت جبريل
وبشنوة	SHANUWA_469E152N_W	شنوة
ميورقة	MAYURQA_299E395N_R	ميورقة
وبعينشمس	AYNSHAMS_313E301N_S	عين شمس
الجدد	JUDAD_410E217N_S	الجدد
ورباطنصرك	RIBATNASRAK_629E383N_S	رباط نصرك
والري	RAYY_515E356N_S	الري
لجبول	JABBUL_457E325N_S	جبول
لسويس	SUWAYS_325E299N_S	سويس
وبجرمنقان	SARMANJI_674E376N_S	صرمنجي
لسدوسان	SADUSAN_678E264N_S	سدوسان
وبالشمسانية	SHAMSINIYYA_409E358N_S	الشمسينية
وبدهستان	DIHISTAN_556E390N_R,DIHISTAN_629E346N_S	دهستان : دهستان
وبواديطي	WADITAYY_419E270N_R	وادي طي
الاعراء	ARA_355E280N_S	الأعراء
ولبلة	LABLA_066W373N_S	لبلة
لكولشوب	KULSHUB_721E428N_S	كول شوب
وبدوفانة	DUFANA_066E354N_S	دوفانة
لمراقية	MARAQIYYA_359E350N_S	مراقية
بمطماطة	MATMATA_045W341N_S,MATMATA_019E359N_R	مطماطة : مطماطة
وسارغ	SARIGH_752E428N_S	سارغ
بالجند	JANAD_441E136N_S	الجند
بمكران	MUKRAN_625E265N_R	مكران
بعسكرمكرم	ASKARMUKRAM_488E316N_S	عسكر مكرم
دمنهور	DAMANHUR_304E310N_S	دمنهور
والجامعان	JAMIAN_444E324N_S	الجامعان
لايلان	AYLAN_076W314N_S	أيلان
نهرجرشيق	NAHRJARSIQ_517E293N_W	نهر جرسيق
وببيترامة	BAYTRAM_356E318N_S	بيت الرام
وبفمالعضدي	FAMADUDI_481E304N_W	فم العضدي
بالزرينروذ	NAHRZANDARUDH_519E324N_W	نهر زندروذ
وارمابيل	ARMABIL_663E262N_S	أرمابيل
وبعقوبا	BAQUBA_446E337N_S	بعقوبا
بالخرج	KHARJ_472E237N_R	الخرج
بهيت	HIT_428E336N_S	هيت
وبكركه	ZAMM_651E378N_S	زم
فرغانة	FARGHANA_720E403N_R	فرغانة
وابسكون	ABASKUN_540E370N_S	آبسكون
والمجاك	MAJAK_673E298N_S	المجاك
ورباطكوران	RIBATKHURAN_564E337N_S	رباط خوران
لنهرجريب	NAHRJARIYAB_709E383N_W	نهر جريب
فمنهرسعيد	FAMNAHRSAID_401E353N_S	فم نهر سعيد
ناكور	HAJARNASR_039W352N_S	هجر النصر
وقايين	QAYIN_590E336N_S	قايين
رباطشور	RIBATSHUR_635E350N_S	رباط شور
وبقصدار	QUSDAR_665E277N_S	قصدار
بالخوار	KHUWAR_524E352N_S	الخوار
ببادوريا	BADURAYA_442E333N_S	بادوريا
باللاهون	LAHUN_309E292N_S	اللاهون
لصهيه	SAHIH_543E297N_S	صهيه
وبعلبك	BALABAKK_361E340N_S	بعلبك
لسيسر	SISAR_469E353N_S	سيسر
لكومشريك	KUMSHARIK_307E306N_S	كوم شريك
سروج	SARUJ_384E369N_S	سروج
وبوجين	WUJAYN_757E232N_S	وجين
لدمما	DIMIMMA_437E333N_S	دمما
اشبورقان	SHABURQAN_657E366N_S	شبورقان
وبلشبونة	LISHBUNA_091W387N_S	لشبونة
لوشقة	WASHQA_003W421N_S	وشقة
بوالشتان	BALISH_676E296N_R	بالش
وبالسن	SINN_434E352N_S	السن
بلنجر	BALANJAR_464E432N_S	بلنجر
ونوباغ	NUBAGH_598E422N_S	نوباغ
وفمنهرسعيد	FAMNAHRSAID_401E353N_S	فم نهر سعيد
لالسرين	SIRRAYN_407E198N_S	السرين
وصاهه	SAHIH_601E361N_S	صاهه
والفستجان	FUSTUJAN_540E288N_S	الفستجان
وبافيق	AQABAFIQ_356E327N_S	عقبة الفيق
وبجبلالسماق	JABALSUMAQ_365E356N_O	جبل السماق
تفليس	TIFLIS_448E420N_S	تفليس
وسنجة	QASRSANJA_381E374N_S	قصر سنجة
لقريةالعيون	QARYAUYUN_355E333N_S	قرية العيون
درابجرد	DARABAJIRD_545E287N_S	درابجرد
وبقسطانة	QUSTANA_510E354N_S	قسطانة
والاقصور	AQSUR_326E257N_S	الأقصور
النهروان	NAHRAWAN_445E334N_S	النهروان
صيحون	NAHRSHASH_681E419N_W,NAHRSHASH_719E409N_W	نهر شاش : نهر شاش
لقلونيةالعوفي	QALUNIYAAWFI_384E403N_S	قلونية العوفي
وبحران	HARRAN_390E368N_S	حران
واستربيان	ASTARABYAN_628E342N_S	أستربيان
زبالة	ZUBALA_435E294N_S	زبالة
بوتيج	BUTIJ_312E271N_S	بوتيج
بواضعالمعلل	WADIMALAL_440E154N_R	واضع المعلل
كركه	ZAMM_651E378N_S	زم
والارنط	URUNT_364E359N_W	الأرنط
لغرندل	GHARANDAL_351E300N_S	غرندل
ورباطكنكي	RIBATKANKI_663E310N_S	رباط كنكي
والسكرية	SUKKARIYYA_346E315N_S	السكرية
مرند	MARAND_458E384N_S	مرند
بصري	BUSRA_364E325N_S	بصرى
لدشتعلي	DASHTALI_611E255N_S	دشت علي
وحجور	HAJUR_435E160N_R	حجور
وتاهرت	TAHIRT_013E353N_S	تاهرت
واللورجان	LURDAJAN_507E315N_S	لوردجان
وبخليص	KHULAYS_394E221N_S	خليص
وبجبلان	JUBLAN_436E142N_S	جبلان
لجربلص	JARABULUS_380E368N_S	جربلص
لسوقكرا	SUQKARA_026E361N_S	سوق كرا
لشطنوف	SHATNUF_310E302N_S	شطنوف
وبموقان	BAJARWAN_481E392N_S,MUGHAN_485E393N_S	باجروان : موغان
بخنداب	KHUNDAB_492E344N_S	خنداب
لالمرجان	MURJAN_556E363N_S	المرجان
طرستان	HARUNIYYA_450E339N_S	الهاروني
وكرم	KURM_536E290N_S	كرم
وباوذنة	AWDHANA_102E365N_S	أوذنة
وبحصنابنعمارة	HISNIBNUMARA_549E265N_S	حصن إبن عمارة
لفربر	FIRABR_636E391N_S	فربر
بنهرعسي	NAHRISA_441E332N_W	نهر عسى
لمرجهينة	MARJJUHAYNA_432E361N_S	مرج جهينة
ببندنيجين	BANDANIJAN_454E337N_S	بندنيجان
لبوين	BUWAYN_506E319N_S	بوين
وبالجنينة	JUNAYNA_371E279N_S	الجنينة
وبعينالرومية	AYNRUMIYYA_389E363N_S	عين الرومية
جنابة	JANNABA_505E296N_S	جنابة
بحيرةتنيس	BUHAYRATINNIS_319E312N_W	بحيرة تنيس
عينالرومية	AYNRUMIYYA_389E363N_S	عين الرومية
سينيز	SINIZ_502E299N_S	سينيز
خانمردويه	KHANMAZDAWAYHI_488E307N_S	خن مزدويهي
وصندفا	SANDAFA_311E309N_S	صندفا
لخشاف	KHUSHAF_376E360N_S	خشاف
لنهرابيالاسد	NAHRABIASAD_470E309N_W	نهر أبي الأسد
سوي	SUWA_378E337N_S	سوى
بناءين	NAIN_531E328N_S	نائين
لنهرالفرات	NAHRFURAT_412E344N_W	نهر الفرات
خواذان	KHAWADHAN_515E302N_S	خواذان
بميتم	MAYTAM_443E138N_R	ميتم
بنهرطالقانروذ	NAHRTALAQANRUDH_501E365N_W	نهر طالقانروذ
وبيروزاباذ	JUR_525E288N_S	جور
حصنمهدي	HISNMAHDI_483E305N_S	حصن مهدي
ببندنيجان	BANDANIJAN_454E337N_S	بندنيجان
بنهروخشاب	NAHRWAKHSHAB_685E374N_R	نهر وخشاب
لتيزا	TIZA_040W342N_S	تيزا
وملحان	MILHAN_434E153N_R	ملحان
لرخشميثن	ARDHAKHUSHMITHAN_602E416N_S	أرذخشميثن
والقيس	QAYS_307E285N_S	القيس
صحار	SUHAR_566E243N_S	صحار
بالختل	KHUTTAL_697E379N_R	الختل
بباعشيقا	BAASHIQA_433E364N_S	باعشيقا
بخوشان	KHUJAN_584E369N_S	خوجان
وسيوة	SIWI_678E295N_S	سيوي
بجويقان	JUWIQAN_598E429N_S	جويقان
باعيناثا	BAAYNATHA_424E366N_S	باعيناثا
لطبرستان	TABARISTAN_526E363N_R	طبرستان
جرش	JURASH_358E322N_S,JURASH_424E187N_R,JURASH_426E186N_S	جرش : جرش : جرش
بنهرجيحون	NAHRJAYHUN_630E393N_W,NAHRJAYHUN_684E370N_W	نهر جيحون : نهر جيحون
وبالس	BALIS_380E360N_S,BALISH_676E296N_R	بالس : بالش
لنوسا	NAWASA_312E309N_R	نوسا
الرزم	NAHRRAZB_419E378N_W	نهر الرزب
لجاه	KAH_677E352N_S	كاه
بطرطوس	ANTARTUS_359E348N_S	أنطرطوس
وبحيرةتنيس	BUHAYRATINNIS_319E312N_W	بحيرة تنيس
بطراز	TARAZ_714E428N_S	طراز
رستجرد	RUSTAJIRD_502E317N_S	رستجرد
بمنستير	MUNASTIR_108E357N_S	منستير
وببيتجبريل	BAYTJIBRIL_348E316N_S	بيت جبريل
لعارة	ARA_439E126N_S	عارة
بسوج	SUKH_712E399N_S	سوخ
المهجرة	MAHJARA_435E176N_S	المهجرة
والمءدة	MAIDA_068W406N_S	المئدة
وبجبلاحد	JABALUHUD_395E246N_O	جبل أحد
وشطنوف	SHATNUF_310E302N_S	شطنوف
ونسف	NASAF_658E388N_S	نسف
لجكربند	JIKARBAND_623E402N_S	جكربند
لالقمرطي	QAMARTI_404E348N_S	القمرطي
جيت	KIT_590E420N_S	كيت
المخنق	MAKHNAQ_446E128N_S	المخنق
لهوارة	HUWARA_004E355N_S	هوارة
بحصنالتينات	TINAT_361E368N_S	تينات
وبند	BAND_620E260N_S	بند
شروان	SARWAN_648E319N_S,SHIRWAN_487E411N_S	سروان : شروان
لنه	NIH_600E315N_S	نه
مامطير	MAMATIR_527E365N_S	مامطير
اربل	IRBIL_440E361N_S	إربيل
ابزر	ABZAR_529E282N_S	أبزر
وكتانة	KATANA_102E336N_S	كتانة
بالسكاسك	SAKASIK_441E136N_R	السكاسك
فرغر	FARGHAR_694E374N_S	فارغر
ونهرعسي	NAHRISA_441E332N_W	نهر عسى
وخابشان	KHAYSAR_673E324N_S	خايسار
وبهو	HU_322E260N_S	هو
بنهربشلنك	NAHRBISHLANK_647E325N_W	نهر بشلنك
عقدة	UQDA_536E324N_S	عقدة
وببخاري	BUKHARA_644E398N_S	بخارى
وسمنان	SIMNAN_534E354N_S	سمنان
واغماتايلا	AYLAN_076W314N_S	أيلان
بوالش	BALISH_676E296N_R	بالش
لنهرشاش	NAHRSHASH_681E419N_W,NAHRSHASH_719E409N_W	نهر شاش : نهر شاش
قريةبراتكين	QARYABARATIKIN_599E431N_S	قرية براتكين
حصنالنصاري	DAYRNASARA_330E311N_S	دير النصارى
وبخرة	KHURRA_519E292N_S	خرة
وبقرن	QARN_402E214N_S	قرن
الدالية	DALIYA_407E347N_S	الدالية
وتوران	TURAN_662E277N_R	توران
رباطقهستان	RIBATQAHASTAN_635E313N_S	رباط قهستان
القسطل	QASTAL_375E350N_S	القسطل
بسرقوسطة	SARAQUSA_009W416N_S	سرقسطة
وبحصنمسلمة	HISNMASLAMA_390E363N_S	حصن مسلمة
وبخيار	KHAYAR_539E292N_S	خيار
مغمداش	MAGHMADASH_162E311N_S	مغمداش
وبالقسطل	QASTAL_375E350N_S	القسطل
وجيرفت	JIRUFT_578E286N_S	جيرفت
خرامة	KHURRAMA_533E295N_S	خرامة
لسورة	SURA_662E284N_S	سورة
لمطماطة	MATMATA_045W341N_S,MATMATA_019E359N_R	مطماطة : مطماطة
واللور	LUR_483E325N_R	اللور
ومنزلباشو	MANZILBASHU_109E367N_S	منزل باشو
بخرشكث	KHARASHKATH_689E408N_S	خرشكث
بكفره	KAFRAH_524E295N_S	كفره
مزداخقان	MAZDAKHKAN_595E423N_S	مزداخكان
كويان	JUWAYN_566E368N_R	جوين
بقنطرةاندامش	DIZ_484E329N_S	الدز
وبميبذ	MAYBUDH_539E322N_S	ميبذ
وببلخاب	BALKHAB_478E393N_S	بلخاب
لالخولان	KHAWLAN_446E152N_R	الخولان
وببجانة	BAJJANA_024W369N_S	بجانة
بالقسطنطينية	QUSTANTINIYYA_066E363N_S,QUSTANTINIYYA_290E411N_S	القسطنطنية : القسطنطينية
لوادييبة	WADIYABA_414E190N_W	وادي يبة
لباضع	BADI_394E156N_S	باضع
وبالرخوذ	RUKHKHAJ_655E314N_R	الرخاج
بالبرج	BURJ_496E333N_S	البرج
لبرلس	BURULLUS_309E315N_S	برلس
لاصطخر	ISTAKHR_529E299N_S	إصطخر
لرحبة	RUHBA_364E276N_R	رحبة
باب	BAB_711E408N_S	باب
نفزاوة	NAFZAWA_092E336N_R	نفزاوة
وبيسان	BAYSAN_354E325N_S	بيسان
لنسيا	NASA_711E404N_R	نساء
وسقياءيزيد	SUQYAYAZID_383E261N_S	سقياء يزيد
بوخان	WAKHKHAN_723E370N_R	وخان
القصبة	QASABA_397E350N_S	القصبة
درتل	DARTAL_650E321N_S	درتل
وبترجيلة	TARAJILA_059W394N_S	ترجيلة
وديزك	DIZAK_677E400N_S	ديزك
وحصنبرزوية	HISNBARZUYA_362E356N_S	حصن برزوية
وبودان	WADDAN_162E289N_S	ودان
وبرباطخوران	RIBATKHURAN_564E337N_S	رباط خوران
لاوبة	AWBA_631E344N_S	أوبة
وبرذبال	RUDHBAR_577E278N_R	رذبار
وديروط	DAYRUT_304E312N_S	ديروط
واديزيز	WADIZIZ_044W318N_W	وادي زيز
وبسباء	SABA_453E154N_R	سباء
بالمغرب	Maghrib_RE	المغرب
خاش	KHASH_705E410N_S	خاش
زندنة	ZANDANA_643E399N_S	زندنة
وبرحابة	RUHABA_442E154N_R	رحابة
وبوليلة	WALILA_056W340N_S	وليلة
وجرجرايا	JARJARAYA_453E327N_S	جرجرايا
وشابران	SHABARAN_487E412N_S	شابران
بالجرزوان	JURZUWAN_658E358N_S	الجرزوان
وقنسرين	QINNASRIN_370E359N_S	قنسرين
بجلبيجان	JARBADHAQAN_502E333N_S	جرباذقان
وبالعقبة	AQABA_251E314N_S,AQABA_436E300N_S,MAZDURAN_605E361N_S	العقبة : العقبة : مزدوران
بميركي	MIRKI_731E428N_S	ميركي
دمنش	DAMANNASH_154E381N_S	دمنش
ببسطة	BASTA_314E305N_R	بسطة
وبقريةابنبندار	QARYAIBNBUNDAR_530E301N_S	قرية إبن بندار
وباشان	BASHAN_623E342N_S	باشان
لالجامعين	JAMIAN_444E324N_S	الجامعان
لبلينا	BULYANA_319E262N_S	بلينا
وسوبة	SUBA_325E154N_S	سوبة
وجبلالجودي	JABALJUDI_425E373N_O	جبل الجودي
الصيمكان	SIMAKAN_531E286N_S	الصيمكان
لتنس	TANAS_013E364N_S	تنس
وبصيحون	NAHRSHASH_681E419N_W,NAHRSHASH_719E409N_W	نهر شاش : نهر شاش
القطر	QATR_466E317N_O	القطر
لكتانة	KATANA_102E336N_S	كتانة
واشروسنة	USHRUSANA_687E395N_R	أشروسنة
وببذخكث	BADHAKHKATH_701E424N_S	بذخكث
بسكرة	BISKARA_057E348N_S	بسكرة
ومسير	MISIR_309E310N_S	مسير
والسويدية	SUWAYDA_390E250N_S,SUWAYDIYYA_359E360N_S	السويداء : السويدية
بفلسطين	FILASTIN_351E317N_R	فلسطين
وبباذبين	BADHIBIN_465E321N_S	باذبين
والطحونة	TAHUNA_283E308N_S	الطحونة
محلةالكبيرة	MAHALLAKABIRA_311E309N_S	محلة الكبيرة
لاسلان	ASLAN_011W354N_S	آسلان
لكثروا	KATHRUWA_577E301N_S	كثروا
عقبةالرمان	AQABARUMMAN_361E338N_S	عقبة الرمان
خبر	KHABR_532E287N_S,KHABR_563E288N_S	خبر : خبر
بريوند	RIWAND_583E361N_S	ريوند
بورقاد	BURQAD_138E379N_S	بورقاد
وبالابواء	ABWA_390E232N_S	الأبواء
وبواديعلقي	WADIALLAQI_341E221N_W	وادي علقي
السودقانية	SUDAQANIYYA_436E348N_S	السودقانية
برشتان	RISHTAN_715E400N_S	رشتان
بجرجانيةالصغري	JURJANIYYASUGHRA_593E422N_S	جرجانية الصغرى
جبروان	JABRAWAN_456E369N_S	جبروان
بسوخ	SUKH_712E399N_S	سوخ
لجبلجليل	JABALJALIL_363E348N_O	جبل جليل
وحوارين	HUWARIN_371E342N_O	حوارين
وبنهرهيرميد	NAHRHILMAND_631E304N_W	نهر هلمند
بيتجبرين	BAYTJIBRIL_348E316N_S	بيت جبريل
لبردان	BARADAN_443E335N_S	بردان
لاوفر	AWFAR_665E398N_R	أوفر
ببطليوس	BATALYUS_069W388N_S	بطليوس
وبثرون	BATHRUN_356E342N_S	بثرون
لالرب	RABB_432E334N_S	الرب
وبسرنديب	SARANDIB_808E076N_R	سرنديب
بفمالصلح	FAMSILH_461E324N_S	فم الصلح
لبطرنوة	BATARNWA_149E375N_S	بطرنوة
سرويستان	SARWISTAN_524E314N_S,SARWISTAN_578E292N_S	سرويستان : سرويستان
لرذراور	RUDHRAWAR_483E346N_S	رذراور
وبست	BUST_643E313N_S	بست
لماراباذ	MARABADH_630E343N_S	ماراباذ
بخابورالحسنية	KHABURHASANIYYA_428E370N_W	خابور الحسنية
بديربوشنودة	DAYR_316E265N_R	الدير
بخرقان	DAKHARRAQAN_459E377N_S	داخرقان
وقنزبور	BANNAJBUR_641E269N_S	بنجبور
وضبا	DABBA_357E273N_S	ضبا
لشبروا	SHABRUWA_312E301N_S	شبروا
بالبقيعة	BAQIA_373E322N_S,BAQIA_433E356N_S	البقيعة : البقيعة
لجبالميدعان	JUBBMAYDAN_233E321N_S	جب الميدان
بنهرهريروذ	NAHRHARIRUDH_579E284N_W	نهر هريروذ
ببردي	BARADA_364E334N_W	بردى
القرينين	QARINAYN_624E365N_S	القرينين
وبواديخلب	WADIKHULAB_430E167N_W	وادي خلب
بازير	BAZIR_498E316N_S	بازير
