MATCH	URIS	TOPONYMS
وبفامية	FAMIYYA_364E354N_S	فامية
بيسان	BAYSAN_354E325N_S	بيسان
وبلادالشاش	SHASH_691E412N_R	الشاش
بكناءسالحرير	KANAISHADID_279E309N_S	كنائس الحديد
بتلمنس	TALLMANNAS_367E356N_S	تل منس
بنهركوثي	NAHRKUTHA_447E327N_W	نهر كوثى
بوادعة	WADIA_438E160N_R	وادعة
نهربربان	NAHRBARBAN_695E378N_W	نهر بربان
وبالفحيمة	FUHAYMA_421E342N_S	الفحيمة
قنووان	QANUWAN_506E332N_S	قنووان
لموغكان	BAJARWAN_481E392N_S,MUGHAN_485E393N_S	باجروان : موغان
ومرجالشيخ	MARJSHAYKH_248E316N_S	مرج الشيخ
لاويش	AWISH_313E310N_S	أويش
وبنوبنجان	NUBANDAJAN_515E301N_S	نوبندجان
واشنه	USHNUH_451E370N_S	أشنه
بفلوجة	FALLUJA_443E325N_S	فلوجة
وبيافا	YAFA_347E320N_S	يافا
جوزجان	JUZJAN_651E357N_R	جوزجان
وبالسرمق	SARMAQ_527E310N_S	سرمق
وقلعةابوثور	QALAABUTHAWR_139E378N_S	قلعة أبو ثور
لاطفيح	ATFIH_312E294N_S	أطفيح
وانصنا	ANSINA_308E279N_S	أنصنا
بالري	RAYY_515E356N_S	الري
لبلدداور	BALADDAWAR_651E322N_R	بلد داور
بكيج	KIJ_630E260N_S	كيج
وعروة	GHARWA_498E315N_S	غروة
والقلعة	QALA_576E226N_S	القلعة
وسنديون	SANDIYUN_304E312N_S	سنديون
باوال	UWAL_505E261N_R,AWAL_717E404N_S	أوال : أوال
وبغرجالشار	GHARJSHAR_644E348N_R	غرج الشار
بمشكوية	MASHKUYA_507E353N_S	مشكوية
خيبر	KHAYBAR_392E257N_S	خيبر
سغدبيل	SUGHDABIL_452E422N_S	سغدبيل
وبنفطة	NAFTA_079E338N_S	نفطة
بقارة	QARA_368E341N_S	قارة
وقلعةابنكندمان	QALAIBNKANDAMAN_451E415N_S	قلعة إبن كندمان
كبان	KUBAN_328E231N_S	كبان
وكولشوب	KULSHUB_721E428N_S	كول شوب
ودقهلة	DAQAHLA_316E312N_S	دقهلة
لمكران	MUKRAN_625E265N_R	مكران
اللاذقية	LADHIQIYYA_358E355N_S	اللاذقية
الغمرة	GHAMRA_408E218N_S	الغمرة
وسنكان	SANKAN_594E350N_S	سنكان
وبيام	YAM_446E159N_R	يام
وطوة	TUWWA_309E306N_S	طوة
لابشاية	ABSHAYA_317E264N_S	أبشاية
بدرغان	DARGHAN_621E404N_S	درغان
تنتيتا	TANTITA_311E302N_S	تنتيتا
لتلبحري	TALLMAHRA_391E366N_S	تل محرى
باجروان	BAJARWAN_389E361N_S,BAJARWAN_481E392N_S	باجروان : باجروان
بابياين	ABYAYN_449E131N_S	أبياين
لصهرجات	SAHRAJAT_312E306N_S	صهرجات
دسكردان	DASKARDAN_566E342N_S	دسكردان
لنيشك	NISHAK_621E308N_R	نيشك
وبارسك	BARISK_582E314N_S	بارسك
وبجبروان	JABRAWAN_456E369N_S	جبروان
بزبداني	ZABADANI_360E337N_S	زبداني
وويهند	WAYHIND_722E339N_S	ويهند
بكاظمة	KAZIMA_479E292N_S	كاظمة
وبالايان	BALAYAN_694E411N_S	بالايان
كفربطنا	KAFARBATNA_369E334N_S	كفربطنا
والمزانية	MUZANIYYA_385E372N_S	المزانية
وبباجة	BAJA_078W380N_S,BAJA_092E366N_S	باجة : باجة
وبجزيرةجبلطارق	JAZIRAJABALTARIQ_053W361N_S	جزيرة جبل طارق
ونيه	NIH_600E315N_S	نه
بسنجة	QASRSANJA_381E374N_S	قصر سنجة
ديربازمة	DAYRBAZAMA_447E336N_S	دير بازمة
وبكلاية	KILABA_360E275N_S	كلابة
وبعبادان	ABBADAN_482E303N_S	عبادان
ونهرتستر	NAHRTUSTAR_488E318N_W	نهر تستر
لقرماسين	QARMASIN_470E343N_S	قرماسين
قصرقند	QASRQAND_607E262N_S	قصرقند
وباسداباذ	ASADABADH_481E348N_S,ASADABADH_564E363N_S,ASADABADH_626E362N_S	أسداباذ : أسداباذ : أسداباذ
بمهروبان	MAHRUBAN_502E300N_S	مهروبان
لمخري	MUKHRI_387E290N_S	مخري
وباوة	AWA_505E346N_S	آوة
وبالكسيفة	KUSAYFA_350E312N_S	الكسيفة
لغرجالشار	GHARJSHAR_644E348N_R	غرج الشار
وخيلام	KHAYLAM_709E411N_S	خيلام
بخست	KHASHT_639E343N_S	خشت
ديلمان	DAYLAMAN_505E366N_R	ديلمان
لمعدنالنقرة	MADINNAQIRA_415E255N_S	معدن النقرة
وسدوسان	SADUSAN_678E264N_S	سدوسان
وسقياءبنوغفار	SUQYABANUGHIFAR_392E235N_S	سقياء بنو غفار
ماحوزيبنا	MAHUZYUBNA_346E318N_S	ماحوز يبنا
وكرت	KURT_058W345N_S	كرت
لفدك	FADAK_393E252N_S	فدك
لالترميذ	TIRMIDH_673E372N_S	ترمذ
لاوجلة	AWJILA_212E289N_S	أوجلة
لسناباذ	SANABADH_596E362N_S	سناباذ
وتبريز	TABRIZ_463E380N_S	تبريز
بطباش	ATBASH_758E411N_S	أطباش
لالرباط	RIBAT_534E291N_S	الرباط
جوبر	JAWBAR_363E335N_S	جوبر
والقاء	QA_436E297N_S,QA_653E363N_S	القاء : القاء
لالوجه	WAJH_365E262N_S	الوجه
وبنطيوس	BANTIYUS_056E346N_S	بنطيوس
شطا	SHATA_318E314N_S	شطا
مكناسة	MIKNASA_055W339N_S	مكناسة
بجنية	JUNIYYA_356E339N_S	جنية
وبغيفا	GHAYFA_315E303N_S	غيفا
سردد	SURDUD_430E151N_R	سردد
مكران	MUKRAN_625E265N_R	مكران
وزبيد	ZABID_433E142N_S	زبيد
وابياين	ABYAYN_449E131N_S	أبياين
لخوسكان	KHUSIKAN_524E305N_S	خوسكان
بسيسر	SISAR_469E353N_S	سيسر
بكمين	KAMIN_531E301N_S	كمين
لدارستان	DARISTAN_587E292N_S	دارستان
كربلاء	KARBALA_440E326N_S	كربلاء
خشاف	KHUSHAF_376E360N_S	خشاف
وبقرح	QURH_379E265N_S	قرح
بهزاراسب	HAZARASB_610E412N_S	هزاراسب
وباسلان	ASLAN_011W354N_S	آسلان
لزامن	ZAMIN_684E399N_S	زامن
طخفة	TIKHFA_430E249N_S	طخفة
لدارا	DARA_409E371N_S	دارا
وجلولاء	JALULA_098E357N_S	جلولاء
لالجيزة	JIZA_312E300N_S	الجيزة
لبازير	BAZIR_498E316N_S	بازير
مريس	MARIS_309E203N_R	مريس
ودلوك	DULUK_371E371N_S	دلوك
ابة	UBBA_087E358N_S	أبة
بالمجالي	MAJAK_673E298N_S	المجاك
بيهق	BAYHAQ_576E360N_R	بيهق
لتهامة	TIHAMA_425E175N_R	تهامة
سهرورد	SUHRAWARD_486E364N_S	سهرورد
وببدر	BADR_388E237N_S,BADR_447E138N_R	بدر : بدر
بالخرارة	KHARRARA_519E300N_S	الخرارة
وركب	RAKB_438E133N_R	ركب
لسوبارة	SUBARA_729E195N_S	سوبارة
وبسبيطلة	SUBAYTILA_092E352N_S	سبيطلة
وبالبدقون	BADAQUN_305E308N_R	البدقون
لخانالاسد	KHANASAD_522E295N_S	خان الأسد
لجرجان	JURJAN_549E373N_R,SHAHRASTAN_552E371N_S	جرجان : شهرستان
لاطربية	ATRABIYYA_317E307N_R	أطربية
بصاء	SA_307E309N_S	صاء
لبارسيان	BARISIYAN_487E352N_S	بارسيان
لالخناصرة	KHUNASIRA_375E357N_S	الخناصرة
واسيوط	ASYUT_311E271N_S	أسيوط
بسمورة	SAMMURA_057W414N_S	سمورة
لرماع	RIMA_432E143N_R	رماع
وكاظمة	KAZIMA_479E292N_S	كاظمة
معرةالنعمان	MAARRANUMAN_366E356N_S	معرة النعمان
وبويلة	AYLA_349E295N_S	أيلة
والفاش	FASH_405E349N_S	الفاش
وبدسكروان	DASKARDAN_566E342N_S	دسكردان
وبترقالة	TARQALA_088W305N_S	ترقالة
لالجبال	JIBAL_353E302N_R,JIBAL_416E362N_S,Jibal_RE	الجبال : الجبال : الجبال
لكويان	JUWAYN_566E368N_R	جوين
وبواديالعقيق	WADIAQIQ_402E241N_W	وادي العقيق
ببازنك	BAZIR_498E316N_S	بازير
برباطافراوة	RIBATAFRAWA_562E389N_S	رباط أفراوة
لرباطالامير	RIBATAMIR_547E375N_S	رباط الأمير
جلمانية	JALMANIYA_072W387N_S	جلمانية
بمسحا	MASHA_694E395N_R	مسحا
لمتيجة	MATTIJA_028E365N_S	متيجة
لبوزماجن	BUZMAJAN_673E397N_S	بوزماجن
وغيفا	GHAYFA_315E303N_S	غيفا
لبطرلية	BATARLIYYA_141E378N_S	بطرلية
وبواديمخيل	WADIMAKHIL_226E322N_W	وادي مخيل
شنوة	SHANUWA_469E152N_W	شنوة
لبناكث	BANAKATH_688E407N_S	بناكث
