id	region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	translitTitleOther	arTitleOther	searchNames	arBW
ZAMIN_684E399N_S_TRAN	Transoxiana	68.43288	39.95781	towns	cite	Zāmin	زامن	Zāmin	زامن	Zamin	Zamin
WINKARD_684E405N_S_TRAN	Transoxiana	68.43871	40.57316	villages	bourgade	Wīnkard	وينكرد	Wīnkard	وينكرد	Winkard	Winkard
BUTTAM_684E389N_S_TRAN	Transoxiana	68.49336	38.95345	towns	montagnes/canton	al-Buttam	ﭐلبتم	al-Buttam	ﭐلبتم	al-Buttam	al-Buttam
NAHRWAKHSHAB_685E374N_R_TRAN	Transoxiana	68.55990	37.44150	regions	region	Nahr Waḫšāb	نهر وخشاب	Nahr Waḫšāb	نهر وخشاب	Nahr Wakhshab	Nahr Wakhshab
USHRUSANA_687E395N_R_TRAN	Transoxiana	68.72187	39.56749	regions	circon	Ušrūsanaŧ	أشروسنة	Ušrūsanaŧ	أشروسنة	Ushrusana	Ushrusana
WAKHSH_687E377N_R_TRAN	Transoxiana	68.72725	37.70584	regions	region	Waḫš	وخش	Waḫš	وخش	Wakhsh	Wakhsh
SABAT_687E399N_S_TRAN	Transoxiana	68.76220	39.99901	towns	cite	Ṣābāṭ	صاباط	Ṣābāṭ	صاباط	Sabat	Sabat
HALAWARD_687E378N_S_TRAN	Transoxiana	68.78102	37.83441	towns	cite	Halāward	هلاورد	Halāward	هلاورد	Halaward	Halaward
BANAKATH_688E407N_S_TRAN	Transoxiana	68.80969	40.71867	towns	cite	Banākaṯ	بناكث	Banākaṯ	بناكث	Banakath	Banakath
SHUMAN_688E385N_S_TRAN	Transoxiana	68.82268	38.58166	towns	cite	Šūmān	شومان	Šūmān	شومان	Shuman	Shuman
KHAWAS_688E402N_S_TRAN	Transoxiana	68.82906	40.22314	villages	bourgade	Ḫāwaṣ	خاوص	Ḫāwaṣ, Ḥāwas	خاوص، حاوس	Khawas, Hawas	Khawas, Hawas
BUMJIKATH_688E397N_S_TRAN	Transoxiana	68.83442	39.74616	capitals	capitale	Būmǧikaṯ	بومجكث	Būmǧikaṯ, Bunǧikaṯ, Bamǧikaṯ	بومجكث، بنجكث، بمجكث	Bumjikath, Bunjikath, Bamjikath	Bumjikath, Bunjikath, Bamjikath
SUTURKATH_688E408N_S_TRAN	Transoxiana	68.87652	40.88768	towns	cite	Sutūrkaṯ	ستوركث	Sutūrkaṯ, Uštūrkaṯ	ستوركث، أشتوركث	Suturkath, Ushturkath	Suturkath, Ushturkath
