source,target,weight,distance
LADHIQIYYA_358E355N_S_SHAM,SUWAYDIYYA_359E360N_S_SHAM,0.142893887,69982
LADHIQIYYA_358E355N_S_SHAM,LADHIQIYYA_358E355N_S_SHAM,5.927682276,1687
JABALA_359E353N_S_SHAM,LADHIQIYYA_358E355N_S_SHAM,0.44198895,22625
BULUNYAS_359E351N_S_SHAM,JABALA_359E353N_S_SHAM,0.486807516,20542
MARAQIYYA_359E350N_S_SHAM,BULUNYAS_359E351N_S_SHAM,0.626448663,15963
ANTARTUS_359E348N_S_SHAM,MARAQIYYA_359E350N_S_SHAM,0.599664188,16676
ATRABULUS_358E344N_S_SHAM,ROUTPOINT0122_359E348N_O_NODA,0.177531601,56328
ANAFA_357E343N_S_SHAM,ATRABULUS_358E344N_S_SHAM,0.701311452,14259
BATHRUN_356E342N_S_SHAM,ANAFA_357E343N_S_SHAM,0.707063565,14143
JUBAYL_356E341N_S_SHAM,BATHRUN_356E342N_S_SHAM,0.640409862,15615
JUNIYYA_356E339N_S_SHAM,JUBAYL_356E341N_S_SHAM,0.59333096,16854
ROUTPOINT0118_355E339N_O_NODA,JUNIYYA_356E339N_S_SHAM,0.873667657,11446
AYNJARR_359E337N_S_SHAM,QARUN_357E335N_S_SHAM,0.378988858,26386
ARJAMUSH_358E338N_S_SHAM,AYNJARR_359E337N_S_SHAM,0.636253738,15717
ROUTPOINT0118_355E339N_O_NODA,ARJAMUSH_358E338N_S_SHAM,0.249451207,40088
BAYRUT_355E339N_S_SHAM,ROUTPOINT0118_355E339N_O_NODA,2.379819134,4202
NAIMA_354E337N_S_SHAM,BAYRUT_355E339N_S_SHAM,0.686577412,14565
SAYDA_353E335N_S_SHAM,NAIMA_354E337N_S_SHAM,0.398708185,25081
SAYDA_353E335N_S_SHAM,QARUN_357E335N_S_SHAM,0.221420189,45163
QARYAUYUN_355E333N_S_SHAM,QARUN_357E335N_S_SHAM,0.363226908,27531
SARAFANDA_352E334N_S_SHAM,SAYDA_353E335N_S_SHAM,0.662163952,15102
ADHNUN_352E333N_S_SHAM,SARAFANDA_352E334N_S_SHAM,1.42551675,7015
ROUTPOINT0117_355E332N_O_NODA,QARYAUYUN_355E333N_S_SHAM,0.634236063,15767
SUR_352E332N_S_SHAM,ADHNUN_352E333N_S_SHAM,0.66449598,15049
MAJDALSALIM_354E332N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,0.865126741,11559
BANIYAS_356E332N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,0.85338795,11718
